index,14_1_www.b-tu.de,14_2_www.b-tu.de,14_3_www.b-tu.de,14_4_www.b-tu.de,14_5_www.b-tu.de,14_6_www.b-tu.de,14_7_www.b-tu.de,14_8_www.b-tu.de,14_9_www.b-tu.de,14_10_www.b-tu.de
35,785892.8399999997,499328.60000000003,713335.36,722877.6000000003,1019939.12,635753.52,548991.7999999999,732075.4,653141.36,957423.6
36,799348.0,524765.0,765206.4000000001,778904.0,1067035.0,674490.0,565691.5999999999,799731.0,711114.4000000001,1024244.8
37,815419.4,574226.6,796484.8,834240.0000000001,1085569.1600000001,702058.8799999999,601737.2,835022.4,775766.2800000001,1065643.0
38,849917.56,594795.0,815525.04,879755.2,1146222.58,747640.96,653604.66,835306.3,801551.4799999997,1069065.8
39,874288.2799999999,630949.0,834219.9199999999,906013.0,1144740.16,815149.0799999997,696564.2,884175.4,857376.4,1142624.0399999998
40,918032.32,651813.0,883774.5599999998,941630.4,1147671.8,868537.8799999999,733636.5599999999,892915.0,885551.9199999999,1171469.6799999995
41,953105.0,670000.0,937695.0,976485.0,1186897.6,916757.2,796129.4000000001,901627.0,953778.8,1204054.2
42,1017431.1599999998,702826.2000000003,977543.8,978374.8,1202439.28,954290.5599999999,852955.7199999997,907392.7000000001,1004107.36,1205498.32
43,1029342.12,757022.4000000001,1028746.44,1011784.0,1210971.4,1020044.2,891864.6399999999,938178.6,1026647.2,1211470.44
44,1063437.28,791692.7999999999,1049883.72,1047253.0,1212560.4,1056122.0,958924.68,942057.0,1033512.7200000001,1210471.52
45,1066322.68,836281.4,1068829.2,1050944.0,1212949.56,1063394.4,987422.4400000002,953856.0,1066221.44,1209909.16
46,1102498.3,902522.0,1099801.4,1079571.0,1214840.1,1102801.2,1046317.1999999998,992199.0,1100119.8000000003,1210296.6
47,1131414.96,945162.2,1146508.24,1123420.4,1216506.3599999999,1120752.6799999995,1068290.24,997316.0,1146550.24,1212147.68
48,1147321.98,972183.4000000001,1179194.04,1138076.2,1217038.54,1145088.2,1080849.4,1026080.1000000003,1161380.8800000004,1213195.04
49,1151969.68,1009121.6000000003,1199838.2,1147310.2,1218626.92,1181269.84,1134115.8399999999,1074764.0000000002,1172494.4,1214454.04
50,1178920.32,1047067.8000000002,1199234.44,1170354.2000000002,1221644.54,1199007.56,1147511.46,1100387.0,1175739.16,1214906.52
