index,369_1_www.deutschlandradio.de,369_2_www.deutschlandradio.de,369_3_www.deutschlandradio.de,369_4_www.deutschlandradio.de,369_5_www.deutschlandradio.de,369_6_www.deutschlandradio.de,369_7_www.deutschlandradio.de,369_8_www.deutschlandradio.de,369_9_www.deutschlandradio.de,369_10_www.deutschlandradio.de
19,23142.52,179234.19999999998,7176.200000000002,7069.4,16064.159999999998,21479.68,21659.72,138373.08000000002,6853.08,15865.60000000001
20,22052.32,216921.59999999998,7120.399999999998,10278.800000000005,16130.16,24349.40000000001,60984.82000000001,174475.80000000013,8109.799999999992,17288.16
21,35101.399999999936,253937.99999999997,12787.999999999982,17411.0,22008.199999999997,57845.39999999997,101246.99999999996,225766.20000000007,13800.0,17179.2
22,62782.03999999999,290303.68,13924.16,17251.16,20830.24,94409.47999999997,129008.04000000005,268918.12,13418.560000000001,17137.68
23,87336.39999999998,310683.0399999998,16824.2,17114.120000000003,36098.20000000001,133061.04000000004,153388.96,318892.2400000001,16485.4,19988.800000000007
24,111953.23999999998,365769.5199999999,17106.78,17127.26,63731.48000000001,159808.80000000002,180827.76000000004,376668.56000000006,17114.079999999998,23052.640000000003
25,150590.76,399194.76,19980.79999999999,23128.96,84081.55999999997,181024.96,225613.16000000003,398808.52,18465.800000000003,22504.32
26,184512.0,414399.0,23113.0,22321.5,115499.0,221772.0,230997.0,406771.0,22876.0,21747.0
27,209629.68000000002,437614.76,22122.56,21681.96,146156.7200000001,255728.88000000006,255347.64,425403.9200000001,21901.32,33963.04000000001
28,245956.7999999998,471020.56,30055.399999999936,43132.920000000006,177189.3600000001,296415.7599999999,257257.82,470488.48,23692.559999999998,53514.72
29,261551.9199999999,472704.16,43885.64,62326.23999999999,204518.0,334910.83999999997,288081.52,469834.04,28390.399999999976,62146.12000000001
30,302423.95999999996,472228.84,63089.21999999999,96553.84000000005,237680.28000000003,379629.52,331005.95999999996,471435.12,59434.31999999999,83915.48000000001
31,328167.1999999999,474260.4,90086.39999999986,116185.99999999999,257883.60000000015,398801.0,359423.60000000003,473618.4,75757.19999999998,114951.00000000001
32,356205.48,473477.76,115912.28,121257.20000000001,280399.68,405600.96,380450.8,473428.08,97239.95999999995,121965.24000000002
33,387959.88,477295.2,126058.59999999999,148578.03999999998,313160.8,421886.88,387778.6,475094.96,123635.11999999994,153877.56000000003
34,398938.76,477683.2,134806.9,173957.29999999993,351197.7600000001,436679.72,395106.4,475914.56,141282.43999999994,182871.2
35,400859.52,478418.52,157522.72,193494.16,389732.39999999997,470248.24,400613.76,477272.08,151863.43999999992,189253.6
36,400729.2,486721.2,180357.39999999997,221074.19999999992,397719.6,469457.6,403781.60000000003,477592.0,190581.59999999992,202047.0
37,402507.24,486513.84,204300.87999999995,253580.04,399530.16,471614.2,403741.84,477836.48,229299.7599999999,223131.40000000008
38,403825.56,485988.04,230980.64,277528.72,399567.04,471312.68,406911.18,479551.2,250257.51999999996,239578.6
39,404429.6,486156.64,245108.91999999998,296338.4000000001,402131.8,473190.96,407093.2,480177.84,270885.63999999996,273679.56
40,406674.88,490086.4,277273.91999999987,307155.12,402520.27999999997,473032.92,413891.34,479746.64,275113.43999999994,279068.2
41,414699.6,499544.7999999999,298949.7999999999,331398.4000000001,403006.4,474528.99999999994,428381.8,481633.2,287007.39999999985,313163.0
42,434618.3199999999,503746.64,319069.12,365838.08,405480.88,478982.27999999997,445206.80000000005,482356.84,309772.8399999999,336376.4400000002
43,446565.19999999995,507293.83999999997,352825.79999999993,389411.1999999999,412800.56,478962.2,477481.44,481625.84,358532.8799999999,366278.9200000001
44,478725.28,508926.84,375718.8399999998,399581.3,420356.39999999997,484257.28,478532.52,483406.04,378179.67999999993,398644.36
45,478003.24,510474.32,396083.88,406009.36,432869.04000000004,494587.68,480051.04,484146.56,398780.76,398908.60000000003
46,478846.6,511697.0,399418.49999999994,406624.9,443934.2,496366.6,479790.4,485784.4,406173.8,402565.0
