index,226_1_www.gmx.net,226_2_www.gmx.net,226_3_www.gmx.net,226_4_www.gmx.net,226_5_www.gmx.net,226_6_www.gmx.net,226_7_www.gmx.net,226_8_www.gmx.net,226_9_www.gmx.net,226_10_www.gmx.net
37,1955786.6,1941703.36,1868836.84,1946603.6,1823492.32,2143739.48,1988429.2,1759521.0,2012517.48,2224782.96
38,2111995.52,1976342.08,1871778.76,1977146.0,1838999.56,2154830.46,2118981.4,1786192.84,2109257.46,2271796.64
39,2230808.68,2022326.2799999998,1882457.6,1986543.2,1856217.92,2179581.72,2147204.12,1830595.0800000008,2140613.32,2284881.08
40,2406816.92,2054210.7999999996,2040958.96,1998831.4,1947935.8799999997,2229338.4,2159667.6,1994191.12,2218000.94,2317553.6799999997
41,2513646.4,2069831.8,2167836.000000001,2016139.0,2017616.7999999998,2273746.6,2181033.4000000004,2071192.0,2350822.4000000004,2396396.2
42,2613533.2600000002,2214989.88,2185544.54,2044714.1,2023072.08,2356049.72,2301491.12,2139522.12,2359368.12,2435885.04
43,2630032.24,2360438.5599999996,2236181.48,2060972.2,2042428.16,2596018.879999998,2349394.52,2177365.72,2454047.56,2435798.28
44,2655222.6000000006,2390683.58,2350868.64,2183242.6,2050880.56,2729561.68,2481176.8400000003,2250692.0400000024,2462278.48,2450909.84
45,2693242.8000000003,2417356.64,2463436.8399999994,2296680.5999999996,2140104.6,2730562.16,2655006.36,2551192.28,2488482.92,2473842.36
46,2701254.8,2519704.3000000003,2725856.7,2314747.5,2229139.8,2747496.9,2728012.6,2555409.8,2533839.8000000003,2520343.6
47,2709027.8,2582906.48,2736018.6,2451114.8,2256461.08,2748489.96,2730979.1600000006,2596017.32,2667030.72,2640389.0400000014
48,2907131.8799999994,2595315.82,2736984.18,2458259.7,2349409.2399999998,2734308.38,2744979.12,2748814.0399999996,2688966.66,2894550.52
49,2960759.04,2644046.879999999,2738013.04,2518428.8,2360104.3600000003,2748568.92,2756032.1999999997,2727889.76,2819525.52,2921648.32
50,2974054.06,2968924.02,2740897.82,2832268.8,2448359.279999998,2779673.54,2757006.88,2730770.8,2812948.74,2947836.4
