index,165_1_www.symantec.com,165_2_www.symantec.com,165_3_www.symantec.com,165_4_www.symantec.com,165_5_www.symantec.com,165_6_www.symantec.com,165_7_www.symantec.com,165_8_www.symantec.com,165_9_www.symantec.com,165_10_www.symantec.com
20,556909.0000000005,463476.78,489087.44,464560.92,495763.0,476393.29999999993,503879.27999999985,578106.8799999999,478912.04,474924.68
21,612859.6000000001,460912.0,555945.4,464935.2,497844.0,512715.2,520471.8,628060.6,483389.6000000001,501218.7999999999
22,613753.28,465991.76,603543.96,474162.48,500670.5,552376.8400000001,587166.7,656476.04,541757.6799999999,570917.34
23,631204.1200000002,496032.04,611206.4,502306.95999999985,521035.0,603835.16,642386.08,678159.4,589064.56,672033.44
24,689359.56,536909.6999999998,611208.2,511974.22000000003,524123.0,641469.52,689320.8999999999,699446.6,655628.1200000001,723135.5999999999
25,709836.6400000001,581576.12,629588.88,529030.4,568882.0,662595.7999999999,728168.84,736630.8399999997,743085.48,740577.08
26,757213.0,643354.5,705700.0000000006,573699.0,588398.5,697354.0,758725.5,765176.0,783466.0,763690.5
27,794287.4400000001,667725.0400000002,721314.2000000001,598635.52,605475.0,749346.92,825870.24,831849.7599999999,787731.7600000004,785655.92
28,870010.04,716426.52,761044.0,627264.9999999999,629787.0,794201.0399999999,909135.3,877157.32,878248.6000000001,800762.0
29,903713.68,769792.5999999999,779791.2000000007,671994.7999999999,656914.0,859085.7599999999,992347.36,907884.52,945970.4,870782.7599999997
30,1047436.76,800977.7999999999,885820.6800000004,739367.8399999999,771232.0,929871.24,1023161.16,946181.4,1021533.84,941454.7599999999
31,1138436.4000000001,847942.2,955558.4000000006,815965.9999999998,870460.0,1002699.1999999994,1078374.2,1007639.3999999999,1079396.0000000007,999606.5999999997
32,1180941.8,908802.1,1011214.8800000001,918220.2999999999,954688.0,1064489.7599999998,1153103.44,1074301.6,1122827.6800000002,1056566.5199999993
33,1220011.3200000003,980779.36,1115913.5200000005,1013189.6,1087717.0,1136542.7999999998,1227736.36,1150921.1199999999,1257463.04,1157293.76
34,1325728.6400000001,1072682.04,1195787.52,1102706.9,1182121.0,1196654.1,1288494.9,1232462.239999999,1352512.4000000001,1161492.92
35,1419587.8399999999,1156317.4,1290771.2400000002,1211339.2,1328999.0,1239667.2,1412382.3599999994,1366088.4,1386679.08,1225378.76
36,1456300.6,1260976.9,1389032.8000000003,1321279.5,1440197.5,1325102.6999999997,1576927.4999999995,1432683.9999999998,1440540.0000000002,1325843.4
37,1487431.56,1294901.84,1446553.8800000001,1398445.1199999996,1522307.0,1446655.4799999997,1633726.48,1500612.68,1532928.84,1393283.56
38,1522013.76,1338785.7,1480098.28,1472100.08,1577031.0,1571563.72,1639657.9,1552659.9200000002,1571150.6400000001,1437434.8
39,1551187.4000000001,1440582.3199999998,1516244.2400000002,1506826.72,1597933.0,1631423.48,1696903.4,1605624.28,1624131.84,1548230.28
40,1576179.56,1528786.5199999998,1537182.4000000001,1555733.78,1613658.5,1658352.7199999993,1697359.76,1633814.64,1629859.92,1623615.359999999
41,1583889.4,1625039.1999999997,1574478.2,1600941.5999999999,1632578.0,1672823.2,1744009.5999999999,1639505.4,1648766.200000001,1633713.2
42,1633623.68,1635972.68,1626196.7600000002,1639537.4,1645488.0,1697849.14,1823875.5799999998,1647219.92,1687101.92,1638473.7999999998
43,1634987.04,1640313.48,1632201.1199999999,1695093.04,1646176.0,1734836.12,1830512.08,1653601.08,1728492.6,1690993.08
44,1645657.72,1659418.1600000001,1647365.68,1769811.5599999996,1695412.0,1764143.28,1836321.2,1709124.4,1810930.96,1697555.7
45,1677571.64,1704907.9199999997,1662555.6000000003,1794254.2,1734085.0,1793835.64,1840169.4,1763039.44,1817655.28,1700624.48
46,1748569.0000000002,1770660.4,1706244.2,1821953.1,1770590.0,1834208.8,1843584.6,1835641.4000000001,1824790.0,1802642.3999999997
