index,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com,4_10_www.google.com
19,175384.48,91256.95999999995,176048.24000000002,73457.48,186829.91999999998,79283.2,176355.12,180300.12,178838.4,73456.76
20,177499.68,116840.62,176067.54,140719.24000000002,237304.27999999988,84219.87999999998,178847.56,181915.94,178542.56,106738.88
21,179630.4,119189.0,177333.4,176203.40000000002,265365.8,137557.0,180360.8,190911.8,178872.0,141360.4
22,180329.08,123662.11999999994,178837.38,175703.04,268748.76,171581.48,185359.63999999998,191928.36,183730.96,173382.84000000003
23,184317.56,157915.32,182326.80000000002,181045.19999999998,267634.48,174944.32,186311.44,192268.56,185538.04,173808.36
24,183276.6,172966.19999999998,183923.4,183430.88,268734.24,174966.24,186991.12,233652.6,184723.64,175662.16
25,215804.36,175933.16,208648.76,182985.72,272618.36,178362.56,190511.76,270277.88,186561.88,177398.68
26,231634.0,175738.5,251576.5,182692.0,274161.5,180489.0,197950.0,268536.0,208686.0,178716.0
27,258174.76,180017.84,256081.04,184916.44,276688.56,179633.04000000004,234381.56,272326.56,238113.9199999999,178714.44
28,266495.44,180661.84000000003,254826.06,204124.84000000005,281977.39999999997,183312.64,267341.88,278748.78,263104.08,177431.88
29,264928.16,180786.64,258813.16,257643.32,292395.72,182955.08,271513.68,278486.92,268572.72,178919.84000000003
30,266318.48,182482.42,261480.08,260736.12,291071.52,204973.9599999999,273537.84,280704.84,267299.04,180846.88
31,271267.4,185682.6,262680.2,261927.8,290263.2,254685.80000000002,275069.0,285137.2,269708.60000000003,181773.6
32,272577.68,187794.8,264369.38,262893.96,289018.78,258361.87999999998,280210.04,284345.06,272428.27999999997,185962.92
33,274049.64,212313.76,267771.68,262180.16,291014.32,259578.72,282801.4,293035.4,277125.16,185970.24
34,275707.12,260526.22,271295.77999999997,263942.88,293676.62,264945.48,289218.72,304731.92,276993.96,185461.03999999998
