index,306_1_www.sueddeutsche.de,306_2_www.sueddeutsche.de,306_3_www.sueddeutsche.de,306_4_www.sueddeutsche.de,306_5_www.sueddeutsche.de,306_6_www.sueddeutsche.de,306_7_www.sueddeutsche.de,306_8_www.sueddeutsche.de,306_9_www.sueddeutsche.de,306_10_www.sueddeutsche.de,307_1_www.sueddeutsche.de,307_2_www.sueddeutsche.de,307_3_www.sueddeutsche.de,307_4_www.sueddeutsche.de,307_5_www.sueddeutsche.de,307_6_www.sueddeutsche.de,307_7_www.sueddeutsche.de,307_8_www.sueddeutsche.de,307_9_www.sueddeutsche.de,307_10_www.sueddeutsche.de,308_1_www.sueddeutsche.de,308_2_www.sueddeutsche.de,308_3_www.sueddeutsche.de,308_4_www.sueddeutsche.de,308_5_www.sueddeutsche.de,308_6_www.sueddeutsche.de,308_7_www.sueddeutsche.de,308_8_www.sueddeutsche.de,308_9_www.sueddeutsche.de,308_10_www.sueddeutsche.de,309_1_www.sueddeutsche.de,309_2_www.sueddeutsche.de,309_3_www.sueddeutsche.de,309_4_www.sueddeutsche.de,309_5_www.sueddeutsche.de,309_6_www.sueddeutsche.de,309_7_www.sueddeutsche.de,309_8_www.sueddeutsche.de,309_9_www.sueddeutsche.de,309_10_www.sueddeutsche.de
18,1463873.72,1442307.78,1369438.74,1421619.6,1308833.56,1197506.7,1262756.3599999999,1305883.6,1515374.96,1225039.72,1822979.6599999997,1751351.68,1755582.26,1668208.0599999998,1707168.8,1763105.7999999998,1946678.1999999995,1939876.8800000001,1766528.0,1888358.12,1420324.32,1460687.08,1471117.08,1355529.46,1405216.0,1487847.94,1436848.9999999995,1386336.7,1478081.8800000001,1433140.32,1436697.6,1418183.16,1430485.92,1350636.68,1384334.2,1321311.52,1401066.22,1173718.52,1360207.4,1503379.6400000001
19,1512536.64,1492743.48,1382464.64,1445355.2,1327540.84,1270031.8,1319293.56,1322705.5999999999,1560340.56,1234624.32,1952679.6000000017,1775081.72,1779909.68,1692947.96,1746514.4,1758608.6800000002,2001913.2,1957906.2799999998,1753081.0,1972951.2,1465221.28,1501659.68,1522571.24,1393339.76,1453450.0,1499359.68,1451681.8,1412730.8,1568712.68,1458425.88,1447124.4,1432089.36,1441522.1600000001,1395105.6,1421237.0,1334030.16,1455002.6,1242245.8800000001,1402869.1999999997,1586675.24
20,1519896.72,1550732.42,1416031.4,1521890.3999999997,1361416.3599999999,1279288.9,1370075.52,1381550.12,1596698.8,1243192.44,2052659.54,1810178.72,1791662.4,1717714.78,1759967.6,1918707.04,2042406.4,1988641.08,1847085.5,2004972.8400000005,1471329.3599999999,1522886.44,1592668.68,1413297.08,1493836.0,1583098.58,1479257.9999999998,1438508.8,1615726.84,1459269.36,1550175.3,1436637.0799999998,1441072.22,1420782.76,1460136.6,1367182.8800000001,1481958.26,1322240.6,1415076.88,1608852.44
21,1593938.0,1561184.0,1429778.6,1539875.0,1379307.6,1316931.0,1392674.8,1431441.6,1638533.8,1280246.8,2079546.8,1834589.2,1893874.8,1728812.6,1922920.2,1946855.5999999999,2069933.0,1995308.9999999998,1887710.0,2026246.8,1519810.4000000006,1580136.0,1619816.4,1441952.4,1499245.0,1613124.6,1506958.0,1459612.0,1650084.7999999998,1535346.8,1571814.0,1533775.3999999978,1518554.2,1436673.2,1466159.0,1417127.6,1493174.2,1371753.8,1432111.4000000001,1627995.2
22,1615074.48,1603439.58,1458783.88,1590436.6,1403425.82,1330371.9,1412459.1,1479413.92,1648534.96,1317848.62,2104187.64,1914401.4,1902258.7599999998,1791632.6800000002,1934857.76,1993794.98,2084288.5999999999,2100302.08,1908066.0,2100960.4399999995,1586015.56,1599530.1,1659467.52,1469805.28,1533676.0,1656438.72,1539188.4,1548802.6,1674990.04,1550261.8,1591476.8,1574293.2799999998,1594602.1400000001,1442038.36,1494785.1,1447730.12,1519314.06,1425960.56,1515508.3999999997,1639466.76
23,1635438.64,1625092.64,1503034.88,1621908.8,1415594.24,1367570.2000000002,1445780.4000000004,1523125.64,1659595.88,1351740.48,2112216.08,1945337.5999999996,1916122.64,1787462.08,1947062.8800000001,2026060.64,2090673.2,2123144.92,1949831.0,2124523.84,1617375.8399999999,1676255.28,1688647.36,1498465.96,1601817.0,1696602.52,1579836.8,1595222.5999999999,1686338.28,1632400.36,1627836.8,1610570.48,1613863.28,1447179.8,1567612.0000000002,1461794.76,1616817.92,1466669.92,1561261.08,1647464.0799999998
24,1647823.48,1655427.76,1539644.58,1653692.2,1445193.1600000004,1419338.8,1500194.2400000002,1540237.72,1720072.28,1386123.52,2136930.18,1964263.12,1987015.26,1863282.26,2020405.28,2036994.16,2123960.6,2150670.94,2066958.5,2140472.7,1647130.92,1700674.42,1729937.44,1502980.06,1635256.5,1718520.0,1631176.2,1609739.3,1735946.2,1650755.76,1644519.1,1625507.7600000002,1632108.22,1567437.08,1602981.3,1480199.56,1641632.68,1486093.32,1608962.56,1726437.16
25,1684663.32,1683941.12,1550509.12,1668594.6,1513086.5999999999,1429310.0,1536751.56,1578904.8800000001,1743566.6400000001,1415771.4,2144626.16,1992590.28,1999914.44,1876290.04,2046232.04,2085976.6800000002,2206110.2,2272176.32,2080232.0,2176514.04,1671828.44,1748476.3600000013,1763756.8800000001,1508346.1200000003,1661673.0,1841283.8399999999,1686831.2,1644396.0,1771146.24,1671795.76,1791358.6,1662222.6,1656251.76,1590210.68,1615626.4,1481101.28,1665649.3599999999,1500513.76,1631195.64,1766674.8400000005
26,1697045.0,1704507.5,1614958.5,1680454.0,1520804.5,1461904.0,1555766.5,1593567.0,1800664.0,1455735.5,2187157.0,2127063.0,2093242.0,1884934.0,2058855.0,2129288.5,2228790.0,2286954.5,2102604.5,2185489.5,1724660.0,1776725.0000000005,2070772.0,1552727.5,1696246.5,1867511.5,1711764.9999999998,1652102.0,1779306.0,1685998.0,1796826.5,1772691.0,1679658.0,1613186.0,1624350.5000000002,1495554.0,1695300.0,1526521.0,1647291.0,1824487.0
27,1744802.68,1772658.3199999998,1640868.72,1752333.4,1532190.4800000002,1507589.6,1584712.4,1608928.76,1873258.3199999998,1469719.1199999999,2264336.3200000003,2134876.8,2122742.84,1954195.28,2075855.84,2147020.04,2331195.4,2362672.3200000003,2120546.0,2268266.2,1735301.04,1798630.68,2105808.44,1559259.96,1730748.0,1912237.12,1736616.6,1680814.4,1835487.96,1719158.24,1827978.4,1790158.08,1688556.8800000001,1747434.640000001,1699791.2,1527107.48,1718637.2000000004,1543498.4,1674507.2,1900825.76
