index,47_1_www.instagram.com,47_2_www.instagram.com,47_3_www.instagram.com,47_4_www.instagram.com,47_5_www.instagram.com,47_6_www.instagram.com,47_7_www.instagram.com,47_8_www.instagram.com,47_9_www.instagram.com,47_10_www.instagram.com
36,1015990.3999999999,1079459.6,989055.0,867988.2,1005891.0,687791.5999999994,801400.6,875931.9999999999,1103674.0,889836.4000000006
37,1101836.36,1096651.28,1050074.0,944410.2,1101419.2000000002,783034.0800000002,876417.9999999998,984363.4400000002,1106612.4,1012997.7999999996
38,1106320.8,1098066.32,1110214.5,1044180.0400000005,1109847.7,863365.7200000001,951068.76,1040475.4799999997,1107927.2,1105806.62
39,1124942.1200000003,1099354.68,1109430.0,1106258.16,1111742.2,958246.2799999999,1041927.5599999998,1114776.92,1136105.0,1107236.92
40,1136491.68,1100972.28,1120761.0,1107676.48,1110205.6,977058.52,1103129.48,1116349.54,1191058.9,1108478.36
41,1138138.0,1099938.2,1196677.0,1106886.2,1130759.0,1021105.1999999998,1102882.8,1115239.0,1196968.0,1132008.4000000001
42,1169701.12,1135827.32,1255120.0,1144342.12,1172341.6,1060687.68,1120918.36,1166528.64,1300511.4,1187430.3200000003
43,1257204.96,1200168.0399999996,1294161.0,1186698.96,1232158.2000000002,1111181.08,1154275.56,1236608.52,1303210.8,1237063.4799999997
44,1325913.96,1291094.48,1308272.5,1270687.3199999998,1259091.1999999997,1112727.88,1232868.1999999997,1306241.38,1330608.9,1301061.32
45,1327141.84,1292662.68,1311093.0,1297661.28,1332754.2,1114952.56,1237464.72,1308204.36,1331140.2,1303988.76
46,1327356.2,1298198.8,1319769.0,1302996.2,1333401.5,1116934.2,1292427.3,1310624.2,1331372.5,1307408.3
47,1328089.2,1313663.4799999997,1340199.0,1303665.52,1333793.4,1144444.96,1325957.4,1326487.64,1331802.2,1309416.8
48,1333813.4,1327288.12,1339196.0,1314225.2000000002,1336873.7,1173038.16,1330635.9,1340965.74,1338141.3,1339206.94
49,1335021.52,1327971.04,1333115.0,1332828.96,1341130.2,1214574.8800000004,1326309.56,1340134.24,1340294.2,1338323.32
50,1337385.32,1323499.28,1333195.0,1335668.98,1343337.4,1288586.76,1324521.48,1343213.26,1342472.0,1340982.86
