index,80_1_github.com,80_2_github.com,80_3_github.com,80_4_github.com,80_5_github.com,80_6_github.com,80_7_github.com,80_8_github.com,80_9_github.com,80_10_github.com
38,2328595.1999999997,2481554.48,2669495.32,2355532.84,2629664.0,3443113.8,2617270.6,2142468.6,2539690.7200000007,2304257.0
39,2438996.44,2533895.8800000004,2701536.4400000004,2430311.7600000002,2688937.4,3641311.32,2685482.04,2213355.8,2656316.08,2440363.6
40,2557794.3999999994,2643734.0400000005,2857949.1199999996,2526106.2,2704714.0000000005,3900143.04,2688648.12,2326327.6799999997,2663290.38,2606982.1999999997
41,2673660.4,2711588.6,2940134.4,2636017.0,2853929.0,4003027.2,2880098.5999999996,2535779.7999999993,2828629.800000001,2684579.0
42,2752702.5999999996,2718131.72,3166819.5999999996,2797105.8,2985387.6000000006,4015519.14,3013529.76,2644462.7600000002,2996631.22,2690090.2
43,2871688.16,2733789.36,3381344.359999999,2932327.24,3081064.6,4013792.16,3161293.1999999997,2645951.12,3143813.8000000003,2800062.3999999994
44,3002921.08,2831445.56,3544248.44,2986036.32,3201773.0,4015187.14,3323000.4,2708099.16,3258879.24,2956757.6
45,3108752.4,2962136.2,3730440.16,3185032.2,3346610.2000000016,4017687.84,3592535.44,2846941.6,3474235.52,3050237.8
46,3234747.0,3015793.0,3896693.5999999987,3390411.0,3501575.0,4024262.1,3745781.7999999993,2958411.8,3724667.4000000004,3228332.0
47,3393643.92,3147320.88,3917379.2,3487530.8000000003,3744639.2000000044,4029136.08,3883691.52,3101444.48,3900419.64,3300866.9999999995
48,3610926.5999999996,3320691.440000001,3927623.92,3717985.64,3927053.8000000007,4035450.44,3930430.0799999996,3297460.8,3911129.64,3464099.3999999994
49,3770703.8,3495580.4,3925926.36,3814857.4,3945055.8,4039834.96,3937986.92,3469151.04,3912277.28,3654603.5999999987
50,3916366.04,3665689.2399999993,3928946.36,3920560.2,3944705.4,4041452.68,3937696.04,3655637.6,3912580.74,3781755.5999999996
