index,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov
19,117003.04000000001,72782.76,78452.79999999999,100000.64,113799.79999999999,129048.52000000002,100346.88,98831.64,80161.6,114761.0
20,114760.44,81528.04000000002,105401.4,98052.04,125092.91999999988,181518.87999999983,98513.24,113983.20000000001,102901.19999999992,133643.0
21,124916.79999999997,98979.8,106526.0,114947.79999999999,160493.80000000002,213969.40000000008,114236.60000000006,130088.20000000013,120202.40000000001,171758.0
22,134246.76,114102.2,122884.50000000001,121817.1599999999,197583.47999999998,278176.91999999987,120304.76,175329.52,134928.4,227553.0
23,162418.83999999997,130915.40000000001,151078.2,158355.68000000002,221405.19999999998,319367.4400000002,136296.2,235969.84000000005,171719.76,260220.0
24,196952.12,170088.91999999998,172178.40000000008,197217.12000000002,244852.63999999996,395382.77999999997,217175.80000000005,274391.24000000005,187193.1,321053.0
25,260367.15999999977,193826.8,236799.60000000003,212197.19999999998,298263.39999999997,474390.55999999976,250393.52,336210.04,202319.59999999998,394146.0
26,309805.0,245777.0,263610.0,258462.0,337502.9999999998,536910.0,309765.0,386497.0,241081.0,435467.0
27,370252.87999999995,300914.8000000001,332201.0,305498.2,374480.7199999999,616987.08,365041.8400000001,411675.83999999997,286104.08,479655.0
28,417588.28,349944.5199999998,379363.00000000006,365432.2000000003,431484.55999999994,665451.74,401770.2,458695.0000000002,325083.8,521753.0
29,489674.75999999995,403996.6,432666.4000000001,413816.2,502899.56,735234.5599999998,417247.64,492164.8400000002,377242.07999999996,591257.0
30,528184.76,433603.28,464447.9000000003,441059.2,571181.9599999998,775729.86,459326.4,557223.5600000003,452119.08,651935.0
31,589169.0,471342.0000000002,528039.0,456039.00000000006,619138.9999999999,845317.2,525918.0000000001,587741.0,479738.8,718456.0
32,634270.84,530289.16,590817.5,494714.12,681753.64,881641.08,561853.6799999999,614701.52,540546.0,776079.0
33,686776.5999999999,572487.24,648346.4000000001,539648.3200000001,752981.5199999997,890601.0,614322.1600000003,676747.92,603091.4,805925.0
34,756272.04,631692.4,658162.5999999999,604651.0800000001,795887.5999999993,900928.4,676849.16,706419.72,652376.3799999999,857418.0
35,838140.7999999999,681955.8399999997,714607.0000000002,674946.08,861986.1199999996,908212.44,719810.4400000001,716007.92,696155.36,880924.0
36,862204.3999999999,738093.4,760449.5,682862.4,878342.3999999999,932181.2,728834.0,817024.0000000002,765316.1,891793.0
37,884036.6799999999,780649.68,785113.2000000001,733873.5199999999,887426.6,934845.76,788539.6000000001,841648.36,816429.3600000001,896750.0
38,897115.08,831441.7999999997,833697.4000000001,806325.2799999999,896110.1599999999,939887.7200000001,831100.5199999999,877855.6000000001,860427.2200000001,910346.0
39,898226.76,877991.76,887189.8,846610.32,907385.12,942918.52,869299.28,901179.4,877594.7599999997,932379.0
40,918952.52,887902.8,893370.8,862438.04,924841.12,962603.46,886596.72,905756.36,886814.02,933920.0
41,931935.4,893285.2,908321.0,887132.4,935140.0,988133.4,887459.2,923636.6,893229.6,934483.0
42,952263.48,901561.28,916469.0000000001,892300.8,934639.1599999999,1024999.5199999999,898619.6,933995.0,899753.28,941166.0
43,996338.44,908596.04,933515.4,901522.76,942030.68,1031281.9199999999,904707.68,933537.0,908469.7999999999,961550.0
44,1014752.84,925492.8,942507.8,906451.36,942077.64,1039201.2,920591.4800000006,936700.52,928338.16,1008787.0
45,1017153.72,932384.16,943865.6,935106.76,977841.5199999999,1043954.68,931835.24,942832.6799999999,935529.3200000001,1025190.0
46,1017271.8,936379.2,949458.5,935433.8,1024474.2,1043824.2,936889.2000000001,953192.6,937310.1,1027099.0
47,1020511.36,939984.3600000001,970840.4,934730.4400000001,1027010.52,1046526.24,938761.76,993129.0800000001,939420.0,1034904.0
48,1026566.08,941777.44,999524.6000000001,939580.0800000001,1030501.52,1048685.8,942297.52,1025264.6,945924.12,1045566.0
49,1029304.6,976710.1999999998,1033517.6,961857.24,1034936.4400000001,1050950.16,950722.6800000002,1027244.12,968802.52,1046849.0
50,1032560.52,1009143.88,1035338.6,983982.6,1041121.2,1050892.08,977987.8400000002,1031385.68,1004619.4799999997,1050327.0
