index,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de
25,5473078.720000002,5940143.4799999995,5554533.0,5587233.4,3829887.12,4804738.4,3922645.200000002,4246058.360000002,4738625.199999999,5522269.8
26,5879760.0,6245787.0,5882157.0,5990104.0,3912111.0,5153207.0,4270975.0,4547985.0,4927002.0,5874433.0
27,6013739.68,6479248.4,6266507.8,6380434.399999999,4054515.6800000006,5469335.12,4638023.600000001,4818289.600000001,5207425.880000001,6136477.359999999
28,6173550.08,6676151.84,6651768.699999999,6790513.12,4314595.4799999995,5835993.280000001,4941569.0,5140240.92,5575631.4,6384859.4
29,6383863.4,6901148.12,6942483.799999999,7155252.16,4633770.0,6289157.360000003,5290909.0,5486097.4,5888947.2,6652907.24
30,6564385.56,7004605.5600000005,7144525.5,7495080.239999999,5043511.2,6613920.0,5661042.0,5821072.64,6248665.800000001,6761090.46
31,6731225.6,7168152.2,7360624.0,7853589.799999999,5359514.8,6967661.0,5993566.0,6201624.400000001,6570483.600000002,6933051.800000001
32,7014991.76,7290034.08,7544714.3,8172311.6,5660472.6,7329757.4,6427235.200000001,6532905.68,6962994.16,7098641.42
33,7346754.760000001,7518331.44,7732112.0,8549584.4,5972760.680000001,7682630.840000002,6852447.0,6895045.960000001,7300354.0,7292952.520000001
34,7701752.920000001,7777357.600000001,7892563.399999999,8848428.8,6351585.92,8078681.08,7208244.600000002,7202375.0200000005,7718147.600000001,7448971.24
35,8086457.48,8067351.0,8140718.8,9193450.16,6689808.280000001,8427189.080000002,7549031.000000003,7341845.2,8124954.04,7644810.72
36,8409127.600000001,8336802.200000001,8429392.5,9241865.0,7026197.400000001,8823368.2,7849370.0,7552939.5,8343272.000000001,7987549.5
37,8823091.000000002,8642488.16,8771297.2,9359327.48,7368147.080000005,9194008.28,8116519.0,7879311.800000001,8520174.28,8275784.719999999
38,9204433.2,8941092.72,9097167.6,9519343.079999998,7799378.32,9217767.08,8339336.0,8204596.2,8687622.84,8571946.280000001
39,9494111.44,9195698.76,9403602.8,9573282.92,8228135.84,9331154.4,8558938.399999999,8556084.8,8906230.96,8871863.6
40,9605160.120000001,9392455.280000001,9544228.4,9651995.64,8549002.840000002,9448640.440000001,8836845.200000001,8863484.64,9139197.160000002,9298497.8
41,9657121.6,9512028.0,9640542.0,9670391.6,8868941.200000001,9577731.800000003,9194383.0,9219978.800000004,9400547.8,9554066.4
42,9681124.08,9656335.520000001,9657640.0,9690020.56,9258614.0,9622139.24,9486164.200000005,9531283.3,9677044.24,9614983.4
43,9697560.04,9674358.44,9682704.4,9717480.76,9524701.6,9666777.68,9689582.8,9695027.04,9694375.48,9666742.52
44,9722343.44,9696579.24,9700189.9,9739321.68,9707293.52,9687318.6,9706615.6,9723722.84,9722767.44,9681309.78
45,9753399.52,9724454.92,9728310.2,9766215.6,9735923.72,9704121.6,9729657.0,9743029.84,9750012.68,9721184.72
46,9770783.8,9743654.6,9752023.5,9782230.4,9760409.0,9735104.6,9766401.0,9769317.9,9770131.4,9736836.0
47,9787357.32,9761664.04,9771848.0,9794759.2,9775150.52,9758373.4,9782768.2,9787621.96,9788676.44,9754640.16
48,9803134.52,9774769.32,9785868.6,9813936.2,9795030.6,9777823.44,9801446.6,9803432.36,9806601.72,9770872.76
49,9802653.84,9795341.84,9803739.0,9822947.28,9810820.24,9791254.0,9819069.0,9819994.76,9825117.56,9789359.96
50,9824576.4,9807863.28,9804135.8,9837145.24,9818457.12,9804433.52,9821426.2,9821035.92,9833611.56,9803194.22
