index,118_1_www.skype.com,118_2_www.skype.com,118_3_www.skype.com,118_4_www.skype.com,118_5_www.skype.com,118_6_www.skype.com,118_7_www.skype.com,118_8_www.skype.com,118_9_www.skype.com,118_10_www.skype.com
33,452854.6000000004,185168.0,416630.4,463686.4,471464.68,361183.0,447500.2000000001,480241.75999999995,499607.8800000003,457318.2
34,506756.3,213514.0,429267.96,474829.28,472162.42,404979.8,456731.12,491280.7599999999,541447.4,466109.77999999997
35,551619.0,246415.0,435581.72000000003,474246.2,469861.36,440720.6,467144.2,490140.6,593675.6799999999,465903.24
36,552020.0,254536.0,435477.0,477360.4,480355.40000000014,453780.0,466507.0,501190.0,645050.2000000001,467007.1
37,562081.0,261024.0,447383.8,477147.04,490592.6800000001,456637.4,468192.2,501330.72000000003,690632.7200000001,470519.96
38,565481.1,301267.0,454555.4,488765.3199999999,499609.72,461014.0,479924.92,516375.27999999997,734767.24,488897.3999999998
39,568056.0,375437.0,467014.6,568855.3200000001,504096.12,469985.0,519611.20000000077,520654.51999999996,782782.4,542793.56
40,567684.3,416310.0,468368.56,634858.0800000002,508170.20000000007,469835.2,541790.56,533698.48,816578.2000000001,585643.2
41,571191.0,456596.0,469363.6,693726.6000000002,519391.2,470018.0,607776.0000000001,547966.9999999998,862826.8000000003,619689.0
42,573712.8,481147.0,484925.4400000001,790264.88,522048.46,527832.3999999999,667325.4400000002,546318.08,911305.3200000001,662335.92
43,635248.6000000001,488502.0,564253.4400000002,898748.4400000003,546939.04,564535.0,697683.2000000001,546808.32,923940.52,715060.9199999998
44,680745.6000000002,489508.0,607498.8,923879.9,556128.7200000004,596783.7999999999,735165.1200000001,548072.28,924178.22,752558.34
45,731509.0000000003,490018.0,647526.8800000004,925474.48,617677.5200000001,633809.3999999999,776006.4,587587.6799999996,935287.24,777889.9199999997
46,823644.0,524740.0,709332.6000000001,961971.5,646297.0,677134.9999999995,811184.2,666391.5999999997,939862.9,806123.2000000001
47,901604.6000000008,612201.0,722511.92,968082.84,667638.4,709023.0,820888.6,786143.52,942021.2,851289.96
48,963790.0,670341.0,754310.36,978317.4199999999,718285.4400000005,731086.2000000001,864915.4800000001,824353.7999999999,964959.6000000001,882151.64
49,1020340.5999999997,724137.0,813819.92,979191.1200000001,777253.3200000004,761561.7999999997,890175.8,843014.6,978953.4,908091.36
50,1017013.1999999998,771293.0,886074.720000001,980374.58,833444.76,794243.3999999999,917386.16,938292.4799999997,981368.36,935566.0
