index,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com
15,8400.199999999999,9847.640000000001,8850.28,7347.199999999997,11535.160000000002,25372.72,12649.8,10209.0,13682.4,5682.88
16,7145.0,10752.00000000001,9918.0,11036.4,12341.2,27117.899999999998,13229.599999999999,9510.0,20486.0,6218.6
17,8280.999999999996,14089.400000000005,10354.16,12685.4,12569.8,28809.280000000002,13572.160000000002,9213.0,20094.32,10836.960000000001
18,10368.6,19134.8,10631.48,13309.56,19518.22,38277.1,20317.18,8567.0,18938.84,12883.480000000005
19,10547.4,20219.72,10512.24,13743.48,20157.32,38475.31999999999,19218.28,10983.0,22030.319999999992,14157.72
20,15886.999999999989,19103.26,12501.199999999986,13838.359999999999,18810.58,52289.95999999995,18969.880000000016,11246.0,23164.72,13937.8
21,18813.0,21157.399999999998,17100.2,20414.600000000002,20707.6,85736.0,20552.600000000002,12519.0,25750.999999999993,13529.199999999999
22,18355.200000000004,21007.98,15758.48,19579.8,20585.62,83701.58,22899.12,13797.0,25840.2,13709.2
23,17106.2,22859.84,16439.679999999993,18880.64,22571.32,85430.31999999999,22783.36,20801.0,25090.279999999995,18697.639999999992
24,18889.399999999998,22861.200000000004,19735.440000000002,20799.440000000002,25356.74,89521.08,24855.260000000002,20366.0,26920.88,20315.04
25,20220.599999999988,25066.079999999998,19723.16,22998.64,24814.519999999997,91805.07999999999,24364.079999999998,19076.0,30996.44,19015.359999999997
26,20899.0,25289.0,19507.0,22758.0,24084.5,95278.0,25894.5,19926.0,30325.0,18554.0
27,23308.400000000005,27609.24,22021.44,24703.520000000008,27077.600000000013,95259.24,27387.24,20752.0,31801.8,20624.84
28,23327.8,26981.12,21247.400000000005,24678.28,29490.12,112640.42,26907.679999999993,22043.0,40406.44,22861.16
29,22876.199999999997,27741.52,21701.39999999999,23982.72,31394.879999999997,116028.71999999997,27392.48,22869.0,39811.44,22732.52
30,22093.6,37115.56,22969.039999999997,25718.8,31513.34,117787.52,36824.56,24474.0,40581.96000000001,23014.959999999995
31,25737.0,39345.600000000006,24001.2,27191.4,38975.400000000016,118972.6,36440.4,25473.0,41344.8,25392.600000000002
32,29480.600000000002,39110.74,23523.920000000002,27085.880000000005,43305.1,120399.5,38208.18,25094.5,54366.88000000005,24763.920000000002
33,29310.2,41029.04,24039.36,27105.799999999996,42892.24,122051.15999999999,40025.799999999996,26671.0,79559.44000000003,25629.800000000003
34,29384.4,40802.54,33387.64,33979.63999999999,44730.44,123964.12,40103.060000000005,28460.0,88484.08,26261.239999999994
35,38770.8,63326.240000000034,34644.2,36358.44,44877.40000000001,124593.19999999998,40142.64,28406.0,85752.24,27720.559999999998
36,38181.0,86803.10000000002,35590.8,35917.200000000004,46340.399999999994,134924.99999999983,41964.5,28861.0,87488.0,27590.399999999998
37,40134.4,85279.28,35645.83999999999,37818.8,73948.84000000004,173442.43999999992,45119.04000000001,37083.0,88159.64,27512.079999999998
38,39977.2,82530.52,37045.32,37767.96,81079.3,212548.07999999964,67171.6,37746.5,90972.08000000002,37135.88
39,59418.599999999904,84305.8,38934.879999999976,49061.039999999906,91622.92000000004,262651.23999999993,87285.76,37250.0,91248.51999999999,38985.479999999996
40,79160.2,84688.06000000001,63137.43999999996,62438.92,90475.99999999997,296111.2799999999,89027.59999999999,36873.0,94404.16000000002,39458.72
41,89957.0,84414.4,77544.79999999999,79439.4,88715.2,363449.5999999999,85246.00000000003,38971.0,95237.99999999999,39122.2
42,85884.99999999999,86294.58,78299.92,87667.8,88383.2,409785.23999999976,86704.76,38834.5,96998.12,41002.32
