index,153_1_www.icann.org,153_2_www.icann.org,153_3_www.icann.org,153_4_www.icann.org,153_5_www.icann.org,153_6_www.icann.org,153_7_www.icann.org,153_8_www.icann.org,153_9_www.icann.org,153_10_www.icann.org
24,365732.26,410399.8999999999,397229.72,401600.75999999983,405007.64,400266.80000000005,389097.2,463733.6,401816.96000000014,445220.96
25,384078.56,472176.3199999999,401706.36,457613.12,431714.68,404521.76,423175.7999999999,502236.1999999998,452246.96000000014,467789.12
26,398650.5,481295.0,444698.0,471181.5,470786.0,410873.0,431189.0,517494.0,491459.0,500022.5
27,435903.36,510095.96,482377.80000000005,482379.44,486966.44000000006,456600.84,487927.2,543435.7999999999,516234.24,532944.8
28,461805.80000000005,516289.02,510011.60000000003,520245.19999999995,506111.8400000002,487654.32,492767.8,573655.8,521788.76,547343.1
29,481877.12,542594.92,529313.4,541019.9199999999,526081.04,518577.88,509384.7999999997,585079.0,539312.8000000002,595368.3999999998
30,494936.44,599618.6999999997,569765.44,561102.7999999998,569494.7200000004,551616.64,537582.2,610359.9999999999,566421.6,612104.18
31,504393.8,635809.3999999999,608152.3999999999,602323.5999999999,596732.6,552873.6,568470.0,651945.0,628435.6000000001,628063.3999999999
32,507144.74,687485.78,663679.8,617628.4400000001,602470.4000000004,593444.9600000001,604007.9999999999,677053.6,680310.4800000001,654344.9199999999
33,517249.80000000005,710505.9599999998,708077.68,624011.6,637948.2800000003,644888.4,626362.8,695068.9999999999,728128.72,697943.72
34,570566.12,723820.2,750643.7600000002,678968.9,694664.76,659852.76,665358.8000000002,727503.0,755676.8,748040.8
35,622440.72,742920.3999999998,780488.6,713128.2000000001,737096.0800000001,687872.64,689832.2,771938.9999999999,803022.6,806616.68
36,654056.6,798812.5,831533.2000000001,726866.5000000001,791059.2,729528.4000000001,719694.0,810781.0,829333.0,813146.7000000001
37,692769.2,853559.9599999998,879549.3599999999,774233.5200000001,822225.5200000001,759926.84,718303.8,855088.2,847902.16,860391.64
38,716669.0000000002,912462.9,920667.2799999999,810860.1,867132.8400000001,822525.3200000004,738932.6,868375.6,889319.6,902302.5199999999
39,756116.96,945436.2799999994,926120.48,848599.2399999999,905413.2000000008,871586.4400000001,783634.8,905575.3999999996,919700.8000000007,977970.7599999997
40,787968.3,969959.4399999998,986135.6800000002,876083.3999999999,954449.6800000003,896761.88,838981.6,939217.1999999997,974542.7600000006,1003062.6399999999
41,813739.2000000001,1028810.7999999996,1022970.0,919455.0,1008656.2000000008,919096.4,873605.0,964552.0,1001599.0000000002,1062808.0
42,865943.88,1088921.0799999998,1059946.52,956963.6,1047082.8800000001,978113.1200000003,877362.5999999999,979284.9999999999,1020942.8,1092909.3
43,913061.68,1131807.24,1083882.0399999998,1000442.2,1070429.08,1011975.3600000003,942975.7999999998,1024833.8,1056484.44,1143956.8800000001
44,959166.5799999998,1154913.0999999999,1133387.08,1066674.52,1121518.4800000004,1046497.4400000001,1012265.4,1055417.0,1108262.9200000002,1196769.32
45,1006717.9200000003,1180306.9999999998,1174150.0,1119212.1999999997,1176142.4000000001,1110428.9600000004,1063764.1999999997,1096267.4,1157624.7200000002,1253787.92
46,1063333.0,1195736.1,1205742.0,1189327.7999999998,1194454.4,1119958.8,1121729.0,1148147.9999999998,1233765.4000000001,1325885.3999999997
47,1111903.0000000002,1218445.0,1228909.24,1215648.7199999997,1212144.8800000001,1146899.8400000005,1179429.0,1217568.8,1252722.4000000001,1395877.3199999998
48,1165749.9800000002,1237106.76,1275868.9200000004,1289988.7599999998,1233846.56,1177976.8400000003,1228588.5999999999,1276358.2,1320091.7600000002,1456625.7599999998
49,1199619.6,1259909.48,1341719.48,1375992.3199999998,1280893.72,1219253.48,1261627.0,1327849.5999999999,1379170.2,1502592.3199999998
50,1250185.3,1313109.3,1404162.6,1437948.7,1372809.7600000002,1272824.96,1301338.0,1382743.9999999998,1435154.9600000002,1519967.32
