index,221_1_moodle.org,221_2_moodle.org,221_3_moodle.org,221_4_moodle.org,221_5_moodle.org,221_6_moodle.org,221_7_moodle.org,221_8_moodle.org,221_9_moodle.org,221_10_moodle.org
18,46274.84000000001,52235.959999999985,172012.4,132569.76,70354.91999999991,31717.66,33967.799999999996,188366.68000000002,45923.56,34472.88
19,99871.96,94577.60000000002,179855.64,163372.84,108987.15999999976,33579.48,57772.840000000244,256609.68,80709.24000000002,56687.71999999998
20,126959.88000000006,133952.84,219328.16000000024,194836.28,149964.39999999994,34330.32,104639.56000000001,309244.32,117828.36000000009,99442.80000000002
21,169968.6,166221.6,279378.2,194775.8,176479.99999999988,55291.80000000003,158417.20000000007,309498.4,159879.0,134622.6
22,212232.9199999999,201881.6,319904.32,235460.84000000005,203382.15999999997,88339.79999999997,181764.4800000002,313365.64,179015.16,164319.96
23,247388.99999999997,256875.08,321784.88,288888.9199999999,260513.15999999997,106373.24,237100.2,321739.28,199583.80000000002,215362.12000000017
24,295528.06,275822.76,325491.28,329053.12,300309.48,144346.56000000008,281489.2400000001,325505.42,210596.20000000004,274118.92
25,298213.92,315432.68,329983.68,342483.2400000002,329159.68,174501.4,315283.8,331621.52,221608.6,308231.0
26,315394.5,319356.5,330772.0,347350.0,331095.0,179858.5,319723.0,332796.0,231252.0,308490.0
27,319872.56,320209.12,332539.76,349178.8,340957.36,239695.44000000003,320355.64,340697.28,250121.48,319209.88
28,321837.86,321889.54,345031.24000000005,352812.12,343082.04,290096.24000000017,322262.84,347312.12,276198.9200000002,320208.12
29,325200.64,325267.96,349151.4,354196.96,342717.16,307667.2,325814.84,351536.28,316334.12,321635.68
30,325962.24000000005,325344.92000000004,353009.64,365222.36,346614.48,313598.27999999997,325554.76,384667.3999999999,319953.36,325258.04000000004
31,331011.2,331692.8,389382.20000000007,369719.0,351219.6,325314.8,331997.8,425108.99999999994,322943.6,325915.2
32,332529.58,332418.48,429603.08,376715.07999999996,351904.88,325583.52,332950.0800000001,456655.91999999987,322426.12,331309.12
33,339381.8,332861.56,444790.12,427829.80000000005,357472.23999999993,327181.36,333244.76,464309.88,326496.44,332554.12
34,347727.24,346832.5,473207.12000000017,450049.04000000015,366712.0,330529.44,348201.76,465695.8,331729.08,332554.48
35,359155.04,348597.2,563518.7600000001,474921.48,368417.52,330636.24,350962.76,469929.8,331893.12,346236.0
36,390167.19999999995,352244.99999999994,637217.4000000001,483903.4,371375.6,336738.7,372109.4000000001,518298.9000000001,339353.60000000003,347758.0
37,429817.6400000001,383109.5200000001,693914.04,486020.08,374960.11999999994,336188.68,405866.92,572650.4800000001,348784.4,357655.3999999999
38,443124.06,429581.2,734697.96,508121.2,415417.55999999994,337826.3,406279.56,647529.06,348397.24,418721.52
39,447827.28,431697.32,746958.8000000002,549915.4799999997,458554.3999999999,343768.28,446413.04000000004,707373.0399999999,351252.76,421864.52000000014
40,515116.88,461347.43999999994,769104.6,618559.7200000001,465854.43999999994,353081.98,463229.08,745740.42,351317.64,445083.36
41,561108.8000000002,490679.19999999984,776012.4000000001,673778.1999999998,482759.3999999999,355811.4,493296.2000000003,746113.8,353216.2,462459.6
42,624708.98,546530.4799999997,784006.04,758428.92,509620.91999999987,356605.24,539969.52,776485.92,371114.92,501502.36000000004
43,679546.12,607620.7600000001,784324.68,761167.44,572557.4799999995,375035.83999999997,619184.4400000003,779600.6799999998,374345.48,572742.32
44,735668.82,652687.9,785150.96,766845.52,625589.1599999998,402952.79999999993,648129.7200000001,784256.16,374463.28,625972.3999999999
45,737701.92,693155.88,792114.08,791427.7599999998,702545.9199999999,436572.76,693830.0,790820.8799999999,387234.0,686754.7200000001
46,768951.0,738188.7,793691.0,800375.6,743434.7999999999,450657.1,738186.2,792218.8,422940.6000000001,737189.6
47,773790.48,737700.84,797759.84,802056.88,758753.56,468088.84,737948.64,794382.76,456326.44,737983.04
48,773682.1,754688.78,797338.48,811019.6,766587.64,491704.0,768429.36,802635.8800000001,471521.4,789376.4800000002
49,811346.9599999995,821659.1200000001,808935.12,812260.4400000001,809515.6399999998,515029.0399999999,813407.2400000003,802861.32,500723.4800000001,833992.0800000001
50,867756.4799999997,882794.3200000001,808807.44,822341.4000000001,890599.8799999994,572636.2799999999,877501.1200000006,802757.16,549284.16,876507.04
