index,353_1_de.napster.com,353_2_de.napster.com,353_3_de.napster.com,353_4_de.napster.com,353_5_de.napster.com,353_6_de.napster.com,353_7_de.napster.com,353_8_de.napster.com,353_9_de.napster.com,353_10_de.napster.com
28,416376.76,200428.60000000003,249075.24,431321.39999999997,192470.62,424942.44,193344.84,380386.4,431702.8,409895.98
29,422915.4,201975.75999999998,274136.9200000001,466564.2800000001,194191.28,430266.6,196233.11999999997,418477.84,453010.72,408586.6399999999
30,431201.75999999995,223968.60000000003,306114.08,478962.36,195094.10000000003,440962.2,198943.48,424390.60000000003,488559.52,412197.42000000004
31,464633.99999999965,241781.60000000003,337627.19999999995,480553.6,201842.0,454534.4,202397.0,431496.8,487708.2,418727.8
32,487742.16,257762.96,356301.8000000001,484414.84,201548.54,462360.4,212667.96000000002,433558.8,490337.38,424220.3
33,487163.24,282246.8,383405.52,486985.48,218977.52000000005,463812.92,223682.95999999996,444613.4000000001,494805.52,427788.6
34,487599.24,311162.92000000004,390320.24,498055.24,234173.84000000005,468721.6400000001,234643.59999999998,454806.77999999997,495638.42000000004,442359.77999999997
35,490053.16,349935.28,402095.8,503289.08,256978.36,484732.08,250934.96,469212.76,498969.52,457763.6
36,493580.2,411010.8,406518.39999999997,500119.8,280687.0,499009.2,268194.4,474529.0,502916.1,480816.5
37,497763.6,412859.36,408721.52,517743.64,305585.96,509109.88,292153.76,483651.04000000015,515168.80000000005,480629.92
38,508798.92,411460.96,411317.96,524642.92,347002.3,510658.56,308894.43999999994,490745.66,522853.42,482216.14
39,516113.44,412924.88,410743.88,528118.28,383739.6000000004,521149.72000000003,330977.60000000003,497413.84,526937.28,482054.44
40,517553.68,415151.56,412353.36,534625.64,410949.62,520507.92,360513.6,499759.95999999996,537889.86,485451.36
41,525524.6,413830.6,413908.2,535182.7999999999,412548.4,532290.6,400614.0,505714.2,541447.2000000001,489998.4
42,528252.12,415368.96,417704.12,538088.24,412913.6400000001,535830.6399999999,411986.52,525224.6,543427.58,494120.68
43,532482.44,418453.92,417331.56,540669.52,413700.64,537010.0,412210.04,528684.64,546711.84,496291.16
44,533904.8,421120.88,418639.52,547353.48,415244.18,541281.16,410932.08,530862.8,547767.98,499047.34
45,542504.84,422226.92,418852.08,550897.96,417286.44,543005.96,413946.68000000005,529869.32,557542.5200000001,513164.07999999984
46,541433.8,425975.0,422982.00000000006,552854.2,416572.3,544743.2,414666.6,533555.9,559265.7,513193.1
47,542353.32,428696.12,425411.08,556350.44,417525.96,549517.84,416209.76,540240.16,559427.52,518482.12
48,546099.04,444200.36,430960.68,559950.48,419280.98,551624.24,417944.68,541640.16,564254.52,518621.44
49,550762.84,451682.12,436334.6,568511.04,420544.4,551602.16,417474.76,543537.72,568460.4399999998,531464.7999999999
50,550616.92,481865.28,444974.60000000003,570763.36,427361.12,551532.08,416999.92,545286.58,576433.18,533486.4400000001
