index,78_1_github.com,78_2_github.com,78_3_github.com,78_4_github.com,78_5_github.com,78_6_github.com,78_7_github.com,78_8_github.com,78_9_github.com,78_10_github.com,79_1_github.com,79_2_github.com,79_3_github.com,79_4_github.com,79_5_github.com,79_6_github.com,79_7_github.com,79_8_github.com,79_9_github.com,79_10_github.com,80_1_github.com,80_2_github.com,80_3_github.com,80_4_github.com,80_5_github.com,80_6_github.com,80_7_github.com,80_8_github.com,80_9_github.com,80_10_github.com,81_1_github.com,81_2_github.com,81_3_github.com,81_4_github.com,81_5_github.com,81_6_github.com,81_7_github.com,81_8_github.com,81_9_github.com,81_10_github.com
18,378944.32,220085.60000000003,315276.6,339531.60000000003,188065.79999999987,216619.1,289171.4,381295.72,385790.52,231807.6,179619.12,349795.5199999998,73160.80000000019,143070.2,120829.6,310422.32,194518.60000000003,146259.28,301858.2800000001,331435.96,425201.76,373533.23999999993,460633.56,567688.84,494303.2000000002,734847.7999999999,588420.2,269912.44,594351.7200000001,410549.4,77213.12,79541.78,52548.24,192875.96,82358.28,78717.14,75581.7,137201.79999999996,82427.96,79151.42
19,385214.48000000004,326092.75999999995,372865.0,444214.44000000024,291957.8,291334.12,326438.64,434126.0800000001,390452.72000000003,298978.0,190695.47999999998,432369.24,151550.40000000026,158354.8,124530.6,366250.24000000005,248744.40000000008,176792.08,320336.68,401826.24,551667.24,502840.28,526127.76,658377.1199999996,572897.8000000002,803788.2000000001,642968.2399999999,384469.2,672941.9600000004,445340.7999999996,79905.64,81419.36,57098.96000000001,208950.68,86013.84,80425.51999999999,80094.8,177853.0,86415.36,77667.56
20,391180.24,411618.36000000004,371683.9,546087.2000000001,340879.39999999997,378227.39999999997,329524.12,487259.3599999999,399473.36,396592.60000000003,196235.66,433480.34,181332.39999999994,160602.4,126284.8,400236.48,306975.4,210184.19999999998,348035.32,432400.52,586364.04,665688.2000000002,687945.36,725782.64,675494.2000000001,893215.2799999999,825617.2,529941.16,898010.2400000003,480338.2,81602.72,86205.66,59871.060000000005,206903.08,86282.52000000006,78411.38,79779.8,178202.2,88557.88,76127.14
21,393439.8,487436.4,370308.0,621155.2000000002,388996.0,462158.0,337017.2000000003,554850.8000000002,404771.0,463362.0,266548.2,440948.2,280716.0,177064.0,129009.0,434809.8,377776.0,223521.79999999996,383835.5999999999,435985.2,688954.0,773385.2000000004,818673.4000000001,781171.0,718073.0,1045112.2,879234.9999999999,558210.7999999999,962084.4,480888.0,83135.2,85532.8,64671.6,209955.0,88631.2,79245.79999999999,77841.0,176477.0,89821.2,80076.2
22,424746.52000000025,606562.2400000003,457534.2,712064.3200000001,466489.6,555418.6,445789.56000000023,638788.8399999997,409430.24,532000.7999999999,274016.76,439622.06,357212.0,248065.8,139423.59999999977,437089.2,409849.80000000016,225760.18,431615.22,438594.2,910459.8799999994,801037.9600000004,866593.2,926942.72,803556.8,1110251.56,1069793.1999999997,726494.68,1016903.3,596171.0,80958.48000000001,87429.14,64500.54,242920.36000000002,90231.27999999998,82971.94,78788.4,194244.59999999992,92941.64,81663.81999999999
23,513151.24000000005,680859.04,586071.6000000003,797621.6,504072.19999999995,654296.2799999997,586532.7200000001,730281.3200000002,413338.96,571955.8,274117.44,476994.83999999997,416254.80000000016,338580.0,209920.8,444931.2,434400.4,230498.76,433878.76,442261.32,1044610.2,1023383.16,968461.2000000001,1045206.64,885367.4,1194356.3199999998,1173380.08,840379.6,1058307.48,709599.5999999999,84434.48,88411.08,87195.31999999999,262908.3599999999,96602.36,86861.44,81731.80000000003,202480.2,95544.4,87422.88000000002
24,585409.4800000007,752632.16,712476.0000000001,854417.44,647227.44,753574.44,713422.4800000007,856130.9199999999,412090.56,589563.4,279204.08000000013,505211.6,434189.8,405872.7,293200.4000000001,458086.92,436227.1,232484.91999999998,435358.86,441303.68,1123267.4399999992,1142348.6,1072656.8399999999,1124463.96,970412.0000000001,1393411.56,1290069.04,932298.28,1090363.62,796064.4,88341.76,90295.82,87810.16,267137.64,131979.52000000002,88969.66,83413.20000000004,205953.4,103223.4,88260.98
25,695553.72,835399.76,763671.8,886462.96,827114.9999999997,834571.3999999999,806047.16,954084.2,410477.6,592910.6,392026.04000000004,547629.24,436388.00000000006,432996.6,402553.19999999984,504005.1600000001,441468.00000000006,300683.56,436584.96,478645.95999999996,1207764.48,1169124.48,1161318.4,1141765.76,1191499.0000000002,1514953.24,1346113.36,937460.64,1099350.08,855444.9999999999,90509.64,88766.16,87092.56000000001,269226.2,139689.48,90892.08,85614.40000000001,229850.39999999976,102305.92,89391.24
26,719928.0,907749.5,842843.0,899209.0,830553.5,838128.0,838956.0,1054494.0,496320.0,629516.0,433566.5,555893.0,440893.0,434816.5,433752.0,568672.0,442408.0,356202.0,439959.0,548589.0,1303649.0,1197464.0,1294574.0,1307309.0,1272838.0,1698866.0,1457444.0,1002146.0,1230762.0,935867.0,92047.0,92497.5,88097.0,284038.0,139183.99999999997,92462.5,87860.0,246478.0,140857.0000000002,92740.0
27,723490.84,911001.76,843871.6,922628.76,869365.72,838445.04,836296.04,1096311.8,655537.64,682364.4000000001,435003.84,573316.8,442232.60000000003,437979.6,435508.8,618530.5599999998,441183.8,434694.48,443291.96,571204.48,1430937.8,1273733.2,1427712.5999999999,1420286.52,1391901.4000000001,1820053.32,1523300.64,1040684.9199999998,1397261.72,1069635.7999999996,95153.64,94674.56,92155.68,292460.56000000006,150679.8,95333.40000000001,89773.6,279755.0,216028.2799999999,92297.6
28,726233.04,917615.52,879267.6000000003,934009.12,897496.94,886041.84,889477.4000000001,1199901.04,729466.6,755081.2000000001,436892.62,572265.58,473803.0,438307.8,439309.2,703130.4,465728.00000000006,436367.62,442311.44,570368.4,1509100.12,1310432.3600000008,1551034.32,1525103.68,1493188.6,1882113.2399999993,1594210.2,1214441.2,1552607.72,1148348.2,101375.40000000001,96138.78,96137.86,326466.6400000001,162682.92000000027,99057.06,92959.3,284895.8,255496.16000000006,155022.28000000038
29,792394.2799999999,1021942.4,910594.6,1042487.4,903504.44,906088.36,900390.88,1236603.04,844142.4,821426.7999999999,439869.16,628638.6799999996,551792.2000000003,440846.4,442217.4,746661.28,512674.6000000004,436945.39999999997,442126.84,653390.0400000002,1544183.56,1446512.1199999999,1593912.2399999993,1582022.52,1534676.8,2097830.7199999997,1661186.12,1324172.48,1666869.1600000001,1348132.8,104947.31999999999,97582.92,96235.04,367551.79999999993,187517.24,103929.56,96336.00000000003,287187.4,290602.24,240640.92000000036
30,929832.5200000005,1145127.2,912020.0,1109104.76,909671.98,907423.42,904605.86,1241256.5200000003,985755.5599999998,892094.4000000001,443271.32,696321.0000000002,566781.4,440026.1,448772.0,755779.2,558910.8,446579.1,440233.02,701055.6400000001,1626568.04,1589094.6400000004,1737782.3200000005,1730524.9600000002,1617073.0,2260792.2800000003,1771201.2,1431635.32,1818439.4000000001,1446324.3999999992,123132.20000000001,98261.74,97932.45999999999,430759.39999999997,202091.40000000005,107046.92,99179.09999999999,320556.4,319739.4400000002,270278.24
31,1048865.6,1240191.4,983985.0,1250492.8,966193.3999999997,978984.5999999997,943213.8000000002,1346062.4,1075801.7999999998,973810.0,442394.2,714230.0,600686.0,455892.0,452107.0,754817.4,571349.0,446188.2,487213.9999999998,791752.8000000002,1698796.9999999998,1653718.8000000012,1799062.3999999997,1787674.8,1741714.0,2403542.6000000006,1797889.6,1503762.6000000003,1896922.8,1590769.0,154694.8,95934.79999999999,97935.6,490184.19999999966,207520.6,113630.79999999999,104468.0,338719.0,407288.4000000002,275323.4
32,1132655.2400000002,1243576.06,1049537.4,1255284.64,1017825.6,1061129.68,997208.5600000008,1431222.6,1212633.0799999998,1036012.6000000002,442301.2,772755.76,669038.0,506265.19999999995,451673.6,798753.36,570394.7,445123.22,548277.8800000004,877376.1600000003,1829464.3199999998,1751438.2,1884267.4000000001,1796113.88,1815812.4,2574713.76,1893456.8,1577964.92,1935031.9200000002,1651744.2,158411.04,100833.20000000001,101815.40000000002,567010.56,211202.28,115443.02,103057.4,396506.8,412105.76,280688.64
