,218_1_moodle.org,218_2_moodle.org,218_3_moodle.org,218_4_moodle.org,218_5_moodle.org,218_6_moodle.org,218_7_moodle.org,218_8_moodle.org,218_9_moodle.org,219_1_moodle.org,219_2_moodle.org,219_3_moodle.org,219_4_moodle.org,219_5_moodle.org,219_6_moodle.org,219_7_moodle.org,219_8_moodle.org,219_9_moodle.org,219_10_moodle.org,220_1_moodle.org,220_2_moodle.org,220_3_moodle.org,220_4_moodle.org,220_5_moodle.org,220_6_moodle.org,220_7_moodle.org,220_8_moodle.org,220_9_moodle.org,220_10_moodle.org,221_1_moodle.org,221_2_moodle.org,221_3_moodle.org,221_4_moodle.org,221_5_moodle.org,221_7_moodle.org,221_8_moodle.org,221_9_moodle.org,221_10_moodle.org
13,332175.60000000003,366499.78,333147.19999999995,321866.46,337096.24,338434.38,333183.60000000003,355837.64,334847.02,36129.1,32966.3,35219.28,12187.02,35443.36,34031.07999999999,33688.88000000001,35331.439999999995,33322.36,39362.2400000001,36408.84,21126.32,24359.120000000083,37421.88,19974.799999999992,20881.64,16534.199999999993,20011.48,37179.8,174363.6,20850.63999999993,24117.71999999998,32544.6,32112.36,32332.919999999976,14704.320000000003,35246.24,23463.07999999997,14271.28
14,335130.8,367325.52,341582.32,323532.8,342302.24,345989.68,364370.2,367984.76,369757.67999999976,56924.120000000075,34938.6,36003.79999999999,29116.519999999997,56704.48,36489.56,36621.2,41842.76,35152.72,103938.00000000004,38257.12,38114.96,37377.96,36556.52,37133.4,36093.60000000001,21412.599999999995,20049.0,36418.2,256132.8000000001,32088.16,32504.68,34825.20000000002,33864.48,31982.16,25107.47999999999,52829.75999999998,32858.52,32716.44
15,377957.5,434224.9,351147.8,355582.3000000001,369683.6,370244.6,370946.0,369795.4,377025.2,122287.4000000001,83043.0,64037.199999999924,34209.9,104131.19999999997,72926.39999999994,70453.4000000001,43494.8,37868.999999999985,142744.2,55374.39999999997,37428.2,36734.9,39193.8,37014.5,37330.2,38381.7,23353.399999999976,38152.0,311675.0,33758.8,33408.200000000004,83943.80000000008,46532.00000000002,33176.8,32678.8,105116.0,32067.2,31750.8
16,380975.8,560935.6799999999,400878.5999999999,363558.32,373604.6,417475.48,374209.0,387720.4000000001,385809.64,166875.36000000004,140557.8,118250.31999999993,33589.520000000004,133628.8,110857.95999999996,128109.88000000006,78387.48,87723.40000000002,175151.32,93148.91999999988,36766.04,38612.04,39393.28,36337.8,36586.08,37662.36,40111.07999999997,39009.2,318411.2,33415.48,33910.36,137092.88000000006,102605.48,34331.31999999998,31929.12,128878.07999999994,33722.48,31844.640000000007
17,442166.4,706860.8799999999,407875.52,368623.24,374531.56,433276.8000000001,444196.00000000023,458475.96,508058.78,210219.42,166679.49999999985,157172.55999999994,33125.700000000004,172184.2,148681.52000000002,183553.72000000012,95074.8799999999,128187.92,213529.04,131234.8,38559.16,41979.900000000016,76246.08,38150.9,38397.32,37025.16,45169.62,74690.79999999997,321105.8,46274.84000000001,52235.95999999999,172012.4,132569.76,70354.91999999991,33967.8,188366.68,45923.56,34472.88
18,608508.2000000002,872874.4399999997,423404.35999999975,367913.92,467235.8399999999,494758.44,540398.8,595970.8400000002,644977.96,250256.44,187817.8,173742.36,36259.96,180643.08,173953.52,247263.48000000013,113794.04,176762.95999999993,279504.84,169716.15999999974,39616.72,77931.8,136495.36000000004,38502.599999999984,39236.44000000002,38779.88000000001,44420.68,109419.2,324367.8,99871.96,94577.60000000002,179855.64,163372.84,108987.15999999977,57772.840000000244,256609.68,80709.24000000003,56687.71999999997
19,617691.3,1000380.6799999998,534830.7599999999,397859.8400000001,576443.24,550762.24,604473.6,736504.7200000002,798628.6799999996,286377.2400000001,242164.39999999985,175209.79999999993,59740.27999999985,203969.08,217696.84,309133.84,174061.15999999995,205712.68,313806.92,224383.27999999988,83209.64,112173.94,167224.76000000007,66370.20000000001,83710.04000000011,42261.799999999916,46441.14,144517.2,326915.4,126959.88000000006,133952.84,219328.16000000024,194836.28,149964.39999999994,104639.56,309244.32,117828.36000000007,99442.80000000002
20,729781.0,1139294.0000000002,654508.7999999992,438517.00000000006,680557.8,629450.1999999997,621770.0,868583.0000000003,940048.3999999996,309882.4,278560.0,184981.0,78782.99999999996,229913.99999999997,259826.1999999999,320799.0,227468.5999999999,271794.2000000001,326668.2,288233.39999999985,100612.0,160368.80000000002,182974.6,80115.0,116489.8,86487.99999999997,54119.599999999984,176863.0,330108.0,169968.6,166221.6,279378.2,194775.8,176479.99999999988,158417.20000000007,309498.4,159879.0,134622.6
21,881360.4,1262355.74,816458.0399999996,543494.1,885436.12,810751.36,730194.8000000002,1111873.4799999995,1063397.5599999998,314100.94,295942.59999999986,196490.2,115973.68000000002,279028.68,308380.71999999986,321629.18,252169.88,307110.4,328252.72,318185.64,122672.16,198389.36000000004,183006.96,111886.79999999996,150934.6,129394.71999999984,84478.79999999999,200837.0,333611.60000000003,212232.9199999999,201881.6,319904.32,235460.84000000003,203382.16,181764.48000000019,313365.64,179015.16,164319.96
22,1003468.8000000002,1440632.08,935074.28,630393.16,988769.2400000005,971249.9199999992,901071.8000000005,1190445.36,1215321.84,322374.48,321361.6,237138.15999999997,156079.08,321135.72000000003,317159.04,326432.76,317374.68,321348.88,331668.64,319674.08,162099.12000000017,245619.8,233264.36,140286.6,180516.44,160925.07999999993,135069.87999999998,267578.6,349600.0,247389.0,256875.08,321784.88,288888.91999999987,260513.16,237100.2,321739.28,199583.8,215362.12000000017
23,1113206.2,1540050.72,994033.4,719894.8400000002,1136883.8000000005,1128443.3999999994,1101249.8000000005,1354230.2400000002,1503979.1199999996,324084.22,326084.7,273330.72,170878.16,322840.56,318813.68,327961.02,320714.80000000005,325342.72,334470.24,321159.64,187832.4,280805.16000000003,285060.96,174891.99999999994,196801.76,174875.8599999998,154016.31999999998,272580.8,427671.2,295528.06,275822.76,325491.28,329053.12,300309.48,281489.2400000001,325505.42,210596.20000000004,274118.92
