index,270_1_www.transfermarkt.de,270_2_www.transfermarkt.de,270_3_www.transfermarkt.de,270_4_www.transfermarkt.de,270_5_www.transfermarkt.de,270_6_www.transfermarkt.de,270_7_www.transfermarkt.de,270_8_www.transfermarkt.de,270_9_www.transfermarkt.de,270_10_www.transfermarkt.de,271_1_www.transfermarkt.de,271_2_www.transfermarkt.de,271_3_www.transfermarkt.de,271_4_www.transfermarkt.de,271_5_www.transfermarkt.de,271_6_www.transfermarkt.de,271_7_www.transfermarkt.de,271_8_www.transfermarkt.de,271_9_www.transfermarkt.de,271_10_www.transfermarkt.de,272_1_www.transfermarkt.de,272_2_www.transfermarkt.de,272_3_www.transfermarkt.de,272_4_www.transfermarkt.de,272_5_www.transfermarkt.de,272_6_www.transfermarkt.de,272_7_www.transfermarkt.de,272_8_www.transfermarkt.de,272_9_www.transfermarkt.de,272_10_www.transfermarkt.de,273_1_www.transfermarkt.de,273_2_www.transfermarkt.de,273_3_www.transfermarkt.de,273_4_www.transfermarkt.de,273_5_www.transfermarkt.de,273_6_www.transfermarkt.de,273_7_www.transfermarkt.de,273_8_www.transfermarkt.de,273_9_www.transfermarkt.de,273_10_www.transfermarkt.de
21,2827644.6,2398732.0,2369672.4,2358174.0,2308243.0,2456410.8,2769558.8,2175532.8,2812765.8,2079107.0000000007,2584708.8,2386325.9999999995,2581994.2,2331044.0,3013708.6,2975466.4,2967277.4000000004,3052381.0,3032444.0,3166260.8000000003,2424305.2,2562511.0,2537060.4,2512170.0,2448209.6,2494321.6,2440944.6,2483303.2,2565583.2,2422945.8,2555852.0,2760708.0,2695854.2,2752988.8,2506138.8,2571459.8,2503480.0,2677331.4,2556707.6,2176736.0
22,2842709.36,2763159.4400000004,2403669.72,2374106.2,2366163.6,2474897.08,2798607.84,2188945.64,2840278.52,2132843.92,2663842.56,2732726.040000001,2588963.08,2370953.8,3089101.98,2986928.42,2986286.12,3072058.2,3069161.1,3190686.8000000003,2440815.56,2581554.4,2569078.1,2528479.4,2450595.92,2550052.02,2514261.76,2514708.1199999996,2594968.28,2448715.56,2596631.16,2799057.0,2710023.4,2784879.98,2552926.44,2590227.44,2549453.12,2713811.56,2634726.52,2200198.0
23,2859142.28,2785442.84,2419724.96,2398586.2,2625450.199999997,2493490.04,2825833.1999999997,2215550.64,2848983.12,2145876.8,2676188.48,2959014.7600000002,2669329.84,2419074.2,3163093.64,3023858.04,3032992.4,3102705.6,3198733.72,3246424.52,2450760.6,2609653.8000000003,2585899.6,2542530.1999999997,2496514.52,2557037.24,2538607.76,2526750.32,2611744.96,2469323.6,2623293.64,2811942.0,2796336.08,2799976.44,2567176.36,2615720.28,2579058.12,2754103.44,2655932.08,2332850.0
24,2902370.92,2810519.1,2440883.36,2409549.5,2749781.2,2543598.28,2842970.48,2231651.1200000006,2884230.4,2158697.96,2707491.28,2998039.3800000004,2750568.04,2446946.2000000007,3210905.98,3069909.24,3238673.48,3142301.5999999996,3305772.42,3335827.88,2472987.8400000003,2621949.8,2607557.2800000003,2577629.8,2514339.76,2577841.26,2577029.44,2621520.16,2635950.8,2488444.8000000003,2674278.72,2825672.0,2831102.88,2835601.1200000006,2618100.42,2669175.28,2589698.5999999996,2775357.04,2674719.68,2633457.0
25,2917650.7600000002,2842161.48,2468619.28,2417324.4,2784634.4,2552230.64,2864782.84,2248788.84,2907514.12,2196658.36,2904358.32,3113891.88,2923857.36,2467451.1999999997,3230649.84,3260402.32,3265270.16,3349726.6,3336392.96,3377252.96,2500898.32,2633342.4,2621920.8,2616582.6,2537674.16,2597159.8,2605550.92,2647847.92,2717487.88,2512085.16,2686274.28,2858344.0,2860746.88,2856819.7600000002,2648619.7600000002,2695355.8,2610280.4,2798076.4,2731370.56,2674841.0
26,2960843.0,2865840.5,2503104.5,2431518.5,2789280.0,2584262.0,2882839.0,2277574.0,2911809.0,2434038.0,2927381.0,3199136.0,3190977.0,2485648.0,3259086.5,3287301.5,3284058.0,3361877.5,3354475.0,3388391.0,2521998.0,2655434.0,2635855.5,2640719.0,2552317.0,2611085.5,2623823.0,2664084.0,2768086.0,2533809.5,2705264.0,2892287.5,2869050.0,2899205.0,2672154.5,2708710.5,2633289.0,2839470.0,2752456.0,2695842.0
27,3130137.9600000004,2910239.36,2523570.28,2660942.0,2808139.0,2592670.48,2929217.6,2298619.44,2938589.48,2573595.88,2972321.16,3244758.28,3431022.200000001,2595813.4,3280023.36,3309060.12,3304669.48,3436260.2,3456643.08,3433467.16,2543113.32,2688878.0,2657399.24,2652333.4,2563113.52,2631878.6,2652281.32,2684768.88,2807544.64,2548494.880000001,2727024.04,2911616.0,2912309.16,2911048.88,2693230.36,2730027.32,2718329.6,2903948.44,2776147.96,2722173.0
28,3157250.76,2909925.64,2526653.52,2838515.8,2868765.6,2608384.64,2943822.16,2319165.68,2981789.96,2576302.96,3016874.24,3320601.14,3530829.72,2620418.8000000003,3311535.68,3336586.8200000003,3332182.64,3475458.2,3498665.84,3865682.52,2553854.2399999998,2702036.8000000003,2676139.8,2667910.2,2579758.92,2660145.9,2663307.84,2701633.16,2871291.88,2559166.2800000003,2827822.1599999997,2937377.0,2927328.44,2942765.3,2705493.54,2809889.62,2788256.88,2931967.72,2804362.16,2739904.0
29,3296420.08,2989809.56,2605793.96,2840937.6,2873537.0,2720300.92,2966835.12,2330129.32,3017718.36,2583191.16,3308058.760000001,3713202.1199999982,3570696.36,2645283.2,3353415.72,3346665.2399999998,3373843.64,3628096.2,3668703.0799999987,4322850.920000006,2565914.52,2716985.6,2705835.92,2687189.4,2617467.92,2772646.04,2673794.88,2728085.76,2980527.2,2574278.44,2844276.48,2968338.0,2957247.12,2971085.32,2786520.4800000004,2884173.88,2805925.48,2983629.12,2823607.080000001,2750605.0
30,3315382.04,2990369.06,2618944.72,2860726.3,2955158.8000000003,2999912.28,2985189.04,2356350.6,3029146.44,2615835.0799999996,3638091.9599999995,4121717.7399999998,3641040.66,2659491.1999999997,3376142.28,3432187.3,3451940.3600000013,4370180.0,4319432.66,4397112.840000001,2584934.28,2764055.1999999997,2726173.52,2703986.2,2695496.88,2788240.46,2691134.2399999998,2769373.88,3002754.48,2600225.36,2883428.84,3014812.5,2976380.8000000003,2997772.7600000002,2836778.58,2981463.44,2824556.4399999995,3013624.08,2916236.96,2769772.0
31,3364669.4,3034367.6,2646041.6,2894744.0,2997943.0,3008676.8,2990593.2,2365181.6,3120822.4,2717749.5999999987,3664935.4,4146764.0,3823148.8,2671727.0,3436800.4000000036,3484527.6,3976123.2000000016,4456571.0,4414648.0,4440762.0,2600345.4,2788262.0,2767674.1999999997,2725529.0,2705160.2,2809067.6,2711146.2,2799363.2,3084245.6,2615421.0,2965557.2,3027850.0,3030997.599999999,3030020.0000000005,2918063.8,2994270.2,2897680.8,3069538.8000000003,2984026.8,2796745.0
32,3450069.68,3061618.2199999997,2668622.18,2915485.4,3115994.2,3034720.68,3100867.84,2408907.04,3173933.92,2807563.28,3802681.04,4178908.66,3861263.2000000016,2718253.8,4190684.78,3773443.679999996,4286600.600000001,4514013.9,4481397.86,4494915.32,2617326.8,2829669.2,2781702.92,2738294.6,2724056.12,2861009.52,2735861.0,2809347.36,3105886.999999999,2620537.0999999996,2971265.6,3104157.0,3050392.76,3074471.96,2934280.16,3040003.68,2901853.52,3135632.16,3006356.84,2846651.0
33,3608241.2,3082608.0,2715615.24,2929779.2,3129113.9999999995,3166355.36,3141493.36,2418250.52,3278798.8800000018,2850167.44,3910017.52,4203959.16,4096732.52,3134469.6,4281177.84,4361918.4,4389871.36,4537575.0,4547529.92,4524876.96,2734493.52,2868442.8,2845020.64,2753134.6,2765813.16,2891563.88,2748277.44,2881639.56,3207540.1999999997,2699636.6799999997,3008505.72,3145773.0,3101169.84,3189196.52,2959224.28,3111507.52,2941157.2399999993,3374932.36,3032756.4,2885650.0
34,3611087.92,3139261.38,2730666.42,2947678.9,3159257.5999999996,3181632.44,3150313.2800000007,2443057.72,3344348.36,2859868.24,4087340.48,4232228.36,4842405.46,3303909.4,4324792.96,4429854.2,4403302.84,4566546.7,4574869.52,4549311.64,2745280.04,3028416.800000003,2869334.62,2802963.2,2806640.68,2982807.56,2783765.76,2892726.0000000005,3641500.92,2765988.68,3020507.7600000002,3177799.5,3130916.96,3243685.78,3008286.78,3120618.38,2988679.24,3392224.36,3087076.24,2888054.0
35,3666151.68,3160887.84,2783741.1599999988,3010148.8,3184541.6,3377121.7600000002,3354094.1600000006,2503143.2399999998,3412449.16,2899028.4,4895772.12,4250565.88,4876357.839999999,3339737.4,4345108.76,4442708.56,4417382.12,4665515.2,4591003.84,4586847.36,2786605.96,3075633.6000000015,2886894.7600000002,2811824.999999999,2855007.36,3025390.4800000004,2861732.1999999997,3044859.28,3737795.8,2774930.48,3033578.92,3201849.0,3153286.56,3372249.24,3061303.6,3158842.04,3041052.8,3409438.24,3101026.44,2908370.0
36,3689882.4,3207674.7,3131558.3999999985,3050424.5,3202706.0,3389968.9999999995,3551528.6,2545142.6,3544281.8000000007,2984662.6,4969994.6,4292773.599999997,4949082.700000002,3354828.0,4370849.4,4467274.8,4439895.8,4764761.0,4612783.9,4726039.000000001,2796605.6,3107362.0,3001457.2,2856858.0,2938543.4,3104472.6,2883127.3999999976,3076948.0,3784193.9999999995,2793862.3000000007,3149660.1999999997,3249003.5,3276236.3999999994,3420380.4,3080575.1,3189032.3,3071791.8,3453138.2,3109506.2,2933410.0
37,3715280.6,3282738.0800000005,3280681.64,3084072.2,3213927.2,3439713.52,3646353.36,2652970.32,3582334.28,3052126.6,4991807.48,4363066.84,5009260.5600000005,3375376.2,4370232.84,4484632.32,4530626.92,4916712.2,4719550.4,4780505.84,2865606.7600000002,3137845.1999999997,3075722.16,2979915.5999999996,3066035.32,3135538.64,2921812.48,3427187.88,3871909.8800000004,2901270.08,3240789.92,3337030.0,3322034.84,3491326.68,3097619.16,3266093.28,3088471.7199999997,3518810.72,3315311.04,2944083.0
38,3795468.68,3327991.7199999997,3295316.86,3126013.1,3223222.2,3462977.4,3735455.48,2984142.4,3649621.56,3198319.48,5039405.399999999,4379239.1,5124803.78,3397944.2,4435400.92,4570608.54,4552647.36,4971066.3,4887185.72,4803938.66,2894360.4,3208760.6,3078823.34,2992630.1999999997,3095878.92,3272679.64,3034047.56,3649666.96,3866117.1600000006,2930671.8000000003,3259066.84,3470753.5,3418482.7600000002,3541644.08,3135254.98,3412960.98,3133335.36,3549167.1200000006,3421439.96,2955897.0
39,3804096.32,3345554.1599999997,3304727.12,3177723.9999999986,3241648.2,3559181.7600000002,3772339.08,3039594.8800000004,3777693.12,3220041.4,5124903.08,4461830.08,5219077.68,3422489.6,4509428.08,4603905.159999996,4670453.36,4985775.000000001,4912166.28,5053479.64,3037715.24,3339124.8,3180675.68,3039311.5999999996,3106289.44,3325762.52,3063538.08,3661680.92,4028856.12,3034460.56,3262695.28,3595758.0,3443000.12,3591345.08,3207778.68,3573654.12,3227207.92,3676491.48,3527050.760000003,2957900.0
40,3977185.9200000004,3364781.72,3330076.28,3310308.9,3261357.4,3589164.28,3785551.92,3075490.36,3796791.32,3307649.08,5277780.64,4716779.3999999985,5350987.380000002,3522257.6,4579758.68,4690781.66,4731518.52,5144280.5,4989501.6,5089532.42,3102176.36,3348652.4,3192973.7,3124716.6,3114293.08,3405759.58,3073076.24,3684735.6,4149818.92,3078400.78,3304152.1999999997,3755131.5,3616469.68,3646570.6199999996,3236711.7800000003,3731595.4800000004,3330403.3600000003,3823797.68,3574342.44,3044059.0
41,4008347.3999999994,3389957.8,3604991.2,3331573.0,3297526.0,3617745.0,3957516.2,3153119.600000001,3837210.8,3340237.2,5298885.0,4808020.8,5388222.199999999,3530152.0,4600747.4,4706458.199999999,4959481.800000007,5165490.0,5015379.2,5118734.0,3117439.2,3475089.0,3308017.2,3137188.0,3129347.8,3434394.0000000005,3168033.2,3809655.6,4194041.8000000003,3093400.2,3356473.000000001,3764371.0,3638064.6,3699020.800000003,3252442.6,3808147.6,3482640.399999999,3836037.4000000004,3583639.4,3069809.0
42,4212464.479999998,3439529.78,3655923.34,3427818.6,3305546.2,3633977.32,3985283.64,3216982.44,3875014.68,3339750.8,5354690.040000001,4976292.6,5412374.76,3551421.8,4720663.24,4816241.92,5039959.52,5184926.9,5038152.66,5159384.9,3188500.3600000003,4155657.8,3392273.1599999974,3203817.7999999993,3208307.36,3844414.38,3180695.28,4217961.320000004,4371344.68,3104826.02,3373271.6,3841197.5,3830572.959999999,3732871.4,3323278.2399999998,3820581.8,3845367.36,3843955.72,3606728.28,3089152.0
43,4280272.8,3453356.8000000003,3683739.039999999,3569681.6,3354987.2,3800732.6400000006,3987290.92,3258076.4800000004,3902477.28,3358337.64,5699694.359999999,5400390.64,5416077.04,3630190.0,4765779.44,4832701.28,5046477.44,5206071.4,5053734.6,5239822.32,3831472.9200000023,4363874.6,3428829.56,3249314.8,3413706.24,3896540.2399999998,3193395.7600000002,4591323.56,4391113.84,3198541.4,3389412.68,3950310.0,3888113.28,3862388.439999997,3347784.08,3825178.84,4704759.239999999,3864243.16,3735421.24,3122784.0
44,4549707.28,3570305.079999999,3866017.1999999997,3613119.6,3661459.0,3912243.44,4007660.72,3272738.079999999,3981902.72,3479344.3200000003,5763921.52,5426341.06,5546139.42,3756865.2,4788086.38,4975253.84,5087187.319999999,5756606.2,5077401.9,5258357.640000001,4589466.720000005,4539249.6,3440483.94,3352076.9999999995,3753789.7600000007,4375470.359999999,3319671.04,4626367.919999999,4422819.199999998,3302842.04,3403891.12,3982419.0,3923713.12,3964452.38,3381640.96,3855906.18,5152005.12,3973834.04,4391232.44,3136099.0
45,4616194.44,3766245.88,3912018.32,3629404.2,3747922.8000000003,3917353.08,4007121.2800000003,3308586.96,4015175.239999999,3574173.1199999996,7399458.760000001,5418529.52,6187337.68,3896106.800000006,4790830.04,4993456.3999999985,5096360.4,5784970.2,5237654.92,5807359.68,4811348.72,4773200.4,3465732.959999999,3356673.4,4542060.319999999,4431539.96,3600437.08,4788176.68,4544980.28,3516326.28,3459807.04,4020596.0,3989324.44,4097917.04,3501639.84,3864111.48,5220526.48,4026215.28,4540074.2,3158155.0
