,382_1_www.imdb.com,382_2_www.imdb.com,382_3_www.imdb.com,382_4_www.imdb.com,382_5_www.imdb.com,382_6_www.imdb.com,382_7_www.imdb.com,382_8_www.imdb.com,382_9_www.imdb.com,382_10_www.imdb.com,383_1_www.imdb.com,383_2_www.imdb.com,383_3_www.imdb.com,383_4_www.imdb.com,383_5_www.imdb.com,383_6_www.imdb.com,383_7_www.imdb.com,383_8_www.imdb.com,383_9_www.imdb.com,383_10_www.imdb.com,384_1_www.imdb.com,384_2_www.imdb.com,384_3_www.imdb.com,384_4_www.imdb.com,384_5_www.imdb.com,384_6_www.imdb.com,384_7_www.imdb.com,384_8_www.imdb.com,384_9_www.imdb.com,384_10_www.imdb.com,385_2_www.imdb.com,385_3_www.imdb.com,385_5_www.imdb.com,385_6_www.imdb.com,385_7_www.imdb.com,385_8_www.imdb.com,385_9_www.imdb.com,385_10_www.imdb.com
25,1382130.5,1282916.0,1357141.0,1371249.0,1305077.0,1418174.5,1245842.0,1142064.0000000002,1378086.0,1564083.0,1361727.0,1398132.5,1284644.0,1405274.0,1211858.0000000002,1437818.0,1402884.5,1442087.5,1278723.0,1257310.0,602353.5,297450.0,459866.5,480341.5,319721.5,581226.0,437251.0,427615.0,600495.0,531703.0,1449398.5,1455184.5,1486145.5,1457643.0,1503707.5,1450588.5,1464768.0,1431700.5
26,1507617.4399999997,1358607.04,1357950.64,1378445.76,1370863.36,1451811.0,1253006.96,1207598.8000000005,1450295.6,1611075.8,1370861.04,1440473.08,1358971.44,1417565.88,1286850.72,1444837.64,1409096.2,1449912.52,1286918.6,1263303.88,608708.36,351438.07999999984,474704.0,595775.0000000001,373075.96,660521.0800000001,470186.2,457479.7200000001,666729.7599999999,543004.16,1491295.8,1472241.4,1494232.32,1476980.600000001,1525597.36,1455826.84,1468358.08,1438563.92
27,1540963.12,1366323.08,1364653.78,1398322.5200000005,1378964.4,1467115.38,1255123.84,1245512.16,1535287.62,1615664.6,1377140.68,1449687.7999999996,1365846.38,1456405.44,1363637.36,1452141.240000001,1451373.1999999997,1468924.18,1292729.2,1271731.2,649353.86,389527.84,585262.2000000001,680180.6000000003,443363.87999999983,708063.06,585206.8,543947.1199999995,779480.8399999999,605871.6,1495831.1,1505671.1,1506530.96,1504395.0,1534080.84,1496434.0000000002,1488653.16,1478166.5400000003
28,1549347.72,1372981.12,1385279.5999999987,1502072.4800000002,1386493.6,1491672.28,1264890.4,1252150.68,1545541.08,1634055.2,1387835.88,1458549.0,1372983.88,1468127.4400000004,1372263.96,1461873.72,1462694.2,1488157.88,1337523.2,1273371.08,717586.2000000002,428704.48,677703.6,740805.2,494598.36,729689.52,642856.2000000002,605212.28,882507.92,675535.5199999999,1509309.4,1519099.6,1517200.6,1513459.6,1548155.72,1505801.32,1496512.84,1486657.64
29,1585912.92,1381221.8,1487229.0799999996,1543370.48,1391079.46,1496841.54,1327125.96,1256449.2,1580661.5800000003,1704139.4,1401755.16,1477925.52,1376286.06,1476166.4,1379139.28,1480953.8,1469798.7,1498588.44,1344056.8,1311619.02,798032.3000000005,432298.48,725769.3,739454.3,575367.42,883246.2799999998,695613.24,621894.48,885610.08,761673.1600000003,1518211.0,1524175.7,1535744.42,1534490.5,1549441.7,1519570.38,1540473.2,1501322.74
30,1609772.8,1417314.399999999,1528350.8,1550493.0,1467672.4,1501221.0,1425442.2,1258891.6,1601206.4,1735508.0,1435780.0,1484622.2,1384090.8,1489070.4,1385403.0,1489140.4,1490637.0,1567158.6,1354940.0,1330615.6,863044.4000000001,458295.99999999994,733640.0,804751.0,622907.7999999999,896146.0,694321.4,686187.0,890154.9999999999,777159.0,1530508.0,1544748.0,1533356.2,1552100.0,1569978.8,1538670.0,1581874.8,1520274.2
31,1622677.36,1534619.9999999998,1531585.54,1591604.24,1547629.04,1546833.08,1428763.28,1396450.8,1603524.2,1743049.8,1445826.56,1499307.78,1394685.7,1502571.72,1392744.12,1507099.24,1495510.7,1567832.06,1370466.2,1331160.04,885956.22,525953.5199999999,773036.8000000002,867605.3,653178.76,910018.04,745205.1599999998,750073.3199999995,894434.16,807481.0,1539832.5,1549141.3,1558285.98,1557370.3,1574174.56,1542522.54,1585514.88,1538071.62
32,1627311.68,1538583.72,1574702.2,1614343.12,1552512.52,1606692.52,1468218.4,1422827.56,1621028.24,1811486.2,1454397.68,1500515.44,1404346.12,1520203.96,1397297.04,1584357.64,1512489.8,1570768.88,1409483.7999999996,1349154.84,889127.32,564848.0399999999,866196.2000000002,935106.2000000002,686187.72,961538.2400000005,806470.2400000003,814264.88,898601.52,880864.88,1559786.4,1568378.4,1560861.64,1557613.8,1579880.56,1562138.24,1588380.32,1536792.52
33,1648603.18,1573887.16,1584988.58,1621818.08,1595715.2,1612965.34,1478947.84,1446839.6800000009,1641487.26,1806676.6,1471820.16,1511844.76,1413018.02,1522462.8,1402471.2,1585461.2000000004,1582073.8,1580090.18,1461336.4,1351762.96,893506.74,654563.36,896415.9,949115.1,736007.68,995999.32,850764.04,862955.6199999999,902818.06,884607.24,1557879.4,1569751.4,1564232.72,1576013.3,1591771.08,1564681.98,1597462.6,1541470.84
34,1719623.68,1588214.84,1592640.64,1621560.52,1607950.84,1676953.5199999998,1498733.48,1470199.28,1640020.36,1809281.6,1488713.24,1527888.6,1445835.32,1532070.64,1423742.7600000002,1668030.4,1583005.6,1585571.52,1460253.2,1362421.96,895977.2,655345.64,901393.0,1003800.2,736825.32,1000720.44,857475.04,883638.84,910877.64,885819.96,1575488.2,1576959.4,1647020.8399999996,1590146.2,1616310.5600000003,1569321.48,1611108.84,1553043.72
35,1717271.9,1602674.2,1603078.1,1670314.4,1618651.6,1676266.1,1501362.2,1489658.8,1649540.9,1818843.0,1532921.0,1534949.6,1457610.9,1538908.0,1449657.2,1665676.2,1586097.0,1596378.0,1462406.0,1368615.1,903333.2,666130.7999999998,902427.5,1019581.0,772212.7,1002207.7,908697.6,888953.7,917485.9,891553.6,1582765.0,1598714.0,1784985.1,1595222.0,1793777.3,1574057.1,1620658.6,1568331.0
36,1730027.72,1609506.72,1606355.12,1735444.52,1624267.16,1690615.24,1528153.4,1493616.12,1658542.24,1864809.8,1563412.64,1613060.68,1461562.6,1550681.24,1459532.1200000003,1664045.64,1593124.2,1700319.8,1475162.2,1376948.08,911309.08,775251.2799999993,959384.2,1024131.6,886262.3199999995,1005475.4,950593.44,893064.12,918760.88,893645.84,1585601.4,1607767.6,1793214.8,1616238.0,1891351.4,1579159.72,1659281.2000000004,1573050.72
37,1745492.38,1617956.04,1625088.46,1739528.92,1644506.32,1702055.56,1574314.68,1497121.48,1697572.52,1868513.6,1563938.88,1758012.18,1477763.7799999998,1662151.2,1471782.64,1674321.12,1597317.3,1814632.6,1486680.6,1381609.08,916135.64,799667.36,1001018.6,1030270.6,902950.14,1015810.36,952774.0,901020.24,924106.6,898591.64,1629911.0,1712174.200000001,1800548.4,1772091.9,2057775.72,1594057.06,1790940.16,1592975.82
38,1776382.96,1633215.12,1709401.16,1749869.96,1730583.8,1695170.68,1604712.92,1518628.08,1879863.16,1881648.6,1572385.28,1764987.24,1483573.56,1771347.64,1480012.84,1682345.52,1690421.6000000003,1831575.24,1489795.2,1388587.68,917923.64,833874.44,1006184.6,1033051.4,908180.68,1016236.76,956717.68,904345.56,926769.16,901261.92,1780410.3999999997,1826106.2,1871113.68,1980099.4,2226045.160000001,1608727.8,1845998.92,1704077.68
39,1779838.38,1692378.039999999,1725314.8399999996,1765122.56,1782199.86,1721999.4,1644977.12,1544515.72,1886418.34,1886051.8,1578000.16,1838335.2,1501011.46,1778735.9200000004,1485732.48,1693517.24,1822985.1,1904117.2,1583946.799999999,1401686.44,920517.42,871830.48,1009551.7,1039854.1,913406.76,1018983.82,959955.2,909442.82,964215.02,905124.6,1808894.9,1876929.0,1929042.2,2208807.200000001,2419198.06,1608405.58,1868898.48,1797144.7
40,1789644.4,1720441.2,1753285.6,1816554.4,1801443.8,1734135.6,1648494.0,1590106.8,1902400.4,1925681.0,1577016.2,2014772.0,1519566.0,1803243.6,1505072.8,1684862.8,1841327.0,1916555.8,1688284.0,1523968.6000000003,924132.0,901642.6,1012091.0,1045489.0,915167.6,1028390.4,965413.8,914458.6,1009033.8,919934.4,1820136.0,2012671.0,2137508.8,2406795.0,2447186.600000001,1655835.4000000015,2089447.4000000008,1815082.200000001
41,1845149.3,1741399.44,1762190.879999999,1807019.36,1803021.48,1739305.44,1684452.64,1607067.04,2015248.1600000018,2156930.0,1612220.04,2202097.84,1574267.74,1931610.24,1509813.52,1688316.28,1858043.4,2118715.6,1711743.8,1608499.6,926609.12,904081.36,1018439.7,1047184.1,941766.78,1030256.3,969784.04,918465.18,1011818.32,940914.18,1843149.8,2116114.600000001,2338386.32,2410739.9,2463870.64,1800970.8000000003,2317015.6,1909340.2
42,1935462.84,1773420.8,1774958.56,1817304.44,1806867.28,1738986.84,1688780.08,1624158.16,2214079.919999999,2403118.8000000007,1725317.88,2365459.28,1579496.08,2098291.68,1575891.48,1698617.68,1930628.0,2192826.4799999986,1720230.0,1607383.2,930686.44,905942.72,1019521.6,1050777.0,986064.8,1032785.8,970086.4,921667.36,1015533.32,990914.72,2064234.2000000004,2374976.200000001,2405987.72,2421678.4,2487275.56,1839603.96,2386603.96,2017099.9599999997
43,2113506.54,1789141.04,1776339.78,1823425.24,1817283.3,1862843.88,1694036.96,1662186.24,2478880.72,2634004.8,1798904.04,2397695.36,1614516.16,2357403.04,1579762.2000000004,1705661.52,2032519.6000000003,2405277.919999999,1816726.0,1740483.88,1008013.82,913629.4,1023750.0,1060005.9,1016174.48,1068481.2800000005,971412.36,924580.94,1020127.5,994108.22,2301849.1,2421866.4,2461099.72,2458226.9999999995,2493659.82,1955477.22,2393720.32,2181948.84
44,2324857.839999998,1792893.68,1785005.44,1829761.44,1817505.76,1963399.72,1709934.48,1677569.48,2488310.24,2654444.0,1808011.6,2413710.72,1614230.16,2384759.28,1611616.52,1798184.6400000008,2268628.599999999,2449340.96,1930537.0,1917820.760000001,1011111.08,921229.24,1026086.2,1062346.8,1018825.6,1112101.24,1011288.2400000006,926949.92,1025892.12,997628.68,2419296.2,2424148.0,2446148.36,2460347.4,2496654.28,2074768.8,2398546.12,2385295.52
45,2588624.6,1802011.4,1798999.1,1981188.6,1850762.4,1994845.6,1711533.2,1676217.2,2516104.3,2655276.0,1898976.4,2412745.8,1649024.3,2437119.0,1615876.6,1926406.600000001,2454356.0,2431725.3,2091530.0,2123860.4,1014864.5,922402.2,1028753.5,1081482.0,1023675.4,1116546.9,1056356.2,932942.0,1031562.7,1005599.1,2426772.0,2484914.5,2450028.5,2464195.5,2495792.2,2275919.8000000007,2453146.8000000003,2410263.2
46,2583113.24,1817279.48,1806273.32,2094110.36,1853989.24,2194042.48,1708048.48,1684559.84,2568718.120000001,2657785.2,1902201.4,2432247.52,1669288.92,2430509.76,1625397.28,2222614.7600000007,2457915.6,2441142.92,2254908.8,2217447.56,1020744.88,929486.4,1060621.8,1143180.6,1023350.44,1121014.2,1062709.68,1011084.28,1030881.68,1008336.24,2474335.4,2474907.0,2478009.44,2492876.2,2500546.96,2381862.9600000014,2447822.92,2462079.88
47,2615853.78,1813541.08,1834256.9,2349756.3200000003,1863500.4,2408919.8800000004,1707818.84,1693177.4,2581941.1,2664514.6,1886306.84,2439408.9,1676157.72,2448763.0800000005,1628881.24,2448487.28,2442643.1,2440888.98,2266808.6,2212275.02,1012129.4,929129.16,1106452.7,1145925.1,1026267.54,1125206.84,1061737.16,1010188.3,1019506.02,999534.92,2463963.4,2474193.7,2484024.26,2496887.1,2504866.52,2489416.92,2439607.24,2451126.58
48,2626875.12,1844204.44,1838973.64,2572289.52,1868574.28,2498655.32,1707297.56,1721509.88,2616372.08,2669287.6,1887046.72,2467757.36,1675984.12,2457585.04,1626951.2000000004,2449435.04,2444750.4,2450584.52,2317484.2,2218781.4,1013211.36,929986.12,1109945.4,1150988.2,1030781.52,1131540.9600000002,1064800.24,1014597.6,1018205.04,996544.32,2484966.600000001,2507224.2,2489328.76,2499530.6,2510875.92,2492224.56,2468063.04,2447921.56
49,2636232.56,1848123.12,1848304.68,2578704.48,1876716.64,2512637.32,1707605.72,1726227.56,2628597.44,2675722.6,1887144.64,2472923.16,1656231.24,2470897.28,1680335.56,2448570.24,2444695.2,2450123.24,2343293.8,2274144.68,1013143.68,938895.4,1114075.7000000002,1163732.1,1032485.8,1135822.48,1071814.6,1022494.52,1018038.48,996375.84,2493823.0,2514462.3,2487694.54,2499129.8,2516131.76,2481227.6,2474045.88,2476572.82
