,302_1_www.history.de,302_2_www.history.de,302_3_www.history.de,302_4_www.history.de,302_5_www.history.de,302_6_www.history.de,302_7_www.history.de,302_8_www.history.de,302_9_www.history.de,302_10_www.history.de,303_1_www.history.de,303_3_www.history.de,303_4_www.history.de,303_5_www.history.de,303_6_www.history.de,303_7_www.history.de,303_8_www.history.de,303_9_www.history.de,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
29,5718317.16,6872088.0,6865864.96,6363113.96,6976084.199999998,7378310.3,7364932.7,7439801.5,7422544.16,7491987.68,2020289.84,2042502.18,1897000.54,1897732.7,2049792.0,1992524.52,2038547.16,2084293.94,6564385.56,7004605.560000001,7144525.5,7495080.239999998,5043511.2,6613920.0,5661042.0,5821072.64,6248665.800000002,6761090.46,3023451.76,3011216.62,2417126.08,2940535.48,2232105.8000000007,2998174.64,2506611.100000001,2856526.0,3001105.56,2420376.9600000014
30,5772176.2,6891630.0,6883758.4,6416367.4,7324544.0,7430976.8,7432435.0,7483342.0,7448531.400000001,7546692.4,2064572.0,2056256.6,1976431.6,1966021.0,2119134.0,2067100.0,2068726.6,2116631.2,6731225.6,7168152.2,7360624.0,7853589.799999999,5359514.8,6967661.0,5993566.0,6201624.400000001,6570483.600000002,6933051.800000002,3111293.4,3081348.2,2519176.0,3005348.2,2309438.0,3058544.0,2738101.4,3060215.0,3103752.8,2570343.600000001
31,5861007.48,6919184.0,6896739.8,6466011.98,7393301.36,7458948.18,7442033.3,7486316.5,7528172.14,7576168.72,2093528.28,2090884.86,2043393.94,2022849.22,2144233.3,2077988.76,2092613.68,2152959.08,7014991.76,7290034.08,7544714.3,8172311.6,5660472.6,7329757.4,6427235.200000001,6532905.68,6962994.16,7098641.42,3201238.1,3147047.18,2636425.5600000005,3051866.6,2537767.0000000005,3136216.2,2887583.1,3112650.36,3149642.28,2750767.64
32,6099288.079999997,6934887.0,6988863.6,6681381.48,7430605.76,7501132.24,7461160.4,7545908.0,7601164.76,7625353.8,2125888.88,2097802.56,2109220.52,2088763.24,2177852.0,2092272.6,2160157.4,2170314.44,7346754.760000002,7518331.44,7732112.0,8549584.4,5972760.680000002,7682630.840000003,6852447.0,6895045.960000001,7300354.0,7292952.520000001,3275728.68,3226999.6,2684430.72,3125594.68,2744533.4000000004,3206774.76,3020704.4,3139993.8,3226248.24,2959345.56
33,6373943.32,7050340.0,7089602.44,6846198.92,7470524.22,7545465.24,7480342.5,7569883.0,7641193.479999999,7657262.3599999985,2182466.44,2108198.76,2153503.28,2101446.54,2201592.9,2132759.08,2191310.14,2199131.44,7701752.920000001,7777357.6000000015,7892563.3999999985,8848428.8,6351585.92,8078681.08,7208244.600000002,7202375.020000001,7718147.6000000015,7448971.24,3334400.02,3291612.3599999994,2731678.44,3185750.16,2891611.0,3260494.04,3124912.02,3198303.36,3261038.3599999994,3183060.2
34,6481422.64,7204464.0,7202176.64,6904350.68,7528970.04,7560674.3999999985,7552413.0,7603881.0,7680872.2,7731545.96,2213769.16,2127806.72,2159276.56,2200275.16,2216737.0,2146943.28,2211887.88,2210158.52,8086457.48,8067351.0,8140718.8,9193450.16,6689808.280000001,8427189.080000002,7549031.000000003,7341845.2,8124954.04,7644810.72,3340904.6,3333687.88,2780078.16,3221038.68,3085268.600000002,3273821.56,3209118.8,3224295.04,3297060.28,3286795.9599999995
35,6488990.6,7577371.0,7374995.0,7001035.6,7610268.1,7630922.1,7584362.5,7664787.5,7724453.9,7792764.4,2222213.6,2216269.3,2170345.6,2212397.2,2226855.0,2216152.4,2220607.5,2221935.5,8409127.600000001,8336802.200000001,8429392.5,9241865.0,7026197.400000001,8823368.2,7849370.0,7552939.5,8343272.000000001,7987549.5,3375222.8,3369700.5,2893650.4000000013,3292701.2,3267344.0,3285718.0,3244562.9,3284282.0000000014,3310537.6,3362318.4
36,6551603.8,7668040.0,7590316.36,7185884.12,7750953.4,7727994.199999998,7676536.4,7761702.0,7780217.4,7836255.84,2232290.04,2231103.4,2218392.3600000003,2223112.8,2234195.2,2227222.84,2231224.96,2238306.28,8823091.000000002,8642488.16,8771297.2,9359327.48,7368147.080000005,9194008.28,8116519.0,7879311.800000002,8520174.28,8275784.719999999,3386883.52,3374449.2,3028541.8000000007,3313136.72,3304431.2000000007,3315944.28,3295338.24,3340027.4,3326356.32,3368309.56
37,6579176.56,7766746.0,7755429.88,7349439.82,7812342.04,7808249.78,7745563.4,7805948.0,7877476.02,7860616.76,2248287.2,2245760.84,2237000.7,2233263.34,2242899.6,2235279.96,2240987.36,2255425.24,9204433.2,8941092.72,9097167.6,9519343.079999998,7799378.32,9217767.08,8339336.0,8204596.2,8687622.84,8571946.280000001,3397729.08,3392770.96,3227896.4400000013,3324499.32,3392582.0,3347975.4,3382896.62,3393734.36,3393764.08,3377279.8
38,6589306.52,7826758.0,7902748.32,7557601.119999999,7844543.3999999985,7853454.64,7828397.4,7817773.0,7988671.6,7896764.84,2268047.08,2263114.76,2250955.88,2245589.8,2265645.6,2248554.64,2254280.04,2267045.68,9494111.44,9195698.76,9403602.8,9573282.92,8228135.84,9331154.4,8558938.399999999,8556084.8,8906230.96,8871863.6,3409114.16,3401186.52,3391838.16,3378357.6,3402458.2,3397406.44,3399290.4,3406912.12,3400485.96,3391546.36
39,6595053.76,7949107.0,7967154.279999998,7640578.0,7877853.36,7873154.14,7851649.7,7858923.5,8057899.6,7909515.92,2271601.84,2275136.48,2269913.46,2268909.6,2265385.2,2267516.88,2273968.62,2287813.02,9605160.12,9392455.28,9544228.4,9651995.64,8549002.840000002,9448640.44,8836845.200000001,8863484.64,9139197.160000002,9298497.8,3424675.24,3407852.06,3404722.28,3405755.32,3410096.8,3407216.68,3408770.46,3415227.84,3415618.8,3420400.96
