index,262_1_www.kicker.de,262_2_www.kicker.de,262_3_www.kicker.de,262_4_www.kicker.de,262_5_www.kicker.de,262_6_www.kicker.de,262_7_www.kicker.de,262_8_www.kicker.de,262_9_www.kicker.de,262_10_www.kicker.de,263_1_www.kicker.de,263_2_www.kicker.de,263_3_www.kicker.de,263_4_www.kicker.de,263_5_www.kicker.de,263_6_www.kicker.de,263_7_www.kicker.de,263_8_www.kicker.de,263_9_www.kicker.de,263_10_www.kicker.de,264_1_www.kicker.de,264_2_www.kicker.de,264_3_www.kicker.de,264_4_www.kicker.de,264_5_www.kicker.de,264_6_www.kicker.de,264_7_www.kicker.de,264_8_www.kicker.de,264_9_www.kicker.de,264_10_www.kicker.de,265_1_www.kicker.de,265_2_www.kicker.de,265_3_www.kicker.de,265_4_www.kicker.de,265_5_www.kicker.de,265_6_www.kicker.de,265_7_www.kicker.de,265_8_www.kicker.de,265_9_www.kicker.de,265_10_www.kicker.de
28,3763710.36,3927628.38,3989233.6,3911744.0,3921501.04,3756935.4,3492027.88,3971068.6,4088154.92,4108641.1,2567507.6,2846352.16,2516397.2,2320571.6,2494227.9000000004,2435925.02,2376807.66,2629651.36,2394035.6,2260866.8400000003,2365486.36,2270964.9999999995,2243892.7399999998,2443672.44,2286384.66,2300691.1799999997,2370851.02,2505736.02,2419281.12,2206819.0,3062505.74,2895948.7,2974660.08,2740783.4000000004,2610928.6,2491174.08,2552742.4,2465319.9600000004,2668901.24,2289612.36
29,3786851.04,3950997.08,4056679.6,3973789.0,3937445.08,3824906.8000000003,3644192.7599999984,3992274.68,4154771.48,4165726.6,2586892.56,2861735.6000000006,2541251.7600000002,2348764.36,2527568.7600000002,2448046.04,2388117.96,2643721.92,2490611.28,2295170.7600000002,2413625.68,2279119.8000000007,2301378.28,2460142.2,2328273.04,2315562.36,2390679.08,2542716.96,2433468.36,2286739.0,3107599.92,2929275.999999999,2994739.92,3005986.7600000002,2844269.0,2597940.1199999996,2559123.08,2457322.52,3009016.36,2308932.4800000004
30,3799510.120000001,4024396.44,4070850.4000000004,4048794.5,3973178.14,3867299.8,3867040.8,4008205.2399999998,4168575.32,4167225.2,2602292.44,2918284.84,2556508.12,2369859.92,2556579.64,2466603.44,2457302.42,2665170.5999999996,2508764.66,2308191.52,2453775.58,2306865.0,2313359.22,2473176.84,2345023.78,2335864.6,2419222.7399999998,2584181.1799999997,2448424.52,2307446.0,3139429.92,2966992.1,3021973.16,3024525.66,3025163.4000000004,2834636.2,2617907.92,2471294.48,3057462.88,2347382.66
31,3842372.0,4033270.0,4110531.0,4087699.0,3994884.1999999997,3882705.0,3947169.8,4047544.5999999996,4267547.6,4283791.0,2614442.8,2945220.6,2590695.9999999986,2428412.6,2640798.400000002,2489147.2,2470405.6,2667665.6,2532849.8,2325540.4,2473228.4000000004,2362592.0,2332745.4,2505594.4000000004,2363047.6,2391941.4,2430978.8,2607060.6,2475096.6,2317438.0,3161229.4,3012481.0,3060465.8,3080056.4,3138909.0,2852443.2,2785303.4,2506325.8000000003,3076529.999999999,2369330.0
32,3906635.68,4068953.14,4153173.2000000007,4086164.0,4092152.38,3907214.400000001,3980358.1200000006,4132664.4,4358330.32,4323713.7,2643852.64,2967272.4399999995,2653790.02,2536810.8799999994,2753198.5200000005,2552693.2600000002,2483244.38,2707566.2199999997,2558802.0999999996,2379773.72,2491098.6799999997,2388277.8,2355721.16,2548168.88,2394342.14,2400778.1199999996,2451679.7,2629045.14,2527811.8800000004,2345553.0,3183784.24,3032822.6,3073916.88,3125727.1,3186586.0,2903057.56,3030279.1999999997,2521913.76,3094741.2,2378836.1
33,3933917.04,4099941.44,4146865.4,4191954.0,4140001.36,3940962.0,4001344.16,4144619.76,4374318.84,4338898.4,2679770.32,3068422.72,2669264.0,2631066.24,2797535.16,2554301.72,2506434.56,2721669.96,2576127.72,2399986.88,2501558.64,2398317.6,2402586.44,2568726.44,2435037.08,2426824.16,2488310.84,2658817.92,2560235.16,2387514.0,3200034.16,3069430.2,3113802.2,3142385.28,3210117.1999999997,2932613.88,3096751.24,2584510.48,3122804.5599999996,2406509.2399999998
34,3950012.2800000003,4119833.18,4268874.2,4226575.5,4196855.34,3949551.8,4015192.1999999997,4271309.92,4395843.96,4380305.1,2706139.88,3090117.44,2669717.52,2667454.48,2891934.54,2613859.62,2584980.5599999987,2822507.08,2619402.86,2397477.96,2559084.16,2455163.2,2420952.12,2584550.92,2457343.8,2442192.78,2491360.04,2670822.68,2569166.48,2395803.0,3228603.34,3083959.4,3141993.44,3156801.88,3243184.0,2952735.8400000003,3127472.48,2596286.2,3151334.16,2431235.16
35,3987160.36,4142018.28,4318545.6000000015,4256188.0,4239779.68,4072330.8,4043744.68,4285968.72,4406949.16,4399348.4,2717310.36,3123942.68,2705652.64,2691307.32,2956063.44,2648776.96,2647448.36,2833539.1999999997,2626371.24,2406245.44,2571670.2,2505193.8000000003,2437308.16,2610843.28,2482560.28,2450298.36,2524822.32,2683028.96,2589792.88,2409084.0,3290753.08,3104304.6,3188100.12,3191609.64,3261201.8000000003,2990690.84,3162114.96,3370680.839999998,3179105.7600000002,2441849.84
36,4010534.8,4156743.8,4348061.0,4302192.0,4257654.199999999,4110762.0,4058004.0,4319557.6,4438243.8,4419681.5,2747374.8,3162880.0,2723323.3,2700797.8,3295454.7,2678953.3000000003,2661543.6999999997,2891870.9999999995,2676058.9,2414807.8,2590969.7,2628614.0,2461092.2,2622238.2,2495412.7,2486051.5,2545309.1,2705498.1,2599353.2,2425248.0,3327487.8,3121249.0,3204851.6,3219286.4,3282594.0,3005633.4,3175812.0,3516821.2,3203674.2,2448525.8
37,4044862.680000001,4197573.04,4427000.2,4332866.0,4339869.0,4125330.8,4103848.88,4339097.16,4467303.08,4441257.0,2799708.119999999,3227111.88,2740574.08,2719390.32,3321444.68,2725592.6,2668916.04,2959505.92,2697605.44,2452845.28,2615693.32,2640656.6,2479654.32,2644055.72,2507931.44,2509753.9200000013,2559037.52,2747654.56,2599018.84,2445446.0,3359823.6,3137653.6,3548789.7600000002,3243239.08,3296757.6,3055400.5999999996,3267949.96,3595167.24,3223544.48,2742603.92
