,290_1_www.commerzbank.de,290_2_www.commerzbank.de,290_3_www.commerzbank.de,290_4_www.commerzbank.de,290_5_www.commerzbank.de,290_6_www.commerzbank.de,290_7_www.commerzbank.de,290_8_www.commerzbank.de,290_9_www.commerzbank.de,290_10_www.commerzbank.de,291_2_www.commerzbank.de,291_3_www.commerzbank.de,291_4_www.commerzbank.de,291_6_www.commerzbank.de,291_7_www.commerzbank.de,291_8_www.commerzbank.de,291_9_www.commerzbank.de,291_10_www.commerzbank.de,292_1_www.commerzbank.de,292_2_www.commerzbank.de,292_3_www.commerzbank.de,292_4_www.commerzbank.de,292_5_www.commerzbank.de,292_6_www.commerzbank.de,292_7_www.commerzbank.de,292_8_www.commerzbank.de,292_9_www.commerzbank.de,292_10_www.commerzbank.de,293_1_www.commerzbank.de,293_2_www.commerzbank.de,293_3_www.commerzbank.de,293_4_www.commerzbank.de,293_5_www.commerzbank.de,293_6_www.commerzbank.de,293_7_www.commerzbank.de,293_8_www.commerzbank.de,293_9_www.commerzbank.de,293_10_www.commerzbank.de
10,36990.0,39425.4,39895.60000000001,118844.0,40161.599999999984,37857.599999999984,37198.2,51359.0,37313.0,39792.4,85288.79999999997,53178.0,98958.2,52882.6,50936.2,85871.59999999999,69125.4,69521.00000000003,17848.800000000007,32507.400000000005,19700.0,21720.000000000004,27019.800000000014,21614.8,24187.999999999996,36826.8,21869.000000000004,41688.8,22843.799999999992,26437.999999999996,21156.800000000007,36610.4,39132.000000000015,37760.79999999998,36500.20000000002,39589.0,40613.4,41892.0
11,44363.9,41576.20000000001,45710.96000000001,170920.7600000001,44273.38,41903.1,42203.88000000001,80883.6000000001,43844.8,46190.24,117654.44000000006,73007.19999999997,121012.5,113005.2,55132.08,101402.12,112815.20000000011,89139.20000000003,21787.16,35419.88,21622.6,38857.000000000015,36680.06,29431.6,38715.4,36058.66,36808.88,48704.52,41081.84,39671.94,41443.72,37477.94,43934.92,39184.82,39456.68,40491.8,38315.94,39230.8
12,46072.6,50713.92,51931.76000000009,212685.04000000007,60596.28000000003,44342.92,46553.96,125487.40000000005,43754.4,57776.880000000165,188288.23999999987,90536.19999999976,169631.0,154825.16,100351.04,115328.91999999998,144186.11999999994,109641.2,23037.16,40041.83999999998,22262.999999999985,36546.76,34907.64,37176.88,36272.56,38790.680000000015,35738.60000000001,74988.08000000003,39637.96,38122.48,38930.36,41150.48,45522.56,37769.56,38152.64,42173.2,41657.48,40121.4
13,49993.79999999995,82688.08,91642.72000000002,272290.24,80659.16,60973.59999999999,64533.2,131169.00000000026,46089.9,89815.68000000002,262319.2,119615.4,188893.88,200593.32,144010.19999999998,141063.88,159543.38,157718.96000000002,37260.96,42281.400000000016,35564.499999999985,37227.24,37840.58,35611.16,37213.08,41912.640000000014,39467.52,93772.0,42438.48,43970.48,39908.640000000014,44895.94,49290.36,43397.82,42924.68,46518.4,44905.02,44153.1
14,80097.40000000001,132749.60000000006,103275.04,295707.0,107239.36,84673.79999999997,73655.56,178675.39999999997,54780.400000000096,129542.4,301615.2799999999,157148.7999999998,206807.32,231885.16,170623.84000000026,208153.44,193680.28,197123.28,35845.16,68504.72,36931.2,41056.16,41451.92,37878.12,41330.96,45324.84,41904.64,108044.0,45898.88000000001,44596.08,43954.92000000001,47020.60000000003,68744.96000000008,47100.24,48909.15999999998,49457.6,51218.56,46279.6
15,122755.0,176222.4,117342.2,325407.0,125333.70000000008,111781.0,93267.19999999997,220987.0,83362.0,151901.2,375253.8,223978.5,246081.0,273800.2,200790.00000000003,259471.4,249887.0,256676.0,37282.6,77652.4,36294.0,42086.6,45804.9,40779.99999999999,43510.4,47352.3,47794.60000000002,135634.6,52138.6,48766.4,46160.4,50252.3,98045.40000000002,50771.00000000002,51290.4,53973.0,58523.60000000007,49219.5
16,138958.99999999994,190559.96,146311.96000000017,392036.4,155740.84000000005,150423.24,123808.92,237687.4,94652.0,173267.16000000027,401128.32,252382.0,309019.04000000004,329860.16000000003,243853.68,305002.48,304349.96,324876.4,41242.35999999999,127151.0,38623.000000000015,46450.76,47458.16,46561.55999999999,45698.64,52231.60000000001,48019.64,167219.76,54459.36,52347.2,49640.16000000001,83993.95999999999,108995.96,68266.16,84263.04,65649.00000000001,70026.87999999999,50275.8
17,177399.89999999985,220934.56,174565.06,442425.64,196444.08,198546.16,158118.59999999998,266916.0,116970.30000000012,234783.16000000015,464878.72,299982.9,361153.96,369972.2400000001,269836.4,343092.31999999995,371724.6,376237.68000000005,43164.08,155835.08000000002,39748.3,49933.92,80866.92,50503.92,46250.0,64241.26,79298.12,203663.20000000004,102771.2,85713.62,55980.67999999977,95215.9,127196.04,96765.16,106963.48,92119.40000000002,88886.00000000007,67153.09999999999
18,224919.59999999992,252015.68,210802.80000000005,495643.79999999993,215397.4,221469.72000000003,186839.16,291580.0,151523.0,279001.56,479168.44,343811.0,397197.8,395753.4800000002,332341.19999999995,403720.6,464476.04,433801.4000000004,47802.52000000001,184562.83999999997,45924.2,48918.27999999999,93292.03999999998,65960.72,50959.08,98114.11999999998,96945.72,238910.8,127035.24,110189.04,66269.19999999995,114120.32000000007,151533.6,117152.08,131645.68000000005,98769.0,103255.6,76793.99999999997
19,262371.3,259206.92,241884.0,536973.92,231285.70000000004,256931.8,232738.51999999981,318763.4,190454.50000000003,299665.4,481461.92,383451.5,464277.76000000024,485160.48,364425.4800000002,461532.8799999998,486132.28,483206.08,44518.24000000001,225079.12,50305.1,86807.0,144661.09999999998,96273.32,83300.55999999997,115382.56,111909.96000000002,270418.56,140339.24,137902.14000000007,77993.95999999996,130750.5,180620.8,123942.93999999994,162625.88,122195.8,122426.3,90964.6
