index,66_1_www.nytimes.com,66_2_www.nytimes.com,66_3_www.nytimes.com,66_4_www.nytimes.com,66_5_www.nytimes.com,66_6_www.nytimes.com,66_7_www.nytimes.com,66_8_www.nytimes.com,66_9_www.nytimes.com,66_10_www.nytimes.com,67_1_www.nytimes.com,67_2_www.nytimes.com,67_3_www.nytimes.com,67_4_www.nytimes.com,67_5_www.nytimes.com,67_6_www.nytimes.com,67_7_www.nytimes.com,67_8_www.nytimes.com,67_9_www.nytimes.com,67_10_www.nytimes.com,68_1_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
11,2864800.0,2831844.0,3330103.0,3230722.4000000004,2942088.4000000004,2821181.0,2961141.6,1884417.4,2796248.0,1787958.0,2747115.6000000006,1730043.2,1992215.9999999998,1556618.0,2478345.0000000005,2873345.8,2682732.0,2132063.0,2451513.2,1940500.7999999998,2659692.0,2296284.0,1392904.8,1621506.4,2382891.5999999996,2246197.0,2296032.0,1877180.8,2227081.8,2139864.8,1450145.0,1501242.4,1578315.6,1413727.6,1411790.2,1231960.4,1400117.6,1439082.8,1457987.0000000002,1402933.6
12,3393737.6,3572918.84,3636444.5,3733863.6,3249368.48,3116124.0,3318517.1,2430432.08,3315148.92,2132559.0,3622505.88,2126076.7600000002,2254756.96,1732283.46,2906667.6,3501672.0799999996,3020335.7,2416713.6,2948530.68,2131210.44,2878425.8,2491693.6,1671487.6,1899813.6,2538749.76,2383930.78,2588244.28,2105416.44,2591474.58,2392937.72,1471925.3599999999,1514722.92,1583296.66,1453045.64,1446122.36,1417714.74,1432635.36,1466874.76,1508857.76,1433693.86
13,3998499.52,3943929.2,4284879.0,4215176.16,3774607.56,3696855.0,3784152.239999999,2785999.72,3987835.359999999,2491062.8000000007,4358958.720000002,2610255.9600000014,2575805.6399999997,1801507.3199999998,3541317.56,4226900.760000001,3343342.9999999995,2970732.4,3537377.7600000007,2249968.6400000006,2979466.5999999996,2639867.4,1984072.1600000001,2119516.2,2612205.64,2612207.8,2597460.24,2392358.44,2600598.84,2563431.360000001,1515175.72,1567697.76,1648210.8800000001,1487587.32,1459677.16,1450785.52,1452735.96,1522984.76,1515580.24,1442611.08
14,4349036.24,4533355.92,4661690.5,4788822.44,4491073.84,4352225.399999998,4471126.520000001,3181641.1200000015,4790250.8,2953574.8000000003,5012966.82,3236486.16,2758808.04,2086012.2000000002,4142969.8,4866822.8,3758256.6,3517099.0,4171219.0400000024,2576206.56,2995547.4,2719366.4,2342750.8,2425425.2399999998,2710206.52,2646544.94,2634046.6799999997,2617040.2,2635811.72,2628415.9200000004,1585873.64,1583242.48,1814179.3200000003,1578255.52,1500807.36,1498529.8399999999,1549526.3599999999,1526216.16,1533600.0,1545849.28
15,4828289.32,4883520.959999999,5254346.0,5357511.32,5207347.28,4962961.0,5089802.92,3815740.3600000027,5467578.879999999,3528877.7999999993,5842980.0,3532318.96,3262403.44,2192575.2399999998,4815073.4,5563502.76,4206058.200000001,4081523.5999999996,4545581.4,2948400.559999999,3016132.0,2726611.2,2592930.68,2646651.08,2727741.2,2694456.36,2646093.8,2636496.16,2695085.48,2703485.12,1593548.6,1614566.0800000008,2019776.72,1647587.52,1517998.16,1663807.52,1561341.8,1579284.52,1580785.32,1557499.64
16,5064297.8,5470788.800000001,5864174.0,5968453.600000001,6000719.600000001,5264746.0,6029487.600000002,4499243.0,6412706.399999999,3929301.0,6704858.5,4247831.200000001,3307314.2,2781368.4000000013,5531737.200000001,6459006.000000001,4706357.0,4458513.0,5300981.0,3294738.0,3250185.0,2747045.0,2653589.8000000003,2656154.8,2750488.4,2775706.3,2748758.6,2657032.0,2712531.7,2715457.2,1614762.0000000007,1779027.6,2038219.5,1741312.0,1589780.2,1734719.7,1568937.8,1736722.2,1602316.0,1567032.9
17,5657341.6,6257730.16,6512527.599999999,6412340.32,6690875.5200000005,5563051.8,6896292.44,5156424.08,7332816.3999999985,4346524.0,7593862.960000001,4782326.440000001,3550821.0399999996,3168170.9600000014,6182198.96,7351159.6,5316951.399999999,4885292.000000001,6031610.280000002,3909138.28,3279072.2,2910373.4,2705771.68,2751223.3200000003,2943291.12,2983950.56,2762010.72,2758883.32,2846568.08,2717039.6,1799417.8000000005,1872398.4000000001,2048887.64,1750797.64,1614573.08,1738954.36,1578063.92,1749698.72,1773703.08,1573349.8
18,6349362.56,7039509.2,7078928.3999999985,6985324.960000001,7399018.960000001,6455888.399999999,7366054.68,5882895.5600000005,8276778.4,4941393.4,8394034.520000001,5420753.360000003,3722372.76,3492297.8000000003,6839452.960000001,7918989.88,5849232.799999999,5612948.400000001,6695575.2,4510980.159999999,3292006.4,2933143.4000000004,2854016.2,2773459.16,2968606.7600000002,3001206.94,2769903.48,2966663.88,2974141.8000000003,2800773.68,1885972.72,2035116.32,2295591.28,1768118.28,1759000.08,1764073.26,1744440.76,1846718.5599999998,1780755.04,1742939.48
19,7013312.239999999,7788089.8,7733447.0,7546504.5200000005,8025144.8,7352851.399999998,8011544.16,6723243.32,9255733.04,5430550.600000002,9122120.4,6130393.440000004,3952105.72,4018114.080000001,7451762.840000002,8194764.48,6257062.399999998,6224375.600000002,7246440.720000003,5249816.24,3374727.3999999976,2985552.4,2921363.2,2785223.16,2978522.48,3105138.1999999997,2801667.48,2981332.7600000002,2995773.72,2938297.88,1898095.08,2047476.92,2362752.28,1848151.5999999999,1903998.44,1774269.6,1880571.7999999998,1932838.8800000001,1939714.1199999999,1764151.68
20,7562024.08,8502861.68,8465564.0,8218747.360000002,8751226.96,8218261.0,8676500.2,7422727.720000001,10026530.319999997,6120268.5,9784192.18,6865894.520000001,4066876.8799999985,4508484.92,8100171.4,8414923.52,6708592.2,6793976.8,7814043.520000001,5598366.08,3604734.3,3019930.3000000003,2948085.1600000006,2815774.2400000007,3030986.4799999995,3172866.22,2901318.7600000002,2991471.08,3113500.44,2980816.52,1911007.64,2061513.28,2426383.86,2005592.68,1937629.92,1840622.54,1923058.28,2021692.72,1949148.88,1853366.1599999983
