index,250_1_www.faz.net,250_2_www.faz.net,250_3_www.faz.net,250_4_www.faz.net,250_5_www.faz.net,250_6_www.faz.net,250_7_www.faz.net,250_8_www.faz.net,250_9_www.faz.net,250_10_www.faz.net,251_1_www.faz.net,251_2_www.faz.net,251_3_www.faz.net,251_4_www.faz.net,251_5_www.faz.net,251_6_www.faz.net,251_7_www.faz.net,251_8_www.faz.net,251_9_www.faz.net,251_10_www.faz.net,252_1_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net,253_1_www.faz.net,253_2_www.faz.net,253_3_www.faz.net,253_4_www.faz.net,253_5_www.faz.net,253_6_www.faz.net,253_7_www.faz.net,253_8_www.faz.net,253_9_www.faz.net,253_10_www.faz.net
11,1848589.8,1800599.8,1793131.0,1711583.9999999998,1784972.2,1788529.4,1812206.4,1807545.4,1785429.4,1834751.6,1456179.2,1205128.000000001,1455149.0,1199838.0,1389110.5999999999,1451927.0,1456621.0,1340638.4,1190505.0,1459429.0,1114424.6000000003,1229326.2,1081345.0,1034984.9999999999,1014653.0000000001,900190.0,1075724.5999999999,941981.0,986172.0000000001,973970.8000000002,1023532.0,1116663.0,1282931.6,1252185.4,1264064.0,1196899.0,1110209.0000000002,1301508.0,1117508.0,1265967.6
12,2067422.2000000002,1873904.8399999999,1854400.2,1792057.28,1789455.48,1794761.04,2108475.36,1853002.12,1826239.94,1937445.12,1454085.74,1438856.04,1471683.7,1432912.1599999995,1465180.34,1465874.6,1461716.4,1461482.3199999998,1354804.0,1459927.3,1252585.4,1320547.16,1178830.3,1186772.5600000005,1078570.92,1058320.28,1121053.4,1041988.8,1061620.02,1069088.4,1102072.0,1253369.6199999999,1385345.76,1372834.56,1388338.4,1269383.4000000001,1256415.3,1392339.5,1308086.3999999997,1384603.08
13,2189962.12,1932718.8,2049093.5999999999,1799096.64,1819349.1199999999,1835230.9599999993,2208966.08,2068505.44,1837855.48,2186698.52,1496403.12,1467500.56,1498887.6,1462391.76,1504493.36,1475852.8,1481597.6,1638828.84,1466914.0,1501310.8,1377324.52,1383524.52,1280196.6,1267883.36,1137843.04,1199755.8,1179336.4,1144460.6000000008,1121896.36,1175390.92,1224273.0,1373763.04,1397066.44,1387864.36,1388344.6,1387967.84,1379800.9600000002,1428177.0,1397136.04,1420875.32
14,2264555.48,2294705.1200000015,2222765.2,1828488.2,1995568.3200000003,2132048.48,2275426.5999999996,2221816.76,1932074.1199999996,2262332.8,1524559.6800000002,1503491.26,1528937.1,1513749.5199999998,1521911.98,1514889.7,1504104.4,1719260.3199999996,1490458.0,1503483.6,1389462.64,1386348.76,1344769.6,1385997.36,1207914.48,1234190.1200000003,1222700.08,1248999.0000000002,1212083.34,1272273.3200000003,1320774.0,1386742.22,1389249.88,1392248.36,1403318.8,1398899.32,1385802.92,1420572.5,1400055.32,1424647.24
15,2362632.44,2459797.96,2294696.8,2135276.84,2162889.2,2204997.3999999994,2364173.84,2289850.2,2218883.76,2351429.56,1606441.5599999998,1686313.1600000004,1555116.6,1793684.1599999995,1603624.36,1554514.8,1601238.6,1822595.12,1505199.0,1582355.6,1394090.76,1409760.8800000001,1387192.5999999999,1385180.68,1283399.12,1372355.6,1292591.5999999999,1289929.4,1261344.8,1364597.8,1322969.0,1389820.4400000002,1413397.2,1407276.5999999999,1429374.4,1425077.96,1396297.32,1460346.0,1397811.88,1429170.52
16,2433772.400000001,2557480.0,2361601.0,2182895.2,2220580.6,2258292.6,2395641.6,2380442.2,2261279.6,2443408.1999999997,1617625.4000000001,1853401.3,1609659.0,1890256.0,1634238.5,1659531.0,1616133.5,1863619.2,1603006.0,1599460.0,1408926.6,1447079.3999999997,1409198.0,1404138.8,1394378.8,1396581.4,1349409.0,1321449.0,1388117.0,1400839.8,1336226.0,1408786.4000000001,1467339.1999999997,1475751.2,1516319.0,1439921.8,1402923.8,1468840.0,1428488.3,1494587.2
17,2532824.88,2715219.2,2627597.4,2224851.72,2318011.08,2480534.76,2521384.3999999994,2445246.32,2375357.36,2574081.32,1656710.96,1872651.92,1670923.8,1963083.72,1717420.1999999995,1668498.8,1619141.7999999998,1917838.24,1620430.0,1654502.8,1477341.64,1511421.72,1428665.0,1432769.92,1444414.36,1405740.08,1364913.08,1336588.6,1399875.88,1401104.28,1345182.0,1484040.04,1577957.16,1487569.76,1525943.6,1474400.32,1474282.08,1581578.0,1445000.8,1553481.32
18,2710467.4,2941132.84,2736331.599999998,2299540.239999999,2370097.96,2613925.08,2707066.08,2610105.680000001,2394480.16,2706131.3600000003,1769684.68,1922124.72,1692625.5,1981960.7999999998,1803754.06,1704078.4000000001,1662255.1999999997,1990056.4400000002,1639183.0,1708297.7,1483339.56,1524750.8,1456197.0,1497797.6,1468301.12,1409520.28,1371433.4,1366911.8,1394819.56,1409445.96,1355532.0,1496673.52,1581867.08,1514878.84,1541177.2,1476692.6,1506072.0999999999,1579665.0,1556873.3,1579659.16
19,2987128.92,2962695.92,2970084.4,2370979.36,2595470.44,2781083.48,2859105.279999998,2696241.7600000002,2459773.28,2908744.28,1808168.88,1998030.84,1908723.2,2033714.24,1807277.6400000001,1759071.8,1730266.2,2010837.76,1713551.0,1795584.0,1513682.88,1532047.84,1576958.4,1523761.64,1507377.28,1407775.16,1394974.2,1412485.8,1418269.36,1425417.16,1414397.0,1500508.92,1599530.5999999999,1525193.04,1566785.2,1585697.64,1511343.16,1603468.0,1585073.36,1586852.24
20,3001111.44,2985285.28,2966779.8000000003,2387864.52,2650097.68,2954676.96,3034336.04,2877936.48,2645020.24,2970001.36,1818522.26,2022982.32,1973980.2,2048185.44,1911693.5999999999,1800862.1,1798556.8,2011071.18,1789985.0,1824169.8,1524362.44,1538773.12,1586264.3,1536413.8,1535531.32,1428571.36,1458131.48,1441549.8,1466551.22,1450918.6,1454419.0,1525842.98,1625728.44,1551657.32,1659206.6,1589734.2,1527363.38,1619126.5,1587190.98,1582864.4000000001
21,3042157.8,3125131.6,3023069.0,2455750.2,2873582.6,2962287.8,3062546.0,2982542.8000000003,2706981.2,3051901.8000000003,1916384.6,2066781.2000000004,1990581.0,2119914.4,2128697.0,1949363.0,1807224.0,2136540.2,1822474.0,1839586.0,1538951.0,1602836.0,1591329.0,1572032.6,1555794.6,1449964.8,1509953.0,1458369.0,1514874.0000000002,1511483.8000000005,1495027.0,1537474.8,1613123.8000000003,1631348.6,1682141.0,1597106.4000000001,1574752.0,1612994.0,1624626.4,1598764.4000000001
22,3083430.68,3677430.000000001,3065847.2,2587756.08,2982962.96,2971707.8,3428511.999999999,3062178.800000002,2804465.14,3085596.36,2080393.82,2071134.48,2044063.1,2133616.4,2243923.42,2159209.7,1917319.3,2209009.38,1881104.0,2056530.1000000003,1601099.98,1650899.5199999998,1613875.8,1574901.24,1547474.16,1503909.96,1551595.08,1502574.8,1538363.8,1626922.24,1566618.0,1606311.26,1670230.28,1710004.68,1684390.2,1601834.08,1611136.28,1671736.5,1612344.1,1612611.04
23,3329260.24,3947924.84,3433796.7999999984,2691105.44,3004154.28,3005448.08,3848122.92,3514901.600000001,2927459.6,3333403.000000001,2199960.96,2139399.44,2113856.1999999997,2225960.96,2318648.04,2181491.8,2130803.5999999996,2215428.04,2171797.0,2245152.0000000005,1642294.76,1711441.16,1615654.0000000002,1614802.8,1559635.48,1513435.88,1568755.64,1564356.2000000002,1598616.4,1637179.92,1597187.0,1675538.88,1690547.72,1710645.16,1719344.8000000005,1608316.04,1691946.640000001,1688315.0,1669383.64,1664725.08
24,3632674.12,4364122.84,3987800.5999999996,2697964.84,3040787.28,3228051.68,4334514.319999999,3998546.0000000005,3201868.5999999996,3927926.760000001,2314310.08,2161026.06,2198080.7,2263034.32,2374883.46,2250873.1,2220167.7999999993,2234837.72,2241339.0,2339761.9,1643121.7599999998,1712495.16,1665968.7,1671916.08,1587608.32,1569422.24,1631548.48,1621068.6,1638046.7599999998,1658618.1199999999,1679113.0,1700774.12,1734349.42,1725445.96,1766536.0,1644512.2000000002,1707869.24,1710271.0,1681733.94,1675361.28
25,4235246.4399999995,4804965.68,4585917.199999997,2745168.3600000003,3734074.5200000005,3698794.279999996,4848726.24,4604184.4799999995,3602383.2399999998,4340673.48,2595174.52,2220110.76,2210594.2,2307712.84,2388993.48,2336325.8,2342457.8,2249339.68,2353864.0,2537224.8,1658312.7999999998,1754114.56,1723446.6,1715257.08,1591457.56,1627108.5600000003,1662894.24,1662728.6,1648349.76,1679424.08,1728268.0,1706851.4,1745725.96,1794323.68,1788431.0000000014,1647371.52,1720858.4000000001,1746806.0,1697346.08,1701929.56
26,4810642.0,5400274.0,5017226.0,3004709.0,4397535.000000004,4210763.0,5502350.0,5298252.0,4075787.4999999995,4856979.0,2658540.0,2290270.0,2221583.0,2317801.0,2409630.5,2394651.4999999995,2395098.5,2276510.0,2584519.0,2591501.0000000005,1685172.5,1828675.0,1732850.5,1788718.0,1608613.0,1664813.0,1687867.0,1673658.0,1674006.0,1732100.0,1751815.0,1743948.0,1789881.5,1822937.0,1884659.0,1744011.0,1745559.5,1759276.0,1741431.5,1736910.0
