index,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de,287_1_www.dkb.de,287_2_www.dkb.de,287_3_www.dkb.de,287_4_www.dkb.de,287_5_www.dkb.de,287_6_www.dkb.de,287_7_www.dkb.de,287_8_www.dkb.de,287_9_www.dkb.de,287_10_www.dkb.de,288_1_www.dkb.de,288_2_www.dkb.de,288_3_www.dkb.de,288_4_www.dkb.de,288_5_www.dkb.de,288_6_www.dkb.de,288_7_www.dkb.de,288_8_www.dkb.de,288_9_www.dkb.de,288_10_www.dkb.de,289_1_www.dkb.de,289_2_www.dkb.de,289_3_www.dkb.de,289_4_www.dkb.de,289_5_www.dkb.de,289_6_www.dkb.de,289_7_www.dkb.de,289_8_www.dkb.de,289_9_www.dkb.de,289_10_www.dkb.de
11,183474.0,142405.0,275815.6,291575.0,204730.60000000018,133095.0,233936.5999999999,214749.00000000017,313832.79999999993,174759.00000000006,88638.4,47036.999999999985,69378.0,71661.2,61391.4,38791.799999999996,58036.79999999998,66699.4,82620.8,73020.39999999998,135401.4,141403.2,136644.8,118911.40000000001,135930.4,121921.8,137042.4,121444.2,71450.40000000001,80900.19999999997,85648.2,122335.6,97525.0,130889.0,135659.4,74623.0,135016.8,75294.2,82948.40000000005,135852.4
12,299765.87999999995,206624.20000000022,380652.35999999975,391728.19999999984,317094.87999999983,248272.10000000012,285046.32,331891.02,376260.16000000003,344417.92000000004,104336.64000000004,66203.94,73399.4,79708.32,75940.35999999997,67569.74,65174.840000000004,68507.92000000001,123271.84,76315.76,164402.7599999999,139900.62,134032.19999999998,137350.6,134959.94,147435.84000000023,169602.28,169891.28,100166.66,102683.28,134331.92,134147.98,135494.5,167697.59999999998,134345.28,78937.1,164931.08,101323.24000000002,134524.22,132890.82
13,395325.36,292185.36,484537.2399999998,503167.1999999998,417695.72,323766.8,321032.80000000005,464672.19999999995,459556.5999999999,481105.6400000001,129041.84,70141.08,78045.79999999999,106332.84,89107.28,80310.08,71368.44,75515.12,127351.48,106401.68,226769.36,137691.32,207207.16,237504.52000000002,172727.96,209916.59999999998,258001.88,196840.32,132085.08000000005,133542.72,171211.1999999999,154330.40000000002,134087.0,219452.19999999995,136962.59999999998,114170.79999999994,216850.52,103411.16,138308.92,167935.2799999999
14,496323.2,429745.8400000001,650392.8799999998,638232.8,511388.60000000003,377507.88,406783.5599999998,631185.48,538057.72,625076.8400000001,166958.76,113383.4,119202.20000000003,129149.12,107624.83999999978,82326.42,83293.83999999998,127099.54,128361.58,128771.72000000002,292494.64,167247.31999999998,301931.56,268234.8,240407.03999999998,284700.84,348980.60000000003,293566.88,144067.18,136105.92,243570.36000000002,250268.34000000017,154997.0,254717.19999999992,198262.40000000002,135151.7,290468.87999999995,133697.2,212707.04,255607.52000000002
15,605802.3999999997,506273.1600000002,779448.84,761149.7999999997,619672.6799999998,447767.6,518160.48,755404.84,595483.5199999999,727575.96,195671.92000000004,140500.19999999998,128771.8,127633.32,129049.72,139434.8,118931.08,130594.56000000007,130703.79999999997,127682.12,331576.08,250403.76,413686.0000000001,293797.4,312865.12,362058.6400000001,413525.2,340464.4399999999,145109.56000000003,167491.55999999988,316033.67999999993,325625.52,211441.0,299283.8,221917.52000000002,133776.40000000002,356023.4399999998,199757.59999999998,265940.4400000002,314591.2
16,727957.9999999998,621719.9999999999,816295.4,804204.0,761220.1999999998,527705.8,624113.3999999998,826581.4,682621.4,803994.2,248141.8,155062.0,128102.0,167606.19999999998,129705.90000000001,241590.2,122431.6,147183.60000000003,173031.3,132145.19999999998,408473.19999999966,315374.8,495695.80000000005,339662.00000000006,360819.79999999993,385461.39999999997,484428.19999999995,434742.7999999999,215089.00000000003,207374.2,387634.80000000016,406627.8,296234.0,370236.0,321125.0,148769.0,450098.0,223008.00000000003,309935.4000000002,410521.99999999994
17,802733.28,733167.68,851953.92,811622.0,818413.16,605840.24,737464.5199999999,868689.56,793893.5599999998,810357.04,308565.68000000005,195246.71999999994,188893.60000000006,250664.15999999995,169688.59999999998,314318.1600000002,129732.08,212857.52000000002,211064.19999999998,191996.79999999996,440242.19999999995,374311.92,531041.28,428203.96,407271.68,427995.28,535119.48,514958.36,257931.44000000003,286091.07999999996,436303.72,499070.16000000003,367439.0,448621.6,392590.76,240151.39999999997,503578.6,272288.04,385096.92000000004,478391.52
18,804272.26,811050.88,942955.3999999999,837360.3999999999,827755.64,733136.1999999998,802901.44,947573.12,816512.22,853444.8,359471.3999999999,280958.35999999987,215784.60000000015,319789.63999999996,222479.75999999998,415246.92000000033,150637.39999999985,291657.04,265474.6399999999,269109.07999999967,529871.1,441058.76,534557.92,527264.62,437776.62,496949.76000000007,547864.9600000001,548471.76,312431.80000000005,344722.8,479477.48,589425.4,461547.5,564164.2,463578.68000000005,302941.7999999998,533297.4,324050.0399999999,421043.8,552080.9600000001
19,876442.12,829782.6799999999,1046032.3599999999,917586.9999999995,889814.24,804363.36,843160.52,1102632.5999999999,831328.4,1003444.1600000004,444753.64,350732.63999999996,292412.00000000006,355586.36,306278.1999999999,470853.28,184568.5199999998,329210.16,308651.08,352808.03999999975,548856.0399999999,501554.84,554365.6,549469.3200000001,473598.63999999996,536115.12,555690.8,556473.6,364125.72000000003,409189.36,514534.48,627108.56,573718.0,610466.0,548785.72,365007.3999999999,602642.6799999999,361208.92,451906.24,613386.76
20,952269.8799999999,943898.28,1147087.64,1055076.4000000001,1005247.5200000003,818799.02,877750.2,1192291.72,925240.2799999999,1148439.44,518518.52000000014,449779.0,349162.39999999997,413308.87999999995,383607.36,515783.62,267878.92,347027.8,332320.36,442016.31999999995,556631.5599999999,548299.66,560588.1,552706.4800000001,502852.51999999996,544911.96,604446.12,590811.64,408567.3600000001,461501.0799999997,563228.78,704079.9199999999,612906.0,632139.4,614462.4400000001,458873.39999999997,667760.48,402771.16,531077.7600000001,642375.56
21,1037656.7999999997,1094447.6,1247972.1999999997,1159774.0,1091953.2000000002,853117.5999999999,990445.3999999999,1278264.6000000003,1043702.9999999999,1209067.2000000002,571680.4000000001,542963.5999999997,406036.0,512593.59999999974,464571.5999999999,533434.2,345147.19999999984,398198.8,382421.8,509816.59999999986,562025.6,555622.0,597668.0,589384.0000000001,534535.6,552091.0,669326.8000000002,632840.0,475624.8,529581.8,616120.0,770050.3999999999,653914.0,671225.0,639268.4000000001,531618.0,685665.2,445675.8,612403.0,705300.0
22,1130577.4,1222495.2800000003,1342596.3599999999,1282036.4,1173591.96,952420.32,1091160.8800000001,1354656.4799999997,1163669.56,1291496.2,577847.36,578075.46,469636.60000000003,575824.64,541994.86,536771.82,411623.4399999997,470448.2,463474.7600000001,576128.88,604671.9,566329.1,628414.9,632394.7,555709.48,572935.8,696437.6,674880.16,531904.36,545092.16,634349.04,866927.1200000001,743902.0,702892.2,682158.6799999998,601442.1999999998,765277.6,480726.5199999999,652006.32,834239.9599999998
23,1185975.88,1297298.04,1467337.9599999997,1378182.4,1265762.92,1087677.1600000001,1185616.08,1461286.52,1262420.4399999997,1446488.32,611650.4800000002,577918.72,538582.4000000001,576624.24,577942.04,583745.84,483146.2799999999,529764.04,524168.04,580602.84,690693.0399999999,617665.2,647163.3999999999,679508.2400000001,563561.2,599492.7600000001,754644.8800000001,728687.1199999999,561625.44,548354.6,691018.24,927575.84,802996.0,786527.9999999999,748256.6,626686.8,793355.1199999995,539234.68,680464.8,901340.0400000002
24,1276024.2,1360823.3599999999,1579841.64,1513557.7999999998,1358453.88,1207486.9200000002,1278553.7199999997,1574810.52,1317045.3599999999,1558290.4800000007,631513.52,612358.24,556439.2,611530.52,578962.04,586728.16,529568.9599999996,578205.68,576096.86,630875.84,753343.3599999999,685897.0399999999,678411.36,772962.6400000001,593726.52,651034.64,843791.52,816273.1999999998,569268.96,554191.2,771331.2000000001,957072.36,883123.0,903447.4,799110.3599999999,693135.2,901950.6,582040.1200000002,728266.2000000001,999329.7199999999
25,1373938.76,1485015.88,1686612.64,1631315.7999999993,1429897.8399999999,1296294.7599999998,1356032.12,1666639.1199999996,1397551.0799999998,1692248.2400000002,634365.04,636489.44,577950.4,628831.84,583723.92,627017.8,576104.44,579433.88,577810.4,631576.84,786667.4400000001,753023.7199999999,744636.4800000004,845288.04,659797.64,753757.4,887597.12,891029.4799999999,641289.9200000003,595528.16,802934.7599999999,1018251.9200000003,924245.0,954963.9999999997,880353.1199999999,766861.0,955073.5599999999,621203.32,842825.0800000001,1102688.5199999998
26,1461418.0,1596179.0,1805214.0,1766085.0,1504058.0,1390825.0,1475893.0,1830221.0,1539508.0,1788515.0,638672.0,639000.5,590065.0,635425.0,614535.0,638795.0000000001,577437.0,609947.0,583780.0,636725.0,833369.0,812873.0,842529.0,862046.0,721918.5,781025.0,953846.0,939520.0,689789.0,631184.9999999998,895937.0,1094145.0,998518.0,1076566.0,909065.0,791220.4999999999,1023711.0,642983.0,902296.5,1206277.0
27,1562945.4,1702967.4400000002,1928287.3599999999,1901331.4,1595624.56,1489342.4000000001,1589938.64,1961549.36,1673412.12,1910398.04,636678.52,639324.36,618343.6000000001,639318.88,636382.6,643301.4400000001,580943.76,631806.88,584839.6799999999,642095.72,881548.56,872371.6399999997,864646.12,989264.9199999999,782199.6,863640.4400000002,1046928.6400000001,1023431.7200000001,739349.4,694716.8400000001,934671.8400000002,1184346.2800000003,1040931.0,1171592.7999999998,995127.8,878596.0,1091780.1199999996,696640.7200000001,939754.24,1288868.68
28,1653616.72,1812122.8800000004,2054077.8800000001,1991879.3999999997,1734943.12,1594086.28,1682719.88,2045394.84,1781817.64,1986994.52,640605.4800000001,640869.88,631546.8,640807.3200000001,638469.42,646003.5599999999,587706.6,636659.28,637908.44,645713.12,974549.6199999996,944271.06,922724.44,1058649.5600000008,801875.0,967945.3600000002,1120460.36,1116819.32,809418.88,734947.0799999998,997945.4799999999,1285896.64,1088816.0,1268110.4,1066680.04,904802.2,1136510.92,794431.7999999998,1012139.5999999999,1356538.9600000002
29,1758905.1599999992,1918467.24,2163162.08,2148459.1999999993,1864269.2799999998,1703272.32,1772752.04,2145573.88,1880482.16,2069850.4,646389.68,647348.28,636963.6,640584.76,639260.12,646942.52,636376.24,639739.28,638764.04,647322.16,1048814.68,1008678.0799999997,982153.16,1153926.72,866809.5999999999,1021487.7999999999,1187437.24,1174710.2799999998,899924.5600000003,765536.4,1054048.72,1354137.24,1132557.0,1359757.6,1140195.6400000004,964882.9999999995,1217645.8799999997,877364.44,1092834.4,1461962.8400000003
30,1879790.5599999998,1991275.92,2283276.04,2269542.8,1997911.4399999997,1810439.76,1879573.3999999997,2283726.64,2003350.28,2155960.4800000004,648412.24,649201.66,634308.7000000001,642834.48,641626.78,648857.86,640020.48,648563.72,641004.72,648840.84,1125789.8,1111680.6600000001,1055346.48,1170607.4000000001,953783.2,1090599.3199999998,1281239.7199999997,1301166.4,936815.16,850577.7199999999,1135158.6,1436482.48,1183788.0,1455212.7999999998,1203633.72,1050680.5999999994,1333150.12,912727.24,1176090.76,1542058.3199999998
31,2021207.1999999995,2085474.4,2416058.3999999994,2383431.0,2138890.8,1928266.2,1962614.1999999997,2393476.4000000004,2112579.6,2273815.2,646623.2,649130.2,636145.0,644283.4,648312.6,649459.2,637861.8,645900.4,644134.8,646748.8,1160406.0,1157339.0,1127123.6,1219015.8,1044714.0,1151974.8,1370231.0,1408368.7999999998,1028320.0000000001,897349.2,1218523.2000000002,1515542.6,1220427.0,1544934.0,1262915.4,1144949.0,1378279.8,1033324.4000000001,1256117.6000000003,1617203.4
32,2124701.3199999994,2226517.84,2527301.56,2493947.4,2253110.4799999995,2055830.2399999998,2079079.84,2513486.48,2208337.2399999998,2386467.1200000006,675637.16,649325.46,638996.4,648799.28,647462.22,653397.76,640134.56,647703.0800000001,646539.42,650701.56,1178975.56,1231722.6800000002,1199861.72,1283391.4000000004,1122095.0399999998,1219007.2,1467562.68,1517316.96,1120360.88,933372.1199999999,1299275.64,1613686.7199999997,1246520.0,1636809.1999999997,1342355.8,1225586.6,1426911.56,1121574.96,1326953.12,1697520.32
33,2257623.0399999996,2340781.96,2645133.28,2595737.8,2339499.52,2203191.28,2174420.64,2632168.8000000003,2314969.44,2485834.3200000003,678103.96,649709.84,643706.8,648245.16,647617.92,655748.28,640581.32,653115.48,647080.12,657094.12,1257192.5599999996,1320374.44,1304301.56,1364063.7200000004,1162653.56,1319868.6400000001,1530708.76,1596208.5599999998,1227415.6,1021976.0399999996,1411651.68,1706355.32,1293013.0,1715698.8,1410642.76,1309442.9999999998,1465949.48,1202314.64,1413628.72,1794083.24
34,2402924.28,2480015.8000000003,2773506.44,2722846.2,2439733.28,2328149.3200000003,2322374.5199999996,2777355.88,2431657.96,2614380.36,676720.4,680658.1,646407.8999999999,647474.16,643109.76,654300.46,645079.52,653454.62,651044.66,657456.44,1380458.28,1406602.72,1384903.7600000002,1436703.8,1224198.64,1408402.1600000001,1643507.8800000001,1683652.48,1312881.9200000004,1119891.56,1492705.72,1825389.36,1371474.0,1786309.6,1495720.5200000003,1405285.1999999997,1549143.2399999998,1296606.32,1502150.36,1876651.56
