index,246_1_taz.de,246_2_taz.de,246_3_taz.de,246_4_taz.de,246_5_taz.de,246_6_taz.de,246_7_taz.de,246_8_taz.de,246_9_taz.de,246_10_taz.de,247_1_taz.de,247_2_taz.de,247_3_taz.de,247_4_taz.de,247_5_taz.de,247_6_taz.de,247_7_taz.de,247_8_taz.de,247_9_taz.de,247_10_taz.de,248_1_taz.de,248_2_taz.de,248_3_taz.de,248_4_taz.de,248_5_taz.de,248_6_taz.de,248_7_taz.de,248_8_taz.de,248_9_taz.de,248_10_taz.de,249_1_taz.de,249_2_taz.de,249_3_taz.de,249_4_taz.de,249_5_taz.de,249_6_taz.de,249_7_taz.de,249_8_taz.de,249_9_taz.de,249_10_taz.de
11,1876877.0,2150685.0,2387003.0,2060041.2,1749917.0,2160120.4,2246673.0000000005,2278200.0,3046418.199999999,2945970.2,196110.8,200453.8,173580.6,216459.8,192252.0,236630.00000000003,240841.2,217578.3999999999,181167.0,192034.7999999999,233203.6,240031.8,221541.80000000005,188319.4,213985.4,225606.0,213817.4,179110.0,249643.8,244296.2,382630.8,513315.6,454354.99999999994,388432.0,403134.0,274322.6,309555.0,338721.6,332115.8,408698.99999999994
12,2144269.88,2447946.0,2612000.6999999997,2320975.26,2044034.7999999998,2390711.2799999993,2550846.06,2719077.6,3399915.2199999997,3491062.4199999995,250397.92000000007,239367.42,230287.66,251507.82,205012.3,246376.58,276797.36,253816.32,220283.4,213851.59999999998,252293.06,242282.24,224221.84,226214.96,249654.44,252104.19999999998,257429.54,204444.74000000017,287721.62,296527.51999999996,382206.12,578295.56,512859.63999999996,442362.4400000001,488862.6,323922.76,418248.18,433340.48,376434.86,479931.16
13,2364040.6400000006,2737431.0,2886762.56,2424361.96,2302752.8,2801486.1600000006,2839283.7199999997,3236574.800000001,3879639.52,4022189.28,309676.56,242233.04,274454.60000000003,294772.76,246788.5999999999,288640.44,284297.04,302479.8,241286.2,271790.51999999996,295455.56,317836.64,246483.19999999995,255062.48,249835.88,267537.4,297000.96,253114.4,326519.44,326910.83999999997,420713.24,704237.64,533861.6,506676.4,524347.0,375998.64,487903.12,490778.6,446478.5599999998,544763.16
14,2491820.56,3032845.0,3056514.1,2641491.3,2546807.4,3012163.68,3138709.2,3804193.0,4344972.419999999,4435928.82,325198.44,287264.36000000004,290514.62,294996.8399999998,273539.7,357798.62,336885.36000000004,375707.74,248381.19999999998,291116.95999999996,344863.22,350210.56,264757.0,297771.0,266170.1199999997,313389.5999999999,341986.88,273724.82,354900.60000000015,333539.77999999997,508906.0,767855.64,611502.3999999999,523430.58,578562.8,391125.4,546867.18,526104.94,548447.58,600897.3999999999
15,2697597.12,3153247.0,3118097.3599999994,2869820.4000000004,2800139.0,3124142.08,3412385.9199999995,4238310.8,4580241.2,4551425.12,343236.12,354184.36,307695.64,358153.39999999997,298482.99999999994,356301.88,352048.0,409115.76,294918.79999999993,310606.28,353856.24,359834.44,296505.0000000002,338344.63999999996,297334.36000000004,341122.8,383106.2,326754.2800000001,370083.6,352189.68,566722.76,805322.84,666082.2,623803.8,654409.4000000001,465758.12,602223.2,611002.04,590162.96,651370.2
16,2883793.0,3266496.0,3348596.5,3057331.4,2901330.0,3332435.0,3719276.9,4488716.0,4834183.9,4813918.9,357784.5,356090.3,356683.50000000006,393338.5999999998,337515.0,369828.6000000001,381539.19999999995,441581.6,328908.0,320586.6,373846.39999999997,403132.6,341540.6,341295.2,321878.1,394373.0,425958.0,370596.00000000006,435610.50000000006,358661.0,622197.4,857047.0,689487.2,670298.5,725630.0,499158.00000000006,679287.5,721845.8999999997,702081.7,700124.3999999996
17,3088459.44,3478741.0,3527844.96,3350450.6,3062083.8,3514776.52,3946167.4,4690346.600000001,4926331.96,4981568.76,358172.60000000003,366494.39999999997,404391.4400000002,427275.87999999983,346376.0,405589.7200000001,436512.84,462335.08,353478.0,361535.24,441203.0,443142.8,381559.92000000004,404867.6,321192.76,458750.2,459665.52,447264.2,477845.48000000004,408278.12,705025.76,890050.28,779244.8799999998,696616.24,800300.4,518157.48,766153.56,792840.48,717785.88,807260.56
18,3364741.4,3633586.0,3627426.68,3539782.4,3184816.5999999996,3744453.08,4241214.24,4941984.8,5022595.04,5105488.12,422360.6400000001,402355.68,439484.6,493249.82,397904.3999999998,448189.8,463467.8,469441.44,364080.6,380850.3999999997,458694.4,493432.36,435962.16,458346.76,368470.86,491112.6,475313.44,457716.18,494711.14,432087.06,745669.04,976103.5599999999,815809.7,724798.04,823650.3,541976.6799999999,822130.8199999997,825753.1,781742.16,837744.82
19,3638597.44,3827524.0,3883170.52,3728776.5999999996,3362074.9999999995,3948359.6799999997,4507694.88,5033004.4,5158265.04,5195352.5200000005,462543.48,465934.48,490471.28,494648.8,439709.0,493347.68,493240.88,495357.72,399511.4,445071.24,490174.76,494912.36,458964.96,477149.44,464029.55999999976,495141.4,488498.52,493583.6,498144.76000000007,490497.92000000004,806017.16,1025137.4800000001,858147.16,762121.56,833241.4000000001,593734.92,856637.36,855525.88,824201.24,872503.3199999996
20,3876521.8399999994,4006439.0,4094117.64,3888081.1800000006,3630289.8000000003,4136056.16,4702009.600000001,5242381.2,5190970.08,5309278.08,483088.58,492606.60000000003,493984.94,504494.37999999995,483645.19999999995,495288.98,496109.04000000004,495577.27999999997,456262.5999999999,497869.64,493237.32,515270.08,507243.84,521507.4800000001,468067.8,508642.6,511385.6399999999,497762.78,521562.4,495601.2,856714.5599999999,1089987.8800000001,952944.1999999998,790568.78,892294.3,630114.4,872375.3999999999,889280.6000000001,888398.24,933492.9999999999
