index,330_1_www.wetter.com,330_2_www.wetter.com,330_3_www.wetter.com,330_4_www.wetter.com,330_5_www.wetter.com,330_6_www.wetter.com,330_7_www.wetter.com,330_8_www.wetter.com,330_9_www.wetter.com,330_10_www.wetter.com,331_1_www.wetter.com,331_2_www.wetter.com,331_3_www.wetter.com,331_4_www.wetter.com,331_5_www.wetter.com,331_6_www.wetter.com,331_7_www.wetter.com,331_8_www.wetter.com,331_9_www.wetter.com,331_10_www.wetter.com,332_1_www.wetter.com,332_2_www.wetter.com,332_3_www.wetter.com,332_4_www.wetter.com,332_5_www.wetter.com,332_6_www.wetter.com,332_7_www.wetter.com,332_8_www.wetter.com,332_9_www.wetter.com,332_10_www.wetter.com,333_1_www.wetter.com,333_2_www.wetter.com,333_3_www.wetter.com,333_4_www.wetter.com,333_5_www.wetter.com,333_6_www.wetter.com,333_7_www.wetter.com,333_8_www.wetter.com,333_9_www.wetter.com,333_10_www.wetter.com
22,5167216.4,3882683.12,4945423.4,1889595.0,5815339.44,1749913.8,1771761.0000000002,1832491.6,7060054.399999999,6814327.92,1448818.12,1597387.2,1411897.08,1753300.98,1556526.8,1356322.2,1450621.92,1484540.48,1469470.12,1398964.56,4090721.64,4018721.98,1778993.5,5438209.36,6393518.68,5795510.7,5330072.9799999995,3801739.9,5968591.04,5275844.12,1474376.96,1474509.3599999999,1678623.0399999998,1602537.6,1374670.38,2184667.62,1247312.04,2048216.1600000004,1724779.8,2378623.56
23,5395032.4,4224269.36,5041886.8,2096598.0,5913920.24,1878311.44,1815423.0000000005,1884915.2,7278624.6,6886164.32,1502805.64,1654139.0000000002,1497881.88,1786028.12,1632318.0000000002,1370747.24,1478376.76,1508222.64,1505037.16,1480841.4,4233816.32,4260278.800000001,1810073.0,5471105.88,6548717.759999997,5868675.4,5397909.16,3839876.6,6037411.28,5339009.24,1499085.04,1658393.2,1805648.92,1725466.4000000001,1454936.16,2228472.48,1259788.96,2250053.6,1876359.5999999999,2409991.76
24,5441770.02,4307292.12,5164875.2,2333358.0,6121889.38,1903498.76,1826050.7,1966072.4,7417252.8,7080070.28,1527130.76,1719328.0000000005,1527148.08,1886418.16,1665150.4,1434961.52,1525450.9200000002,1547455.8799999997,1526992.92,1591166.0999999999,4424285.72,4591720.46,1845666.0,5547423.6,6751857.76,5915963.9,5473637.44,4159564.399999997,6123440.2,5393924.46,1634263.2400000002,1749868.96,2028047.0399999986,1921232.8000000003,1590127.1600000001,2293841.44,1275818.6800000002,2388799.84,1941981.1,2414752.24
25,5564746.36,4375801.480000001,5309627.399999999,2345430.0,6183941.000000002,2109560.88,1940096.2,2120018.2,7531775.4399999995,7214012.96,1592420.72,1747757.4,1562875.92,1903306.92,1746005.8,1536555.96,1577076.96,1598968.24,1544665.92,1682093.8,4561123.28,4768002.8,1911652.0,5626844.16,7022631.760000001,5958969.6,5550534.64,4566284.8,6228661.24,5426717.84,1746043.76,1826931.52,2178974.16,2076743.7999999998,1781364.52,2373159.4,1387388.04,2400292.08,1990220.3999999994,2434541.72
26,5624287.0,4564059.0,5453442.000000001,2389466.0,6247668.5,2130771.0,2126492.0,2186463.0,7876993.0,7406643.0,1653601.0,1757385.0,1601275.0,1941493.0,1885561.0,1633902.0,1581233.0,1636193.0,1574675.0,1747209.5,4687705.0,5017999.0,1988644.5,5674073.5,7223646.0,6040328.5,5655302.0,4612407.0,6293694.0,5473732.0,1928577.0,1939816.0,2249129.0,2200141.000000001,1888787.0,2427769.5,1597855.0000000002,2410000.0,2100631.5,2436046.0
27,5698241.84,4622009.840000008,5550245.2,2590476.0,6353361.36,2193004.84,2374299.000000001,2306520.2,8187012.440000002,7807432.64,1692245.8,1787358.0,1663222.7599999998,1973625.6400000001,1926008.5999999999,1749336.88,1665505.44,1692646.2400000002,1620897.88,1785881.2,4795891.28,5271035.04,2009788.0,5715495.84,7408782.84,6118626.200000003,5716223.6,4658700.2,6360579.64,5498856.520000002,1993117.68,2001481.44,2411010.92,2269852.0,1965859.0000000005,2432929.04,1819488.680000001,2422301.92,2136061.9999999995,2451013.36
28,5810158.58,4734131.88,5614432.8,2614940.0,6478753.600000001,2278657.0799999977,2477736.5,2364271.3,8468939.16,8111964.639999994,1718098.56,1826265.8,1707074.56,1984496.84,1924585.6,1876898.2,1713551.6,1740580.54,1745940.5999999999,1824417.64,4930799.92,5367659.899999999,2043409.0,5805259.5600000005,7598462.56,6130509.6,5817748.32,4716089.1,6439224.320000001,5551069.779999999,2041493.1199999999,2108758.24,2425884.5599999996,2327870.000000001,2138312.76,2441606.72,2074721.0000000014,2425407.12,2185394.3,2489771.84
29,5850204.399999999,4852887.84,5703495.2,2644637.0,6556810.92,2315632.04,2595429.4,2404182.4,8572116.04,8399976.68,1756401.68,1841610.0000000002,1729181.4400000004,1978884.12,2017107.6,1906836.56,1788001.6000000003,1826868.8,1829077.0,1839874.96,5001794.6,5476536.4399999995,2087438.0,5908486.079999998,7763300.8,6206466.6,5876643.24,4761705.6,6518911.36,5613421.32,2183512.36,2242442.3599999994,2434015.64,2376854.0,2371594.92,2456991.2399999998,2235142.56,2446088.24,2254523.2,2485256.48
30,5927656.2,4921028.799999997,5784070.800000015,2667877.0,6634841.76,2372133.36,2708641.8,2409178.9,8886641.98,8600520.159999998,1768033.8399999999,1902997.0000000005,1816984.3199999998,2058037.3,2122986.0000000005,1943813.92,1831618.84,1890156.52,1917865.7600000002,1875922.3599999999,5273335.88,5528081.62,2099476.5,5963813.16,7989768.28,6460979.899999999,5956037.18,4837366.3,6571053.64,5741362.18,2318616.44,2416476.5600000005,2445900.68,2415013.800000001,2385202.22,2472631.84,2428713.92,2459362.56,2341704.2,2508078.44
31,5978218.2,4953460.6,5900560.0,2781297.0,6644463.199999999,2508923.0,2724068.0,2518517.0,9135097.6,8711664.0,1814359.6,1988612.0,1915904.2000000002,2135142.1999999997,2212000.0,1984657.2,1890986.0000000002,1928914.7999999998,2042054.8000000003,1895708.4,5397975.0,5570826.600000001,2116557.0,6022305.4,8199388.2,6602860.0,6078014.0,4883822.0,6616578.800000001,5798379.8,2412599.8,2429378.8,2445904.2,2424905.0,2397223.8,2471937.8,2428597.2,2507298.0,2402544.0,2513325.2
