index,378_1_www.cinema.de,378_2_www.cinema.de,378_3_www.cinema.de,378_4_www.cinema.de,378_5_www.cinema.de,378_6_www.cinema.de,378_7_www.cinema.de,378_8_www.cinema.de,378_9_www.cinema.de,378_10_www.cinema.de,379_1_www.cinema.de,379_2_www.cinema.de,379_3_www.cinema.de,379_4_www.cinema.de,379_5_www.cinema.de,379_6_www.cinema.de,379_7_www.cinema.de,379_8_www.cinema.de,379_9_www.cinema.de,379_10_www.cinema.de,380_1_www.cinema.de,380_2_www.cinema.de,380_3_www.cinema.de,380_4_www.cinema.de,380_5_www.cinema.de,380_6_www.cinema.de,380_7_www.cinema.de,380_8_www.cinema.de,380_9_www.cinema.de,380_10_www.cinema.de,381_1_www.cinema.de,381_2_www.cinema.de,381_3_www.cinema.de,381_4_www.cinema.de,381_5_www.cinema.de,381_6_www.cinema.de,381_7_www.cinema.de,381_8_www.cinema.de,381_9_www.cinema.de,381_10_www.cinema.de
26,1166924.5,1156544.5,1159977.0,1154127.0,1163343.0,1138336.0,1158390.5,1154006.5,1154091.0,1136855.0,1554928.0,1448049.0,1473283.5,1366773.5,1413712.5,1341956.5,1450565.0,1420934.5,1350179.0,1457618.0,1353620.5,1390612.0,1156464.0,1243672.5,1636914.0,1408554.0,1249948.0,1353286.5,1159245.0,1412117.0,1064308.0,1067067.0,1056143.0,1061983.0,1064570.0,998036.0,1071692.0,1059668.0,1059801.0,1059533.0
27,1243730.28,1164311.24,1171671.2,1158525.3999999997,1171413.36,1166988.4,1164550.2000000002,1159694.04,1159931.56,1142104.5999999999,1594503.8,1449304.9199999997,1512031.96,1396230.6400000001,1429183.6,1423432.96,1449264.8,1440251.72,1428846.2,1462238.04,1365797.32,1409184.04,1259157.08,1323472.28,1683301.28,1426758.0,1256791.12,1408731.1199999999,1264117.6,1424989.52,1072146.4799999997,1073034.24,1062194.4,1069287.64,1070890.16,1065967.4,1077781.1199999999,1068689.68,1066831.6,1067032.7999999998
28,1253031.6199999999,1238038.74,1246239.68,1234863.8399999999,1247963.08,1243559.7200000002,1171147.4000000001,1186800.84,1165793.16,1150033.4,1701589.48,1483471.22,1624286.2400000002,1496824.2799999998,1448019.22,1434340.08,1466917.0000000002,1452803.44,1447237.54,1492994.7,1369307.04,1413236.88,1284559.76,1332837.8,1697454.08,1429909.4,1267518.0,1409814.2400000002,1293379.4,1470692.02,1074791.64,1077131.68,1066875.8,1074363.42,1073997.1199999999,1073355.1,1088599.68,1073692.08,1070472.4,1072565.12
29,1271167.84,1244025.16,1258480.44,1245408.04,1256678.16,1246750.8,1244814.24,1246628.04,1174083.4000000001,1157675.56,1715058.4000000001,1499569.24,1634858.6,1589234.04,1459626.32,1443305.12,1495597.8,1466477.1999999997,1462750.64,1517685.44,1388830.08,1413533.4,1360042.04,1350709.1999999997,1762062.5999999999,1445811.9999999993,1295148.5999999999,1412319.6,1297558.6000000003,1566734.04,1164902.2,1081544.28,1079069.8,1077300.2,1079895.48,1076235.5999999999,1093223.4000000001,1076010.3599999999,1078079.0,1079907.28
30,1279959.76,1259102.68,1270882.48,1260047.48,1273845.04,1261635.4,1255217.14,1258179.74,1177826.32,1159357.96,1723789.44,1615542.6,1687632.44,1606010.34,1567152.94,1450718.06,1564229.4000000006,1482549.3,1515304.2799999982,1616049.16,1392810.42,1424779.52,1367770.36,1378818.7799999998,1887589.9599999997,1519959.4000000001,1375987.58,1426408.5999999999,1373488.8000000005,1594611.22,1171260.7999999998,1082977.6400000001,1079713.4,1083512.98,1090506.96,1077391.3,1166640.2000000002,1078163.2000000002,1083680.0,1085112.72
31,1395228.2,1262926.8,1279891.8,1263846.4,1278123.4,1268671.5999999999,1267449.8,1264464.0,1254482.2,1212494.1999999997,1755146.6,1629955.6,1745512.799999999,1658753.6,1596925.2,1474143.2000000002,1624417.0,1506313.0000000002,1605456.4,1631587.6,1471762.0,1531450.1999999995,1386119.0,1379476.4,1984640.8,1517788.0,1394615.0,1515938.1999999997,1391149.0,1619008.2,1244205.4,1095349.6,1090822.0,1092420.2,1095030.0,1154314.0,1182245.2,1090381.2,1158029.0,1157115.2
32,1405004.18,1276448.36,1392693.5999999999,1288136.3600000003,1303070.2800000003,1280637.56,1277814.96,1371304.26,1266027.8,1241997.92,1804455.44,1689234.7,1851815.3200000003,1678887.74,1600060.94,1481740.54,1637640.6,1602493.8,1604691.68,1683918.42,1560922.44,1560153.88,1390628.48,1378911.38,2002714.3999999997,1615862.0,1398602.24,1563335.34,1392279.8,1666402.06,1256459.44,1169860.44,1129665.4,1166496.46,1167053.28,1164736.5999999999,1191198.72,1163692.12,1167482.0000000002,1168914.34
33,1411962.96,1375550.16,1402414.84,1377566.24,1401868.12,1392634.04,1380158.88,1390083.28,1275366.68,1256595.64,1818357.96,1788677.52,1892385.24,1783683.04,1623283.76,1586703.44,1696019.0,1626776.68,1626090.56,1814771.48,1583485.84,1603813.56,1403151.76,1406929.4,2017333.52,1641393.4,1405847.48,1611883.76,1398922.0000000002,1692505.16,1267990.9199999997,1182144.36,1172383.8,1182112.44,1181883.8,1177549.6,1223014.9200000013,1177954.92,1180937.6,1187378.96
34,1423226.62,1396275.36,1409747.28,1395040.28,1408089.24,1397567.76,1398805.78,1399667.5200000003,1281751.64,1265818.92,1852415.68,1798970.4200000002,1898374.46,1826753.34,1668995.38,1620372.2,1800319.4,1640846.9,1630162.82,1838959.36,1602048.92,1622227.36,1414875.4,1506063.1,2022090.8799999997,1666286.5999999999,1411948.9800000002,1629587.56,1410222.7,1700409.34,1276558.72,1195591.68,1188123.6,1191174.68,1193648.12,1191041.3,1300501.16,1191303.98,1187764.8,1191798.6199999999
35,1466490.28,1403489.04,1415027.92,1406798.08,1414613.08,1406926.64,1409960.2,1404330.32,1390952.3199999998,1270281.36,1872087.76,1848050.12,1939462.84,1877861.84,1690654.1199999999,1631705.44,1844992.8,1703164.68,1687589.16,1845637.96,1612874.92,1662679.84,1424192.1199999999,1562552.64,2083913.52,1688980.1999999995,1505294.52,1680055.8399999999,1491953.0,1716837.7599999998,1285968.32,1198754.48,1196525.4,1207079.5199999986,1195934.04,1197412.4,1318109.0799999998,1195123.28,1194661.2,1289348.04
36,1564591.8000000003,1415223.8,1425272.0,1410959.9999999995,1424624.4,1415802.6,1412810.6000000003,1415789.6,1401012.6,1370529.8,1930629.6,1881857.6,1975964.0,1912878.1,1815240.8,1682096.2999999998,1884432.0,1738912.4,1717053.0999999999,1893685.6,1634048.0,1688671.6,1512277.0,1577018.3,2122478.0,1698298.0,1548599.2,1688676.9,1535678.5,1789679.0,1383539.2,1297820.4,1296651.0,1315517.9999999998,1297542.5999999999,1298153.0,1330889.2,1282910.9000000004,1291218.0,1308032.1
37,1576900.12,1420807.48,1458677.8400000005,1422583.32,1431917.5599999991,1422764.48,1423909.28,1424910.96,1408095.64,1390694.56,1939053.52,1884745.2800000003,2002163.36,1917167.08,1825994.3599999999,1793551.08,1910128.8,1831356.2,1827410.68,1894054.96,1690744.68,1694973.8800000001,1561999.4400000002,1606934.5999999999,2240743.24,1719062.6,1555669.4,1697540.32,1556476.4,1880809.24,1404061.32,1317245.4000000001,1318113.7999999998,1322287.8,1315966.32,1316622.2,1338820.96,1312769.96,1311171.6000000003,1313527.44
38,1632253.6399999997,1419354.04,1524939.56,1429062.04,1527897.7600000002,1447620.28,1436193.28,1458670.3800000001,1420429.68,1396621.64,1937381.52,1892312.84,2012914.66,1930643.34,1856174.3,1818753.28,1932256.8,1876299.7999999998,1843123.5599999998,1921680.82,1701682.16,1711392.28,1583099.4,1626355.06,2753925.04,1850556.9999999986,1585744.5399999998,1721055.16,1567541.9,1988795.4400000009,1409616.92,1323957.88,1322839.8,1327068.18,1321350.92,1326015.1,1342896.92,1315808.24,1317803.4,1326034.72
