,398_1_www.opodo.de,398_2_www.opodo.de,398_3_www.opodo.de,398_4_www.opodo.de,398_5_www.opodo.de,398_6_www.opodo.de,398_7_www.opodo.de,398_8_www.opodo.de,398_9_www.opodo.de,398_10_www.opodo.de,399_1_www.opodo.de,399_2_www.opodo.de,399_3_www.opodo.de,399_4_www.opodo.de,399_5_www.opodo.de,399_6_www.opodo.de,399_7_www.opodo.de,399_8_www.opodo.de,399_9_www.opodo.de,399_10_www.opodo.de,400_1_www.opodo.de,400_2_www.opodo.de,400_3_www.opodo.de,400_4_www.opodo.de,400_5_www.opodo.de,400_6_www.opodo.de,400_7_www.opodo.de,400_8_www.opodo.de,400_9_www.opodo.de,401_1_www.opodo.de,401_3_www.opodo.de,401_4_www.opodo.de,401_5_www.opodo.de,401_6_www.opodo.de,401_7_www.opodo.de,401_8_www.opodo.de,401_9_www.opodo.de,401_10_www.opodo.de
10,135672.0,111048.99999999993,132069.0,118646.59999999998,2068835.0,94426.99999999996,103397.0,99049.4,2098359.0000000005,2071021.8,773320.0000000001,864519.7999999998,740466.8,717714.0,764029.6,834318.0,881186.0,686000.0,860723.2000000002,774655.6,522469.6,678361.0,612954.4,639682.9999999998,661042.9999999999,565811.0000000001,605982.0,524189.8,415689.0,648853.1999999997,651748.0,533599.8,612760.0,611374.8,552797.8,578651.4,598826.0,615672.0
11,134077.0,144381.68,136011.6,145410.24,2310109.68,143014.92,144517.9,123428.24,2448753.2,2399517.82,901609.08,899707.72,763050.0,747802.68,797738.0399999998,942160.22,960748.5,809504.0,959128.94,802595.74,628104.44,794451.28,712996.12,769837.84,770277.96,593372.88,620266.88,599013.1,622764.1199999999,696196.16,667172.0,614510.2400000001,635348.72,620032.0,639017.14,590775.3999999999,619653.84,656243.4
12,140753.0,142877.56,137924.8,143830.56,2370398.6,143638.08,145742.4,122031.08,3034988.12,2916505.08,994223.36,948421.48,839482.96,865347.96,966004.24,965268.56,1017426.0,880488.7999999998,1000640.2,846678.08,723951.0,832447.6799999998,739212.72,827232.7999999998,791793.76,639694.24,649343.4,645675.3200000001,761742.7999999998,779886.88,736140.6000000002,674692.9999999998,659877.9199999999,678431.64,662843.8,655771.84,659109.12,669806.8
13,143014.0,147173.08,148258.8,147767.32,2426845.4800000004,144971.82,147887.9,144722.26,3186013.28,3324453.16,1001788.7200000002,982835.8,901778.44,954321.5600000005,1038967.84,1076212.02,1088813.5,1030799.0,1091708.84,1060604.4,837700.76,849579.4400000002,797546.12,857631.88,805638.12,712484.4400000002,667913.12,732961.6799999998,792571.42,859507.44,777649.6,737499.9400000002,680479.28,688376.38,680699.7,690905.5599999999,684249.42,713205.9999999999
14,148606.0,149008.96,153516.2,150040.96,2786225.52,147722.84000000005,146737.8,149113.28,3368220.76,3434473.92,1058105.68,1059707.24,949571.08,1030959.4400000005,1047993.04,1081676.28,1100731.0,1079845.4,1094691.08,1087891.84,881494.72,876433.2,825411.2400000001,869680.36,858763.6000000002,801392.92,751673.8400000003,795925.32,838310.76,919911.12,877254.4,791136.72,714099.8399999999,730559.52,721722.52,747646.04,788881.16,829835.4000000001
15,153920.0,148333.9,155252.0,149585.0,3039968.9999999995,148887.9,148554.5,148717.7,3582780.8,3434925.1,1075990.6,1127657.0,1104871.8,1082388.6,1108550.4,1098795.0,1118502.5,1142253.0,1119034.2,1102479.1999999995,905846.4,930238.6000000002,885338.8,913522.4,898102.4,857347.9,795113.4,835739.2,875938.6,992371.2,949912.0,853331.9000000001,760163.6,773600.6,754537.7,814485.2,901087.7,900616.0
16,151774.0,146769.48,156336.2,157015.84,3537899.08,151885.92,151418.6,151280.6,3621724.44,3682090.88,1150797.92,1169494.76,1144967.4,1130902.08,1122116.04,1134800.52,1160102.0,1188472.6,1168839.6,1151727.96,948454.4,950239.12,936185.24,941098.6799999998,938584.84,906358.44,880141.0,911563.8,915330.88,1009872.84,973673.8,918134.16,820243.64,823521.6,795177.44,885123.2,928175.64,939027.6
17,153458.0,151165.56,156527.59999999998,157595.96,3567397.6,151293.08,150793.1,150865.09999999998,3767044.28,3743623.26,1210945.16,1223979.88,1185535.08,1197548.04,1172188.6399999994,1189467.26,1323353.0,1207775.1,1214024.5199999998,1192043.02,968092.6,1002233.92,963638.32,965041.92,967801.12,928739.42,952571.4,933445.18,940651.02,1055027.68,1003059.3,958509.74,890313.28,836709.74,850672.0399999998,941392.92,962058.98,962940.6
18,157886.0,161419.8,174891.19999999998,167481.6,3842475.48,153024.52,162863.2,153432.52,3832721.56,3852463.68,1257622.4,1343919.52,1248210.9200000002,1279676.4800000002,1248473.4799999995,1339897.44,1356836.0,1241162.9999999998,1364701.4,1306574.0799999998,1005402.52,1072944.64,1005596.52,1005878.68,1004906.92,996524.32,984635.56,992511.96,965074.64,1167540.08,1014657.2,975604.68,957821.48,877412.76,948989.4000000005,1015015.24,995206.68,1005407.8
19,156999.0,160420.14,183444.6,179901.88,3941942.52,151947.72,162005.6,158265.08,3866797.68,3885727.82,1372075.36,1389956.88,1384630.4,1371278.04,1360915.84,1363984.82,1382475.5,1377382.4,1392424.52,1354857.94,1017242.16,1139671.12,1029838.16,1047109.76,1125891.32,1008886.4400000005,1003600.2400000001,1017795.36,1014068.7599999999,1181425.4,1134914.9999999998,997519.08,981678.48,1004430.14,977002.34,1021647.8,1012506.36,1076540.8
20,174552.0,164898.8,184725.0,191659.8,3957606.4,156307.19999999998,163991.0,158314.8,4076839.2,3940758.7999999993,1393987.6,1411434.2,1404147.6,1392246.0,1390130.2,1385237.0,1397228.0,1401144.0,1410905.4,1384909.0,1125874.4,1167448.6,1144263.6,1142273.2,1156004.8,1100612.8,1123531.2,1023780.6,1023606.7999999998,1194630.8,1158703.0,1063327.4,981897.6,1006999.4,1003719.8,1056932.0,1129147.8,1142895.0
21,177478.0,164196.4,203499.0,213003.8000000002,4045513.28,159769.60000000006,165175.1,157578.64,4359583.24,4160469.74,1413414.4,1435502.08,1427866.2,1410337.92,1412619.96,1406452.34,1424514.0,1430368.4,1427176.28,1409549.26,1158819.4,1190316.72,1178515.56,1166155.04,1196654.44,1143691.94,1140941.3199999998,1116992.74,1145376.46,1209277.84,1185513.5,1146828.48,1007384.92,1009926.46,1007724.54,1163193.88,1157425.26,1163102.4
22,187001.0,167531.44,230915.6,258937.6800000001,4149343.76,174134.60000000015,164987.6,159992.96,4406837.2,4564232.64,1440639.52,1440768.96,1452742.24,1431920.36,1442546.72,1421936.84,1435113.0,1440892.2,1433231.56,1423483.68,1185812.6,1194265.44,1177912.68,1189513.68,1195162.92,1176683.72,1165634.2800000005,1178077.84,1172767.04,1231777.8,1196683.0,1168263.8,1030074.5199999996,1042662.96,1021846.6,1194205.04,1172832.56,1191832.4
23,211882.0,190429.64,260350.2,268639.32,4343438.720000002,185239.32,177223.59999999995,177883.08000000005,4707007.76,4663684.04,1441877.12,1458889.7999999996,1457636.76,1441582.64,1441877.52,1428351.46,1441739.5,1450940.7,1472260.76,1432240.6199999996,1200411.28,1210768.4,1191129.4,1192562.92,1204530.4,1184684.52,1183375.32,1183541.36,1185998.12,1263665.2,1212621.3,1190323.98,1052714.76,1052521.6,1050140.98,1205474.64,1203789.12,1194404.8
24,241032.0,216748.76,282442.59999999986,275390.16,4849924.48,217643.32,209107.00000000003,185835.24,4784797.6,4719561.48,1466589.32,1509824.52,1489808.28,1471577.4800000002,1446665.64,1464143.8,1469685.0,1484123.4,1496744.6399999997,1442341.52,1202912.36,1230170.48,1217910.88,1212006.2,1220652.64,1188420.16,1197048.44,1190945.52,1199646.96,1272569.2000000002,1230238.0,1196116.28,1101822.72,1080115.88,1092784.16,1211939.88,1204898.16,1222915.2
25,278735.0,234601.0,302791.0,281495.0,5003619.0,234623.0,219014.5,207239.0,4971800.0,4907948.0,1519653.0,1539185.0,1526899.0,1473805.0,1471710.0,1509212.5,1480564.0,1528468.5,1564345.5,1514949.5,1206846.0,1282094.0,1252714.0,1235676.0,1257646.0,1226675.5,1205814.0,1209353.0,1213095.0,1320927.0,1266067.5,1212952.5,1184058.0,1199763.5,1142587.5,1231391.0,1216012.5,1239693.0
26,284945.0,244426.68,355184.6,293072.56,5030596.52,253145.68,227024.00000000023,227699.24,5007278.04,5404822.6,1537552.4400000004,1555507.72,1544451.68,1544001.7599999998,1473820.4,1526323.52,1534404.0,1551512.8,1579462.88,1522838.08,1257106.44,1282816.04,1252456.56,1246122.5200000005,1256475.52,1241823.08,1237266.7999999998,1247281.4,1226354.88,1326634.64,1273166.6000000006,1239132.6,1285985.52,1278583.56,1197128.36,1261005.96,1241449.84,1240579.8
27,286414.0,275918.99999999994,365665.8,325983.16,5117991.04,265476.36,262081.0,264233.5599999998,5080510.72,5592646.64,1562978.32,1619529.44,1541689.64,1567438.04,1537145.04,1554200.26,1565337.0,1598906.5999999996,1594723.26,1558721.1800000004,1265228.08,1303981.76,1261914.8,1275379.36,1272827.36,1258192.22,1242870.1200000006,1263696.72,1258288.86,1336911.8,1297476.3,1243728.58,1299316.56,1311367.1999999995,1263309.5600000005,1273697.04,1259476.66,1294080.7999999998
28,290298.0,284961.64000000013,405942.2,373249.8800000003,5198828.48,283645.56,284311.0,282764.2,5130418.120000001,5657940.08,1597517.92,1623698.0399999996,1610302.68,1598074.36,1591885.28,1590482.0399999996,1600736.0,1615898.2,1602054.28,1584730.52,1290686.56,1325981.84,1288745.68,1278212.52,1311275.7200000002,1266777.88,1278451.9600000004,1277083.72,1270079.68,1375490.4,1325819.7999999998,1280030.88,1317600.56,1316174.08,1302193.4,1278891.84,1276345.28,1304672.8000000005
29,299070.0,288439.06,426945.2,412944.72,5225640.08,282671.24000000005,336890.80000000016,335952.14,5199332.84,5766106.58,1628620.76,1638038.12,1636148.76,1615907.4,1617277.7999999996,1603325.04,1608765.0,1630086.2,1629965.36,1607506.16,1314010.92,1348714.0,1309483.16,1302006.2,1316395.44,1299791.96,1299599.48,1292133.52,1305679.66,1377861.08,1353508.1,1299528.4,1328290.88,1322307.72,1322835.36,1317930.7999999998,1334199.16,1334615.9999999998
