,206_1_www.justice.gov,206_2_www.justice.gov,206_3_www.justice.gov,206_4_www.justice.gov,206_5_www.justice.gov,206_6_www.justice.gov,206_7_www.justice.gov,206_9_www.justice.gov,207_1_www.justice.gov,207_2_www.justice.gov,207_3_www.justice.gov,207_4_www.justice.gov,207_5_www.justice.gov,207_6_www.justice.gov,207_7_www.justice.gov,207_8_www.justice.gov,207_9_www.justice.gov,207_10_www.justice.gov,208_1_www.justice.gov,208_2_www.justice.gov,208_3_www.justice.gov,208_4_www.justice.gov,208_5_www.justice.gov,208_6_www.justice.gov,208_7_www.justice.gov,208_8_www.justice.gov,208_9_www.justice.gov,208_10_www.justice.gov,209_1_www.justice.gov,209_2_www.justice.gov,209_3_www.justice.gov,209_4_www.justice.gov,209_5_www.justice.gov,209_6_www.justice.gov,209_7_www.justice.gov,209_8_www.justice.gov,209_9_www.justice.gov,209_10_www.justice.gov
10,51086.8,28224.6,24665.2,40341.8,40772.0,45697.2,60301.8,49392.99999999992,22863.8,25154.2,22701.6,24983.2,22102.4,21708.4,24726.2,22210.2,24747.0,22761.4,59618.4,26205.0,40531.8,36130.6,26917.0,39295.200000000135,56046.0,43157.8,24956.2,58697.8,33820.2,32888.8,40486.99999999998,22858.4,23332.0,22213.2,38992.2,22793.6,23451.4,22535.6
11,60656.16,53962.72,25746.54,66158.08,55113.40000000001,48101.66000000002,80837.92,56124.86,30970.080000000024,24399.76,21871.12,23792.84,34584.71999999998,55726.55999999996,23861.720000000005,45153.0,23131.6,24218.08,64308.03999999991,24936.6,59225.74,34923.52,30876.04,58943.98,60381.00000000003,58747.56,42739.16,56975.74,41551.22,31479.16,64602.58,22455.200000000008,38144.0,43920.19999999998,58690.2,26443.63999999998,27219.95999999997,45244.32
12,84322.4,59788.48,46357.52,70190.88,63268.00000000003,57093.68,80868.76,62181.72,50998.39999999999,23206.08,25412.48,31290.160000000018,65423.4,59404.19999999999,26312.55999999996,55584.4,38637.4,23921.52,69476.35999999999,40373.20000000002,62528.4,33120.88,32786.96,59238.16000000001,92827.6,57801.64,58967.88,61031.68,51140.28000000002,29918.279999999995,68487.84,54611.44,54360.0,60446.8,86574.15999999997,39908.88000000001,54655.28,48982.04
13,88471.48,63726.32,62871.06,75305.48,93402.2,63334.22,101022.44,77207.54,75121.34,31683.71999999998,27764.64000000001,55330.72,73274.48,88685.92000000001,54154.15999999994,64844.2,54678.6,22334.48,92071.84,46147.00000000002,92327.44,46989.12,37299.08,60965.46,96298.1,75452.08,62833.12,66074.08,62998.8,49668.04,71096.72000000004,60410.6,59862.0,86682.24,102059.06,49982.7,77780.64000000001,54563.72
14,91170.84,93927.36,65080.44,76539.36,92530.0,69319.16,100594.72,76741.96,94336.08,54518.76,46130.48,54286.16,97260.36,95977.52,62902.04,83965.96,63542.60000000003,32681.68,98430.08,62421.4,97530.96,67286.64,67365.04000000004,83586.56,104581.6,90060.28,77191.91999999991,66346.84000000003,70836.28,66617.56,95879.48,70447.92,79098.0,93566.56,104205.36,52358.11999999999,83857.12,55466.04
15,95114.1,104630.4,69127.9,78858.6,98280.0,73407.7,98941.6,76740.4,96433.7,62522.2,60309.00000000001,75784.40000000002,100077.6,97912.8,66659.59999999999,90373.2,66480.0,58876.8,100277.8,68669.0,101459.3,71066.4,68679.4,92378.2,108232.5,91212.4,85650.6,72333.9,97152.2,68996.20000000001,97727.3,77072.8,85743.0,92922.5,104144.60000000002,66236.0,85961.6,57579.3
16,109145.36,104307.96,76790.24,101396.0,102959.2,105171.32000000004,108042.0,106453.0,101295.72,66621.28,70638.12,85979.64,102404.84,100237.52,89142.96,94883.92,68379.6,61007.08,100407.52,77861.0,103554.92,98284.64,76658.20000000001,92098.72,111328.80000000002,93478.56,87347.84,79034.52000000003,101939.32,75045.4,99620.64,81183.12,85350.0,94961.92,105786.36,94296.08,89851.12,93553.88
17,108667.04,108616.08,97139.60000000002,102412.72000000002,103589.2,110651.42,108148.24,107350.42,100959.54,70251.35999999999,89694.6,98767.36,103881.32,103503.2,91514.08,94521.04,75040.4,72518.83999999995,107679.28,83379.6,105702.16,105517.04,78620.28,95827.14,109720.00000000004,106310.68,101691.87999999992,95441.42,102956.36,76917.36,103894.50000000006,83430.44,96975.0,100471.16,108556.2,93953.34,89702.76,112168.6
18,108165.16,105657.48,100437.52,100519.59999999996,107658.00000000004,117434.68,115103.36000000002,107344.76,105233.16,70334.36,99731.04,98356.76,102215.59999999996,104282.84,94993.52,97591.51999999996,74983.2,81147.84,109731.84,89462.59999999998,110331.39999999998,109273.88000000002,93706.39999999994,99973.56,140917.20000000007,108023.88,107718.88,93153.68,104672.36,108356.04,140449.16,99685.55999999984,97071.0,107011.64,113448.52,93471.44,122382.72,128970.32
19,115238.36,111977.32,99298.44,119349.91999999977,108276.6,117931.5,113427.0,110075.58,108329.78,72832.88,98763.72,98067.0,103030.04,103834.39999999998,99166.16,113625.12,92640.60000000014,84804.87999999999,110265.72,96054.8,146889.66,109857.84,108328.08,105258.44,158735.00000000006,107319.4,108239.6,93011.58,104603.4,113420.40000000002,145113.22,104159.60000000002,102840.0,105421.7,145497.46,99365.86,139263.32,127534.06
