,314_1_www.chefkoch.de,314_2_www.chefkoch.de,314_3_www.chefkoch.de,314_5_www.chefkoch.de,314_6_www.chefkoch.de,314_7_www.chefkoch.de,314_8_www.chefkoch.de,314_9_www.chefkoch.de,314_10_www.chefkoch.de,315_1_www.chefkoch.de,315_2_www.chefkoch.de,315_3_www.chefkoch.de,315_5_www.chefkoch.de,315_6_www.chefkoch.de,315_7_www.chefkoch.de,315_8_www.chefkoch.de,315_9_www.chefkoch.de,315_10_www.chefkoch.de,316_1_www.chefkoch.de,316_2_www.chefkoch.de,316_3_www.chefkoch.de,316_4_www.chefkoch.de,316_5_www.chefkoch.de,316_6_www.chefkoch.de,316_7_www.chefkoch.de,316_8_www.chefkoch.de,316_9_www.chefkoch.de,316_10_www.chefkoch.de,317_1_www.chefkoch.de,317_2_www.chefkoch.de,317_3_www.chefkoch.de,317_4_www.chefkoch.de,317_5_www.chefkoch.de,317_6_www.chefkoch.de,317_7_www.chefkoch.de,317_8_www.chefkoch.de,317_9_www.chefkoch.de,317_10_www.chefkoch.de
20,2401309.0,2290504.8000000003,2257364.8000000003,2318529.4,2246349.2,2288487.6,2284106.0,2250428.4,2278264.2,2319467.2,2139032.0,2441886.4,2256427.2,2115487.8,2315159.0,2234936.4,2136978.0,2331448.2,1624693.4,1711274.8,1615895.6,1413105.0,1493368.7999999996,1413641.0,1333665.0,1290200.0,1260149.2000000002,1264534.0,2218616.0,2182991.0,1588070.6,1952229.0,1959101.6,2322481.0,2321908.4000000004,2428629.0,2272187.4000000004,2131753.6
21,2483794.0,2320298.8,2280291.32,2364963.22,2270800.96,2490272.92,2338926.64,2288975.42,2278202.08,2336439.56,2165328.5,2540800.8800000004,2292346.84,2162159.08,2324698.6,2309432.12,2154443.8,2344399.72,1750776.28,1754024.6,1758765.28,1466246.0,1552736.7,1468989.5,1443938.52,1303925.6,1276040.72,1296501.6000000006,2306636.62,2313076.2,1639885.72,1995362.84,1981580.92,2420463.0,2397730.9599999995,2556417.8,2281384.78,2292425.8200000003
22,2558313.3200000003,2390890.16,2296256.96,2381897.24,2333939.24,2599481.4000000004,2447258.64,2329073.04,2324828.64,2534506.08,2261136.0,2562478.68,2303754.28,2222330.76,2340983.8000000003,2319780.08,2168063.8,2392175.68,1789664.32,1800852.92,1808890.04,1481233.0,1623148.76,1533452.0,1515884.2399999998,1324394.4,1283944.4,1403042.08,2310850.12,2346243.6,1650216.16,2058605.199999999,2016880.2800000003,2431563.6,2426688.6,2587811.8000000003,2311342.6,2298459.32
23,2559294.48,2520827.76,2364369.36,2402425.12,2360054.76,2684203.68,2540657.6,2413786.199999997,2357756.04,2544838.68,2282694.0,2603019.640000001,2382131.72,2247893.84,2431367.0,2353327.84,2205674.1,2434913.2800000003,1817064.48,1807092.72,1881296.44,1528417.0,1751764.52,1548568.0,1532775.5200000003,1468946.9,1411540.56,1431400.56,2353632.02,2409739.4,1676223.06,2080443.42,2026992.76,2470619.6,2441837.36,2598860.7,2352488.16,2345318.96
24,2600607.72,2565706.12,2410283.28,2443855.64,2420994.16,2776436.84,2561717.32,2533277.16,2467543.8,2593812.88,2335940.0,2723381.92,2451230.44,2259001.64,2510252.4,2369533.92,2288720.2,2532728.72,1840330.96,1824665.04,1893781.48,1598062.0,1798794.6,1620114.0,1568013.679999999,1509794.2,1429611.2400000002,1446919.48,2420550.6,2426798.8,1939828.68,2193126.4,2060225.88,2482102.2,2452612.64,2636390.2,2372527.76,2416441.92
25,2632403.0,2582487.0,2419859.0,2563002.5,2523089.0,2791199.0,2626944.0,2569447.0,2544651.0,2603618.0,2374247.5,2783168.5,2473879.5,2273714.0,2590478.0,2374153.0,2296350.0,2545108.0,1872926.0,1893389.0,1933866.0,1727842.0,1806580.5,1732863.0,1740984.0,1530732.5,1470303.0,1483288.0,2439373.0,2440815.0,2095437.9999999998,2224373.0,2080970.0,2498933.0,2465305.0,2648522.5,2450771.0,2487391.5
26,2652006.96,2641653.600000002,2485382.400000001,2605723.16,2611523.92,2820979.36,2653622.56,2595092.52,2589897.6,2631327.2,2410423.0,2819984.52,2559757.76,2335068.16,2616705.6,2452448.24,2342671.0,2605076.16,1997968.560000001,2098520.92,1985370.88,1742626.0,1851400.88,1767075.0,1768897.92,1563613.0,1484422.52,1532095.52,2460390.08,2466568.6,2143918.4399999995,2291621.04,2098398.72,2524596.4,2555522.88,2931111.6,2469958.24,2555545.92
27,2750766.64,2686586.72,2520712.8800000013,2633481.34,2621975.16,2859968.88,2674867.84,2744123.74,2725544.4,2651322.0,2537924.5,2861516.56,2587523.58,2398620.52,2635549.8000000003,2461753.36,2408454.1,2629729.8,2154874.32,2147435.04,2065874.56,1789169.0,1869677.04,1801277.0,1781401.24,1627082.5,1504239.96,1600983.44,2467451.74,2479309.4,2174075.04,2330605.22,2180211.44,2642151.1999999993,2577114.76,2951555.2,2595210.64,2575946.46
28,2841926.68,2746051.08,2557476.56,2661602.2,2695052.32,2919914.12,2729051.4,2780692.4,2775120.9200000013,2713019.28,2555191.0,2872605.32,2614582.56,2465305.52,2666338.2,2499827.3200000003,2489588.8,2657162.92,2220111.4800000004,2168173.32,2325290.8,1825692.0,1987364.24,1827183.0,1800992.12,1630173.4,1595685.9200000025,1605978.24,2508765.2800000003,2514326.0,2180467.32,2379257.8799999985,2206120.84,2864927.8000000007,2619176.48,2985962.2,2650612.200000001,2602433.84
29,2934954.96,2844418.08,2634150.68,2687217.4000000004,2789753.16,3102812.360000001,2769754.76,2801758.88,2821288.52,2847157.76,2581722.0,2974763.78,2700261.08,2479683.96,2691096.8000000007,2565373.24,2555992.9000000004,2730317.52,2250470.08,2209313.16,2368652.12,1897381.0,2055851.78,1826907.5,1895957.52,1825768.0,1650675.68,1746104.12,2532391.68,2553776.400000002,2238638.62,2424184.02,2239755.04,2945444.6,2676465.52,3076710.200000001,2678066.68,2767308.4799999986
