,133_1_www.android.com,133_2_www.android.com,133_3_www.android.com,133_4_www.android.com,133_5_www.android.com,133_6_www.android.com,133_7_www.android.com,133_10_www.android.com,134_1_www.android.com,134_2_www.android.com,134_3_www.android.com,134_4_www.android.com,134_5_www.android.com,134_6_www.android.com,134_7_www.android.com,134_8_www.android.com,134_9_www.android.com,134_10_www.android.com,135_1_www.android.com,135_2_www.android.com,135_3_www.android.com,135_4_www.android.com,135_5_www.android.com,135_6_www.android.com,135_7_www.android.com,135_8_www.android.com,135_9_www.android.com,135_10_www.android.com,136_1_www.android.com,136_2_www.android.com,136_3_www.android.com,136_4_www.android.com,136_5_www.android.com,136_6_www.android.com,136_7_www.android.com,136_8_www.android.com,136_9_www.android.com,136_10_www.android.com
13,113889.6,109541.7,65766.72,74917.24,67150.16,73155.92,71129.28000000003,86459.79999999999,37648.44,50812.2,43566.94,28569.44,43597.44,43911.48,33742.39999999995,18832.199999999983,20461.000000000004,43313.16,43340.2,43040.86,46176.31999999996,47539.06,44323.78,47085.46,45986.76,46475.68,45566.56,45900.02,39736.4,40668.0,41698.7,37345.8,41202.56,49519.599999999984,45478.08,27742.4,40034.64,40205.44
14,122715.6,122013.12,67291.64,80362.44,94550.68,78183.19999999997,71045.84,108762.96,43824.96,52142.0,42978.32,43386.12,42566.44,43353.16,50793.6,20768.92,21306.92,42575.72,42074.0,42811.36,74992.12,73563.28000000003,77942.68000000001,66212.52,49146.32,48380.64000000002,47327.04,47496.44,38833.8,39834.0,41066.8,39264.8,40268.32,48998.48,44948.32,26711.8,41443.44,38802.68
15,127319.0,120704.1,86528.59999999999,108839.2,100682.2,85695.79999999994,93251.9,134000.2,43175.8,51229.0,44357.1,43036.2,41744.6,42413.2,49874.0,21992.1,21502.8,44318.0,44790.0,50487.19999999998,76277.3,81128.1,82341.7,70772.3,51470.2,50513.6,66200.59999999999,70572.7,38042.0,38522.0,40143.0,38868.0,38645.6,47810.4,45402.8,30111.0,40695.6,37862.2
16,130838.2,125495.76,111452.64,138681.76,104321.12,118483.04,90180.16,137975.08,45223.48,50325.8,44260.24,42421.64,40959.36,44247.76,51694.6,24659.76,51609.16,44038.32,48081.2,50673.52,112350.52,116437.68,98558.96,70836.72,73366.67999999995,49759.36,71435.44,78766.47999999997,39713.8,37613.0,38777.2,37575.8,37925.08,53497.88,69257.16,34939.20000000004,40270.64,39781.960000000014
17,138246.60000000006,126161.62,109403.78,159876.16,111577.16,124676.04,100389.4,145995.96,44827.32,51595.8,43329.78,44220.04,42623.7,43874.6,50526.8,26442.86,51024.88,42824.84,50515.599999999984,53175.58,114988.02,117604.16000000002,118556.06,85272.06,85097.24,51245.72000000008,71065.12,86234.46,40595.400000000016,37206.0,37845.60000000001,39226.4,39515.96,53054.56,70641.44,43249.4,39318.68,40221.88
18,156451.2,127599.19999999994,122587.47999999994,177395.15999999997,145636.6,126440.48,108397.88,177040.44,43779.96,80136.8,49551.07999999999,43678.28,59346.520000000055,43619.12,57599.39999999997,43843.960000000014,52581.12,46083.31999999999,89058.99999999999,62321.32,118895.24,121305.16,119244.6,83387.24,88805.35999999999,75714.48,76656.92,104135.36,43519.60000000003,38838.0,39434.4,41506.60000000001,43837.88,51999.08,74418.64,45280.2,57340.48,42031.84
19,155300.4,136298.88,158780.19999999998,177627.44,150464.08000000002,154691.2,109556.93999999996,173384.08,43100.24,91142.60000000002,49705.02,45052.76,74828.31999999999,51946.16,58664.6,44127.66,52534.2,49197.64,90964.3,64078.22,123296.1,138808.26,128685.2399999999,104034.4,90945.88,95631.96000000002,91051.76000000011,104014.88,63331.8,40931.0,41501.7,43818.2,45911.8,52241.04000000001,89351.28,45248.4,61378.83999999999,72186.56
20,174919.0,137350.80000000002,169536.2,191206.2,148159.40000000002,156510.8,131870.59999999998,185830.6,60321.60000000003,92773.0,66482.20000000001,51986.20000000012,76937.6,51725.8,58383.0,46387.6,51295.6,49095.2,107554.0,66041.59999999999,141421.6,140779.6,140531.6,112725.4,123858.4,113743.2,112587.8,107936.4,65409.0,60569.0,45896.0,45341.0,50321.2,57100.6,110563.0,49562.0,64796.8,77147.20000000001
21,186569.8,141669.92,198069.8,209232.16,150349.48,172802.99999999994,181409.28000000003,197191.14000000004,61045.52,93588.0,70776.94,73697.12,80830.02,51690.44,82112.8,48033.18,50441.48,48789.08,119741.9999999999,67769.3,142175.44,143714.58,144246.62,119827.54,125577.4,124086.0,144731.79999999993,137745.30000000002,67976.2,62175.0,47965.3,47451.8,52009.44,71107.11999999997,133207.00000000006,49518.0,65164.16,83455.48
22,191829.2,165435.91999999998,208250.32,211996.88,149318.36,184688.72,229237.75999999983,207617.04,65246.16,122341.8,85744.48000000004,75893.76,82907.64,68041.68,93231.5999999999,50147.76,71611.67999999996,63510.28,141447.6,67356.36,142062.84,148532.16,145991.24,130721.96,146249.32,143625.40000000002,149740.64,140198.44,68665.40000000001,66475.0,52427.2,64099.4,59894.52,72481.84000000003,140131.96,48766.8,67102.48,103983.2
23,191257.2,181013.86,210370.18,213985.12,174783.19999999998,195355.52,279341.64,207897.76,65139.76,132500.8000000001,105610.84000000004,77666.92,84983.26,76668.04,102511.6,52244.34,72597.48,74347.04,144969.30000000002,73783.43999999996,142710.98,150503.8,146807.74,172754.60000000015,155368.52000000002,153697.08,151514.12,145193.2,71096.00000000001,66383.0,52120.5,65291.6,69394.48000000003,76305.16,140493.59999999998,71031.2,69192.32,104444.68
24,192212.2,211301.72,209303.16,213688.36,190144.6,204759.84,305615.6000000002,235767.36,67269.96,143818.80000000005,114481.24,88841.03999999998,114099.56,77286.75999999997,136831.2,51899.08,74602.64,76183.96,147006.99999999994,103895.67999999998,166105.15999999995,152442.96,195647.63999999975,194328.96,158917.92,153870.04,164089.44,145917.08,102613.20000000011,68769.0,69195.59999999999,92934.8,75751.44,79766.59999999996,140627.08,73018.00000000003,102157.27999999998,105079.84
25,232274.0,219173.0,208733.5,213502.0,208711.0,220685.0,368917.0,235034.5,83734.0,150252.0,115723.5,115041.0,134375.5,78564.0,138126.0,52247.99999999997,76685.0,110720.99999999993,152759.0,116240.5,177563.0,156829.0,237060.5,198426.0,160999.0,154970.0,163686.0,153579.0,126784.0,67964.0,69379.5,98807.0,78919.0,101566.0,147578.0,94852.0,117995.0,122762.0
26,252492.40000000052,219534.84,262006.48,221612.4,222921.2,223162.48,404106.6,267679.96,104581.64,152155.2,120202.67999999993,117523.28,136059.28,112360.04,148626.99999999994,54284.39999999997,80810.12,117764.24,157212.19999999998,127728.60000000002,190108.0,173955.8,245767.88,197967.68,162796.92,156544.44,183524.96,160528.52,131233.19999999998,67159.0,82611.2,129934.80000000008,78027.76,100265.12,181656.76,102864.20000000006,122404.36,134000.56
27,298698.4,221452.44,295222.82,231754.19999999995,241861.79999999987,224741.52,446507.02,303050.1000000001,116053.96,157761.6,137007.26,118550.2,137158.94,135936.8,148682.6,57808.32,84417.56000000004,116120.08,161349.4,134731.25999999995,195789.84,177971.16,252780.16,199788.2,180404.04,167530.2,198172.52,177591.84,129690.4,86831.0,84211.7,145646.40000000002,111033.72,117865.8,188982.36,117769.4,121016.12,133008.52
28,328923.4,224949.84,346150.44,252942.39999999976,285501.5199999995,247178.44,506777.3600000002,358399.9600000005,115284.24,159938.6,136641.00000000006,121464.36,151457.16000000006,137018.72,149700.6,58301.96000000001,112688.32,137056.39999999994,163615.6,175324.23999999987,194687.24,189604.44,253341.64,202849.32,199007.36,195040.92000000004,201057.56,178543.24,138889.0,126572.0,85520.8,151344.6,120333.60000000006,130610.64,205775.08,126924.8,133474.32,140027.60000000006
29,372301.8000000001,225046.98,366589.0,297140.16,346639.47999999963,294287.8000000002,535468.5599999999,383143.9600000001,130839.72,173440.80000000005,140293.74,135893.32,168728.34000000005,140345.52,155848.6,59949.299999999974,138717.27999999994,143285.52,163685.80000000002,213827.28,196547.48,241843.08,256505.58,217486.7,218574.8,237693.44,210733.96,196425.6,150126.0,133947.0,101403.4,151127.19999999998,125048.88000000006,137302.48000000007,226117.6,126619.2,135097.56,145034.64
30,428194.0,251748.4,425413.5999999999,370677.6,407575.3999999998,342101.8,590260.2000000001,431984.20000000007,131984.2,183822.0,143904.2,136000.8,191128.4,144860.99999999994,155185.0,63784.60000000001,140554.6,142533.6,198554.0,219647.4,207898.8,272115.2,281701.0,245794.4,231675.6,245363.8,239473.8,202867.8,154160.0,146424.0,106179.0,150266.0,144822.19999999998,144611.0,247561.79999999996,139698.0,141577.6,148694.00000000006
31,488296.20000000007,294856.76,486688.8,429074.51999999967,483831.4399999996,406950.68,634159.9799999996,477419.46,137892.24,190368.8,148376.2,135257.88,190189.98,150704.0,167379.39999999985,62968.82000000002,142100.16,149706.12,218325.8,223802.88,225996.82,299957.54000000004,315930.78,272496.84,245641.52,253292.24,267071.0799999999,227149.06,155191.2,148912.0,118568.4,154764.2,150295.44,160625.28,275285.08,149378.40000000002,147375.0,154871.44
