,90_1_www.theguardian.com,90_2_www.theguardian.com,90_3_www.theguardian.com,90_4_www.theguardian.com,90_5_www.theguardian.com,90_6_www.theguardian.com,90_7_www.theguardian.com,90_8_www.theguardian.com,90_9_www.theguardian.com,90_10_www.theguardian.com,91_1_www.theguardian.com,91_2_www.theguardian.com,91_3_www.theguardian.com,91_4_www.theguardian.com,91_5_www.theguardian.com,91_6_www.theguardian.com,91_7_www.theguardian.com,91_8_www.theguardian.com,91_9_www.theguardian.com,91_10_www.theguardian.com,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com,93_1_www.theguardian.com,93_3_www.theguardian.com,93_4_www.theguardian.com,93_5_www.theguardian.com,93_6_www.theguardian.com,93_7_www.theguardian.com,93_9_www.theguardian.com,93_10_www.theguardian.com
10,1161456.8,1143316.8,1173930.0000000002,1113970.0000000005,1011335.5999999995,1252358.4,163224.0,1134925.4,1162645.0,160889.0,1082287.4,1040340.4,1030591.0,1069543.0,1036087.6,1344785.4,1352153.4,1048823.0,1027712.8,1095069.2,5044.0,6558.2,4963.999999999997,7074.6,6851.000000000003,19581.6,6402.799999999998,4505.0,8633.6,4452.200000000002,28532.4,28787.8,12483.0,12258.0,13879.599999999995,13420.200000000004,13850.6,13352.0
11,1223472.4,1221456.78,1242846.52,1238440.52,1214525.06,1286607.74,178457.3,1185292.08,1233568.5,167489.9,1160579.36,1103484.34,1110821.04,1138091.6,1153977.56,1443468.44,1427918.96,1182024.94,1122040.36,1173027.36,5259.6,6686.74,6002.319999999999,6581.04,10999.560000000005,20568.18,5956.619999999999,4720.5,8218.44,6823.959999999999,27160.68,27509.16,12138.159999999998,15171.399999999987,20462.599999999995,29038.92,20087.39999999999,14827.000000000005
12,1277071.56,1269653.36,1254518.4,1257405.32,1267946.72,1312613.48,270713.20000000077,1231749.72,1274562.0,178144.0,1209810.44,1234462.28,1263739.72,1261924.08,1235987.64,1525115.44,1467764.96,1283571.799999999,1155197.64,1330102.96,5461.8,9225.96,6556.3200000000015,6099.28,10519.520000000008,22631.72,6210.92,3688.0,12705.96,7135.84,25999.56,26267.96,26938.32,20769.800000000007,28581.120000000006,27970.48,29012.8,27938.8
13,1305350.28,1303157.32,1275186.6,1300684.12,1311784.6000000008,1339541.56,323040.8,1258924.68,1323122.5,316723.9,1332819.64,1352361.66,1347323.12,1309364.46,1355318.12,1591476.64,1494428.08,1352040.98,1290249.16,1351219.88,5349.999999999994,10829.1,8111.400000000002,6183.120000000001,11821.28,24577.020000000004,10824.36,8337.0,14052.2,6256.360000000002,30338.82,27610.72,25836.36,29107.14,27207.38,26865.64,27972.02,26729.7
14,1362542.64,1319964.08,1311904.8,1322347.24,1318583.92,1396793.88,452262.4000000001,1278488.76,1328294.0,375311.0,1350478.68,1371473.88,1361290.4,1324765.84,1366182.96,1605207.72,1561109.04,1370186.44,1303763.08,1426133.2800000012,8400.199999999999,9847.64,8850.28,7347.199999999998,11535.160000000002,25372.72,12649.8,10209.0,13682.4,5682.88,29336.68,29399.12,24732.56,27778.44,26466.48,28888.92,27023.44,25931.4
15,1402874.2,1388276.9999999995,1368779.8,1401872.2,1364568.9,1456590.5,515217.5,1314417.4,1373608.0,415782.0,1426537.4,1447345.8,1437864.7,1332283.3,1431461.6,1676741.2,1603877.8,1436062.8,1323317.4,1429479.4,7145.0,10752.00000000001,9918.0,11036.4,12341.2,27117.9,13229.6,9510.0,20486.0,6218.6,28205.2,28187.6,24069.2,26785.4,25172.3,30158.8,26003.1,27647.5
16,1421385.36,1420985.96,1375597.24,1417640.52,1472710.76,1479683.96,513786.4,1384537.2,1421512.0,458438.8,1465027.84,1451985.32,1492282.84,1378037.48,1502597.84,1752539.52,1745690.24,1448471.08,1430819.04,1468352.96,8280.999999999996,14089.400000000005,10354.16,12685.4,12569.8,28809.28,13572.160000000002,9213.0,20094.32,10836.96,29641.52,27083.96,22503.64,30704.52,24281.12,31773.44,24615.640000000007,29078.4
17,1435511.36,1489801.16,1437466.08,1490183.84,1479141.48,1606004.02,616967.4,1408426.28,1494900.0,458741.6,1509230.76,1496978.98,1529811.0800000003,1447600.06,1578793.82,1844769.92,1845262.08,1463921.68,1461092.84,1517140.14,10368.6,19134.8,10631.48,13309.56,19518.22,38277.1,20317.18,8567.0,18938.84,12883.480000000005,31236.78,30103.24,21590.68,29978.46,25556.94,31303.76,23641.320000000003,30720.4
18,1571447.36,1498743.24,1526226.88,1497949.76,1544036.48,1615182.04,762699.0,1421112.6,1502765.0,457209.6,1528060.76,1548621.6,1539305.48,1557064.2799999982,1612773.32,1890127.44,1883728.76,1522123.24,1510016.24,1550894.36,10547.4,20219.72,10512.24,13743.48,20157.32,38475.319999999985,19218.28,10983.0,22030.31999999999,14157.72,32078.079999999984,32994.56,23262.72,29124.28,27209.24,32926.76,25151.359999999986,30030.4
19,1583759.88,1542562.42,1581066.76,1529793.96,1676267.9600000004,1685903.02,816073.1,1487491.16,1575110.0,517055.4,1540631.68,1587471.42,1557481.16,1615490.66,1621134.66,1901954.12,1909727.76,1557822.12,1547080.12,1613545.74,15886.999999999987,19103.26,12501.199999999986,13838.36,18810.58,52289.95999999995,18969.880000000016,11246.0,23164.72,13937.8,34509.66,34884.48,23117.320000000003,30813.879999999986,28912.18,32210.96,27301.879999999986,29023.1
