,282_1_www.ing-diba.de,282_2_www.ing-diba.de,282_3_www.ing-diba.de,282_4_www.ing-diba.de,282_5_www.ing-diba.de,282_6_www.ing-diba.de,282_7_www.ing-diba.de,282_8_www.ing-diba.de,282_9_www.ing-diba.de,282_10_www.ing-diba.de,283_1_www.ing-diba.de,283_2_www.ing-diba.de,283_3_www.ing-diba.de,283_4_www.ing-diba.de,283_5_www.ing-diba.de,283_6_www.ing-diba.de,283_7_www.ing-diba.de,283_8_www.ing-diba.de,283_9_www.ing-diba.de,283_10_www.ing-diba.de,284_2_www.ing-diba.de,284_3_www.ing-diba.de,284_4_www.ing-diba.de,284_5_www.ing-diba.de,284_6_www.ing-diba.de,284_7_www.ing-diba.de,284_8_www.ing-diba.de,284_9_www.ing-diba.de,284_10_www.ing-diba.de,285_1_www.ing-diba.de,285_3_www.ing-diba.de,285_4_www.ing-diba.de,285_5_www.ing-diba.de,285_6_www.ing-diba.de,285_7_www.ing-diba.de,285_8_www.ing-diba.de,285_9_www.ing-diba.de,285_10_www.ing-diba.de
39,654801.24,766337.58,759549.96,765761.0,752811.06,795801.16,654919.76,682911.4,656045.68,806224.14,997308.76,785473.5,870282.3999999998,1005520.64,991507.6,849056.9999999999,973894.52,854509.4999999999,998881.4,985636.12,694312.0,448292.56,789643.68,563951.2400000001,686846.4,562361.1,704513.24,824512.24,649068.76,830082.6,887481.6799999997,741665.6599999998,722417.6799999998,742750.4999999999,749740.4,840224.3200000002,734167.12,898439.0
40,685151.0000000001,774526.4,761769.2,766997.0,763155.4,797322.6,714621.9999999999,712660.8,729250.8,806508.9999999999,998508.2,819470.0,889138.0,1023283.8,998877.0,867157.0,976802.6,903263.0,999704.0,992083.4,741911.0,452323.2,791475.4,582487.2000000001,741759.0,565068.6000000001,738313.2,823783.2,676013.3999999999,868138.6,941433.1999999995,790148.7999999996,764396.9999999995,784506.8,806649.8000000002,893145.4000000003,787302.4,924352.0
41,739905.08,787727.78,762900.4,763201.0,763622.02,799417.2000000002,760012.46,714675.88,750030.56,814388.52,1014970.96,835047.5,906337.0,1032578.3,1009768.6,920853.5,982198.08,923113.0,1017344.8,993276.88,765171.0,462417.56,794318.96,609592.8000000003,782446.8,567055.92,772445.1599999998,825595.04,735131.12,889047.52,976815.82,797375.26,803765.0799999995,802181.34,865954.28,930192.16,822059.4,971461.7999999996
42,759097.48,791586.16,766671.44,775063.0,774254.6000000002,810881.44,761783.76,734904.2000000002,751269.28,823051.32,1028256.8799999999,884205.0,967082.48,1036859.96,1029241.96,929624.8,996497.84,955189.0,1026841.6,992657.8,781354.0,481379.5999999999,827253.8,669232.76,783810.0,586471.16,782045.12,839168.12,789533.76,925882.12,1040488.52,832962.9199999998,828086.16,840423.28,892080.64,972804.24,827141.72,1031535.6
43,762304.76,790274.96,769037.76,788766.0,777780.56,812131.04,763895.96,760287.56,754689.32,824303.74,1032908.96,915529.5,980986.62,1041139.5,1031123.56,990704.7,1000083.8,992224.9,1031767.2,1010919.2,783550.0,503359.4,834259.52,701045.16,784819.0,634352.4,783346.22,839716.48,790901.6,964198.6,1090085.1599999992,881320.3999999998,869079.9199999996,891477.76,923893.4800000002,1029827.24,873377.1799999998,1070101.8
44,762898.44,797598.64,774176.64,801743.0,785141.7999999998,816033.8,763260.0800000002,761868.72,756959.8400000002,823892.88,1035195.36,941439.0,994318.4,1051495.64,1038748.56,991891.8,999619.16,998626.8,1044044.0,1020430.88,788614.0,532487.88,845661.2,742733.68,807344.0000000001,677506.5200000001,800248.1200000001,841127.2,790334.84,1027529.0,1169143.8,935969.24,926008.5999999995,949859.5599999998,946582.76,1049889.4,916338.4799999995,1159785.4
45,761356.4,805689.3999999998,783687.3999999998,802854.0,787976.6,815537.0000000001,762982.9,766116.0,759804.6,826940.8,1034423.6,949208.5,999018.9,1069609.2,1039519.6,999001.5,1016914.8,1000452.0,1042670.0,1036055.0,791888.0,559080.0,845063.8,761883.2,825437.5,720315.2000000002,825227.5,841499.2,799038.8,1044865.6,1179802.1,986010.4,985047.8,990197.4,995979.6000000002,1103366.4,946181.7000000002,1171285.0
46,762840.56,810812.28,788100.36,804004.0,788586.28,824312.48,763629.52,765432.32,757740.4,830605.72,1040746.36,957780.0,1000441.28,1070584.76,1040979.44,1000570.6,1027017.28,1000302.8,1039209.4,1037467.56,826201.0,579284.4,858361.2,778010.7200000002,825260.0,757139.72,825085.12,858038.96,810215.5999999999,1075193.16,1179375.6,1020253.64,1041031.72,1013115.72,1009851.2,1170792.1200000006,1002269.6,1176073.0
47,764318.92,812405.38,788688.04,805388.0,792988.3,824609.04,765817.2,766998.76,760298.4,845234.02,1044285.8799999992,999410.0,1001501.34,1074257.52,1051903.72,1014103.1999999998,1028082.74,1019297.2,1043797.8,1041222.5200000005,829140.0,617733.52,860501.84,782796.24,827729.8,781716.26,826614.12,859338.4,834572.28,1139708.74,1199176.64,1042767.48,1070916.7999999996,1036034.04,1039218.48,1179257.32,1032847.52,1197126.0
48,768307.12,815949.6,791846.84,808904.0,792675.28,830562.16,775467.4400000002,772494.68,761862.68,847594.68,1069306.96,1002545.0,1018844.96,1074778.68,1069114.76,1025429.2,1029255.92,1029378.7999999998,1061145.8,1051306.24,839915.0,655303.4,869269.2000000002,783528.16,849784.2,783314.6,828714.6799999998,860484.8000000002,835577.4,1169737.24,1204913.48,1090399.6399999994,1144157.88,1049723.8,1068337.72,1183914.84,1065789.96,1204274.2
49,774255.2,815577.42,793376.92,810664.0,796244.24,843096.96,783100.9000000001,778941.88,762606.8,851852.34,1069101.52,1011096.5,1018320.76,1074563.16,1069087.88,1030522.7,1031496.0000000005,1031997.1,1063097.0,1051213.12,844588.0,679368.4799999996,870334.24,786653.96,858726.8,783020.46,837566.94,865663.2,842507.32,1170632.66,1219872.6,1149571.0,1178128.72,1108757.7599999998,1116063.7600000002,1210595.2,1105321.5600000005,1207018.0
