,86_1_myspace.com,86_2_myspace.com,86_3_myspace.com,86_4_myspace.com,86_5_myspace.com,86_6_myspace.com,86_7_myspace.com,86_8_myspace.com,86_9_myspace.com,86_10_myspace.com,87_1_myspace.com,87_2_myspace.com,87_3_myspace.com,87_4_myspace.com,87_5_myspace.com,87_6_myspace.com,87_7_myspace.com,87_8_myspace.com,87_9_myspace.com,87_10_myspace.com,88_1_myspace.com,88_2_myspace.com,88_3_myspace.com,88_4_myspace.com,88_5_myspace.com,88_6_myspace.com,88_7_myspace.com,88_8_myspace.com,88_9_myspace.com,88_10_myspace.com,89_1_myspace.com,89_4_myspace.com,89_5_myspace.com,89_6_myspace.com,89_7_myspace.com,89_8_myspace.com,89_9_myspace.com,89_10_myspace.com
11,4685341.96,4794181.479999999,4766803.0,4873266.28,1566333.4,4466560.48,4879045.12,4969786.04,3747150.2399999993,2646278.1999999993,1744956.9600000014,1338023.0399999986,1280861.96,1575996.48,1266732.02,1585413.82,1484113.9999999998,1267313.08,1560614.7200000002,1607291.12,1523936.12,1269013.2000000002,1412169.48,1662442.28,1522152.2000000004,1339576.84,1584057.18,1269541.24,1504285.3599999992,1269240.3199999998,280369.36000000004,21360.4,42165.960000000014,693137.4400000001,4300036.24,177030.20000000004,92979.16,519697.78
12,4950776.64,4957941.760000002,4897646.0,4907362.44,1822111.92,4780458.319999998,4950307.44,5062352.36,4450547.32,3360587.2,1872922.8,1628665.36,1609827.2,1593104.52,1367058.2,1625727.36,1599281.8,1279607.04,1591886.76,1650560.36,1584152.76,1586575.76,1629129.72,1877036.52,1596914.72,1620198.44,1597631.88,1465757.5599999996,1592877.88,1579066.92,395225.71999999974,20873.199999999993,44758.32,704053.4400000002,4942751.44,523902.16,196732.87999999983,530291.24
13,5050206.08,4985715.52,5025038.0,5062255.8,2024800.2,4931834.56,5064500.2,5271902.58,4494866.48,3988168.7999999993,1927610.04,1658910.36,1652977.6,1627769.48,1608281.7,1737079.58,1615302.8,1608511.48,1611868.52,1892774.52,1600412.64,1595373.26,1666067.6,1939563.06,1614109.08,1655201.76,1649073.92,1620722.28,1608834.28,1619868.56,435518.6,20962.6,45748.22000000004,706948.68,5543114.56,618868.9199999999,433794.1599999995,661172.76
14,5179921.32,5263241.44,5163653.0,5277516.92,2085920.84,5061449.4,5356345.24,5374855.24,4726189.2,4479144.3999999985,1943375.28,1815227.04,1755458.0399999996,1660743.04,1656545.12,1967816.8800000004,1754427.2,1662368.16,1734084.72,1972034.44,1646598.88,1613025.96,1794644.76,1954874.08,1659737.36,1922824.8,1658205.24,1659061.84,1738477.48,1647621.24,519875.16,19743.4,45938.76,718002.64,6096703.68,630564.0,486316.36,706771.96
15,5360492.199999998,5436584.6,5337221.0,5341844.2,2307338.4,5343064.2,5396897.2,5427636.2,4950273.0,4775444.0,1971727.0,2032030.6,1879315.4,1763926.4,1772473.9,1988479.2,1969016.0,1788397.6,1959237.6,2043022.2,1879402.6,1666439.1,2046608.8,1974421.3,1715637.6,1991543.6,1691431.9,1798347.0,1962659.4,1659048.3999999997,518107.3,21733.0,49701.8,937978.6,6562504.799999999,637856.4,544253.8,736005.7
16,5507144.32,5459069.48,5353461.0,5486146.6,2655175.0,5363267.0,5537046.76,5639928.56,4991263.96,4975164.0,2195699.2,2062259.52,2026273.08,1796919.76,1992270.28,2042978.68,1979593.8,1828473.08,2018098.72,2061487.68,1963706.48,1724675.4,2062025.72,2100471.04,1958253.12,2053659.2,1743712.84,1911624.1599999985,1977934.0,1695363.24,518869.52,24456.40000000001,51014.44,1068808.32,7022546.04,687584.16,545626.84,739142.6
17,5535840.04,5502804.78,5437870.0,5563455.2,3051864.680000002,5406190.76,5748536.319999998,5777769.68,5040510.84,5116518.999999998,2257324.82,2088222.84,2087932.56,1849064.32,2051574.82,2065364.2,2047887.6,2055830.84,2047676.64,2115481.68,2014984.88,1814999.42,2086463.58,2203343.18,2022091.12,2078880.08,1865025.72,2066551.76,2043423.76,1927696.3200000003,519899.02,27071.800000000025,53788.94,1096812.28,7056352.12,755711.92,546759.92,846900.8400000002
18,5667151.6000000015,5632130.84,5561729.0,5673091.96,3507124.400000001,5653703.12,5799696.92,5809801.4,5324640.4,5200826.2,2387822.04,2134369.2,2133501.4399999995,1866332.52,2075276.04,2118522.4,2070046.6,2072607.04,2076734.96,2139499.6,2049808.08,2057438.92,2132233.6,2276623.32,2077151.92,2127884.12,2052379.600000001,2087377.72,2068102.16,2054005.08,532125.28,27578.2,57799.60000000003,1120341.96,7061132.44,817670.32,561337.24,1068288.76
19,5729264.48,5779925.48,5675662.0,5850159.4,3901335.04,5772389.52,5824511.04,5944771.680000002,5450550.64,5374734.8,2503704.06,2250291.84,2166480.24,1901790.24,2093092.78,2146743.2399999998,2125137.4,2093017.26,2127789.12,2255571.12,2075597.76,2075847.66,2240333.24,2424247.78,2096624.92,2143881.12,2117250.28,2130808.7199999993,2117490.36,2080034.88,538075.6,25560.8,59477.13999999999,1206047.2,7080526.32,819439.4400000002,625499.8799999997,1075676.02
20,5954406.6,5993570.599999999,5804333.0,6295918.6,4207213.0,5801069.4,5972715.4,6542921.800000003,5571932.8,5383011.0,2856531.8,2333889.6,2328923.1999999993,2036488.8,2141903.8,2252335.4,2143531.0,2145599.8,2149468.0,2346128.2,2130089.6,2094162.2,2332873.4,2691515.1999999993,2148300.2,2258301.8,2137584.6,2241819.6,2135251.2,2126510.8,664942.4000000007,29597.0,80354.2,1241847.6,7348562.399999998,833607.4,733212.4,1101139.8
