index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,site
2_2_www.google.com,-442,2427.88,6556.96,15117.88,17364.08,33874.8,35931.84,78810.88,85197.48,91308.92,88675.4,88565.96,180686.84,190835.44,195504.32,203736.2,219962.72,277319.84,359648.52,390843.96,396329.4,397092.52,400449.44,403706.68,408485.08,481213,490691.4,489298.4,606403.84,698932.32,705539.4,720053.28,741512.88,836572.8,866060.4,940058.400000001,1084140.4,1182603.4,1292580.12,1450180.44,1642015.4,1749620.88,1915469.52,2034987.6,2152224.84,2283331.6,2369370.08,2408105.2,2467938.76,2484579.52,276,518,56163,2547512,www.google.com
2_3_www.google.com,-48,1667.36,7148.88,15081.32,17098.6,34408.4,34077.04,46064.32,93566.64,94408.8,122213.8,140802.08,143281.08,166666.68,290419.12,381544.1,381071.64,388836.78,389936.04,389622.26,395288.8,399450.4,429254.12,436748,441051.64,539293,650221.64,654916.8,669107.12,667137.28,714553.6,792280.64,928178.920000001,1029444.2,1112512.84,1155296.8,1241808.8,1348102.96,1610050.32,1739996.64,1949674.2,2151329.8,2228458.92,2389092.28,2492305.44,2530941.7,2539933.72,2560406.12,2562905.44,2564592.04,283,540,56263,2620892,www.google.com
2_4_www.google.com,-442,2373.6,5996.4,9101.6,16771.6,23457,41646.6,41248.6,47698.4,97048.2,100556,100175.6,97682.2,123682.6,157063.2,163437,213306.4,212214.2,259635.4,299666,335635,385124.2,407348.8,406577.6,414805.2,418960,487030.2,636603.8,783245.4,836424.799999999,940896,976505.2,978297.4,1057713,1193921.6,1276408,1474496.2,1583371.6,1763346.4,1849136.8,1921037,2040205.8,2159108.4,2307354.6,2429413,2595573,2683830.2,2688865.8,2696272.4,2701243,270,540,57047,2776838,www.google.com
2_5_www.google.com,-48,4657.66,8125.56,14646.46,23053.24,27330.6,42678.76,49969.38,90956.6,101749.8,148665.4,147890.74,153266.52,209464.88,335135.16,386519.2,395534.76,397820.18,397695.48,405077.46,407466.6,496230.2,615833.4,623072.68,653971.4,701980,814482.6,905246.520000001,1055725.28,1167182.04,1279112.8,1410317.56,1588158.32,1785714.08,1926811.8,2094391.6,2211459.36,2350787.4,2429284.88,2572275.64,2672667.4,2795200.04,2802283.52,2832412.62,2835632.76,2857066.1,2861410.84,2880455.46,2883740.44,2886058.04,307,616,59170,2945409,www.google.com
2_6_www.google.com,-442,2633.02,6572.08,14662.24,16818.84,34165.3,34607.04,41983.22,89718.88,93262.16,90762.2,95635.52,128845.08,178539.92,188188.36,203770.3,204723.28,236813.08,303087.52,378288.42,397136.2,400100.9,400335.72,403256.58,409135.76,411993,485343.84,483370.78,509285.2,511653.44,510220.8,509578.18,569843.84,696510.8,743281.96,850824.4,939896.64,1039089.04,1147895.72,1328240.16,1463333.6,1628831.92,1840468.48,2064750.92,2142209.44,2148055.7,2165588.76,2172134.62,2175625.32,2176467.76,290,497,59379,2235901,www.google.com
2_7_www.google.com,67,1545.02,4256.16000000001,4429.8,6021.72,15340.6,16577.92,18083.06,22829.6000000001,33739.18,34411.4,41141.68,50141.36,85846.8,89880.52,93840.2,92087.92,90270.22,91261.2,96525.72,132972.4,137121.42,141692.36,155779.44,196677.84,202288.5,207446.88,206821.22,234872.8,270556.48,305923.8,371602.72,377497.64,394139.58,398322.2,400138.1,400674.12,401764.56,405114.44,406923.12,408692.6,411830.08,410851.32,429983.6,503306.32,610604.4,622455.72,623283.42,695730.84,698764.72,215,254,46602,752643,www.google.com
2_8_www.google.com,67,582.28,1095.12,2293.32,5742.32,7940.6,9670.60000000001,16411.36,18196.56,20535.84,34231.4,34756.64,41182.36,59808.4399999999,84902.48,88154.6,91743.12,89976.64,87795.08,104305.52,126718.6,162700.72,168686.88,171105.36,195438.52,196996,198168.56,196588.88,200228.16,204426.88,208939.4,209311.6,252633.56,331817.84,390178.52,392339.2,398461.8,399582.84,401499.8,408186.92,414913.8,417849.92,416909.6,419471.68,501117.8,592998.6,654313.6,693727.16,699148.76,702970.52,222,282,47606,763366,www.google.com
2_9_www.google.com,67,797.32,2742.8,3705.64,8253.24,16367.6,16573.28,20063.16,36722.92,36642.16,42910.2,85298.28,93679.24,96636.12,96797.48,97130.4,103940.04,128255.4,163747.92,173069.72,186725.6,206200.92,207481.56,290829.48,337420.6,368100,397067.76,400537.64,400360.04,405515.52,408363.6,411886.76,484477.16,490475.44,489653.64,556813.2,686035.88,704128.16,739545.24,835944.12,931246.6,1038631.64,1133799.68,1270218.64,1402521.16,1530756.8,1703324,1852363.76,1989884.56,2107592.12,245,439,50249,2236059,www.google.com
2_10_www.google.com,67,599.6,5506.4,7034.6,16299.6,35296,34859.2,49485.3999999999,88160.4,88364.4,90208,133878.8,186602.6,194329.4,200053.8,233824,298666.4,336531.2,384180.599999999,391083.4,398032,401684.2,403196,423647.4,421976.8,421536,514982.2,635695.8,749801,813917.8,964534,1110994.8,1196964,1280146.6,1366489,1496482,1664314.2,1865659.8,1973637.8,2096807,2105666,2131549.2,2134260.6,2138879,2160667.2,2178872,2184415,2190935.6,2194866.4,2195393.2,316,594,64621,2260019,www.google.com
3_1_www.google.com,-442,272.84,5553.16,8567.08,14310.32,25168.8,30115.12,68164.88,80279.2,85035.76,87595.6,87245.76,89517.08,172143.04,184161.12,192589.2,196535.08,197953.2,253109.16,321784.88,360005.4,363984.92,389572.76,392005.76,392043.92,398173,396966.68,414199.4,415723.64,414938.44,412538.4,427915.88,501680.04,566597.64,624745.64,698625.6,742750.2,818783.4,897097.080000001,985233.56,1013825.4,1128685.88,1208993.2,1288280.8,1410972.32,1531188.8,1629814.88,1761607.28,1901343.04,1983186.8,228,466,47929,2104905,www.google.com
3_3_www.google.com,67,898.88,1690.84,7069.4,11935.6,24855.2,28480.88,66897.84,76400.96,79955.72,82302.6,84939.76,84949.44,93954.24,145891.24,163435.8,187354.4,196687.96,234929.16,274994.2,375923.4,384914.48,384294.64,386022.16,392879.52,396864,403046.88,409970.76,482625.76,485358.8,527108.599999999,679511.32,694962.6,722522.72,723678.88,740436.2,738783,782201.56,892710.799999999,1034356.08,1177734,1343940.4,1531660.24,1670540.28,1812276.4,1922204,2123699.36,2205822.04,2273331.24,2294979.32,262,494,55007,2351749,www.google.com
3_4_www.google.com,-48,1342.08,4559.36,8530.92,11656.88,28620.6,29036.08,69064.52,81601.04,85186.28,82848.8,83714.92,80965.72,162414.68,176788.52,199642.2,201133.88,199877.96,216487.4,257549.6,370067.4,371202.2,391607.4,395825.64,396011.56,399148,405542.68,408483.84,418577.84,513623.6,616639.4,619791.8,673621.76,695789.08,706091.16,706024.2,733274.4,754092.72,792701.2,845553.76,937800,1040247.92,1121108.64,1198646.76,1261124.2,1335053,1447814.76,1515134.16,1662003.44,1744156.64,241,455,50010,1874290,www.google.com
