index,391_1_www.watchbox.de,391_2_www.watchbox.de,391_3_www.watchbox.de,391_4_www.watchbox.de,391_5_www.watchbox.de,391_6_www.watchbox.de,391_7_www.watchbox.de,391_8_www.watchbox.de,391_9_www.watchbox.de,391_10_www.watchbox.de
34,1957581.0,1951579.72,1969038.14,1944058.1600000001,1999559.78,1923802.02,1935893.82,1941972.98,1949857.4,1955838.8800000001
35,1970898.4,1959840.92,1985608.8,1963969.84,2010980.92,1938635.04,1949787.76,1957030.56,1959580.8,1999415.92
36,1986847.0,1982523.8,1995509.2,1972924.5999999999,2012901.6,1949397.6,1971278.6,1965946.1,1969456.0,2062432.5999999994
37,2032628.2,2006104.4,1998187.92,1987072.96,2022313.0,1952440.24,1972342.7599999998,1985418.96,2009946.8,2133842.32
38,2068185.8,2037478.16,2047592.5999999999,2000261.32,2035934.28,1990094.6199999999,1987020.0199999998,1992947.92,2012104.4,2268178.8
39,2078505.0,2059031.92,2062008.92,2002500.72,2048723.84,1998814.6,1998731.48,1997062.1199999999,2020156.9999999998,2408757.56
40,2098516.0,2065781.72,2063614.34,2006366.44,2121372.42,2026122.78,2009354.64,2037986.66,2062852.5999999999,2414935.72
41,2116218.0,2076924.2,2077367.8000000005,2040989.6,2172047.6,2039530.8,2022290.6000000003,2103373.6000000015,2091567.0,2434230.8
42,2131800.4,2150137.2,2080267.36,2105843.2399999998,2188452.06,2056222.82,2053794.02,2236238.56,2210605.9999999995,2452442.92
43,2370103.6000000006,2348269.36,2119896.64,2146192.92,2303478.56,2162938.56,2125228.1200000006,2363423.04,2365279.0,2463486.28
44,2529152.000000001,2515305.16,2258833.7799999993,2312604.96,2503578.44,2254038.58,2378417.42,2468496.6,2502769.0,2476167.32
45,2564366.6,2520497.96,2430616.2800000003,2341091.92,2512663.76,2490660.88,2470373.08,2515216.36,2515855.6,2489973.72
46,2574702.0,2528974.2,2526261.1,2486680.1999999993,2520776.1,2499975.8,2477672.1999999997,2518852.6,2525274.0,2489073.4
47,2578602.4,2542704.32,2530028.1200000006,2517734.1999999997,2590883.1600000006,2515283.16,2490010.04,2530198.36,2537386.4,2505690.44
48,2589942.0000000005,2559858.88,2542507.34,2531033.76,2625248.2,2524605.72,2502665.72,2547512.48,2624372.2,2523848.36
49,2608382.0,2572407.04,2554022.7600000002,2543289.0,2638001.68,2537986.28,2516806.48,2592258.64,2640728.6,2533300.04
50,2697141.8,2591977.88,2565177.68,2555411.04,2652355.2,2548699.44,2529347.54,2641877.6,2650396.2,2542964.88
