index,43_1_twitter.com,43_2_twitter.com,43_3_twitter.com,43_4_twitter.com,43_5_twitter.com,43_6_twitter.com,43_7_twitter.com,43_8_twitter.com,43_9_twitter.com,43_10_twitter.com
28,309507.3999999999,229656.8800000003,277446.95999999996,315176.02,718906.78,534807.9199999999,391940.39999999997,398124.0,293562.2,354763.19999999995
29,348933.2799999999,277360.32,351594.92,365932.2,721273.7999999999,586152.8800000004,431216.2799999999,460923.0,363423.8,366065.8
30,377637.38,337750.2,410055.91999999987,417833.68,727255.08,643273.98,470734.8,531594.0,421166.2800000002,434418.4
31,379150.2,362420.0,435385.0,444243.00000000006,726930.0,644714.2,533771.8000000002,601891.0,447335.0,488776.60000000015
32,408667.9199999999,418102.63999999996,482540.9599999999,513044.82000000007,743073.66,652197.04,607796.7,615346.0,464808.12000000005,570039.08
33,480069.27999999997,456494.60000000003,535354.84,526031.8,742293.68,656556.04,656451.52,626897.0,517287.4000000001,602721.96
34,542464.4000000001,524120.4,590378.8,565499.36,745514.78,678061.46,658021.68,650173.0,583123.2000000001,653072.78
35,608189.5999999999,536172.68,632544.52,603035.72,748208.88,679759.76,661084.36,653934.0,649100.76,654663.68
36,662022.6,582263.9,663386.1,665258.3,751803.0,681122.9,682579.9,677466.0,654937.8,678812.1
37,679309.96,652388.8,664891.52,666879.08,753909.44,682856.76,684353.24,676712.0,669629.4400000003,680285.72
38,682297.84,654497.02,686525.54,690699.12,756074.98,685103.52,685700.58,678513.5,678438.76,681940.7
39,681901.56,677864.8400000001,688284.28,692220.84,758270.4,689088.12,687461.48,680278.0,680159.24,682230.04
40,686888.26,693313.48,689657.98,694015.42,760620.2,691664.86,686993.74,683367.0,679486.96,682979.02
41,691432.9999999997,695077.4,691282.4,695393.2,762912.4,700134.9999999997,690759.0,698021.0,681460.2,686197.0
42,711220.94,696713.38,694229.68,697660.18,764395.5599999999,721423.1,716588.46,711358.5,684444.56,703647.6
43,713247.52,698228.32,697543.04,710533.6,765154.5599999999,720827.12,720073.16,711132.0,711146.56,713298.36
44,715580.88,701088.98,700524.66,727996.52,767661.24,723675.2,720611.26,718313.5,713406.1599999999,718326.46
45,715644.8,711689.8,715908.96,727957.28,769898.56,727099.56,723580.48,719585.0,713767.4,721363.2
46,721642.4,730810.5,729912.2,732384.8,772181.9,740963.9999999999,723009.6,718178.0,716261.0,719779.8
47,721342.4,729392.6,735205.56,732478.76,774646.96,744864.44,726183.8,718978.0,719459.36,720555.44
48,739846.18,735755.3,749360.2,750474.1000000001,776888.72,742544.52,744535.9400000001,737404.5,735845.36,738794.44
49,737673.72,735820.84,752658.76,748929.24,779105.52,742329.32,742791.72,735774.0,735481.36,737390.16
50,737170.04,754445.04,753202.3,748990.68,781143.8,742297.16,742288.04,735290.5,734978.52,736883.12
