index,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
20,1652812.6000000008,1623298.6,1670152.2000000002,1558350.4000000001,1271477.4000000001,1621591.9999999998,1164039.32,1318484.0,1411166.64,1239113.3599999999
21,1834926.2,1777186.5999999999,1709951.8,1743451.0,1315411.0,1791323.0,1227488.2000000002,1362310.6,1551292.0,1298543.2
22,2056957.48,1937543.7599999988,1812459.9600000004,1899449.28,1386152.0,1945570.3199999994,1296013.7599999998,1453046.4000000001,1756787.24,1374312.24
23,2261279.3600000003,2125306.0,1910580.8000000005,2013030.28,1460935.0000000007,2093418.6799999997,1366687.2,1551220.8,1970873.68,1463308.24
24,2416562.3000000003,2325038.5999999996,1966974.9600000002,2162354.4,1548935.6,2251625.8399999994,1496306.5999999999,1677216.16,2128953.2,1538070.2
25,2562873.5600000005,2537219.6,2065532.3599999999,2271118.1200000015,1642649.4000000001,2484605.839999999,1612907.96,1860849.1600000001,2326799.5999999996,1613679.56
26,2732009.5,2715536.0,2114903.0,2466915.0000000005,1751827.0,2668446.9999999995,1750994.5,2112067.0,2543143.0,1697955.0
27,2883176.0000000005,2900463.6,2174133.92,2619346.0400000005,1836825.8,2796443.5599999996,1919382.0,2272747.72,2803763.0,1836958.4
28,2917934.98,2925456.2199999997,2266183.8,2785974.2400000007,1934651.8,2914336.5199999996,2097878.8600000003,2451529.92,2911129.96,2023121.7999999998
29,2968168.3200000003,2963602.6799999997,2343121.52,2916773.4,2115010.8000000003,2976011.599999999,2312532.9999999995,2641163.4000000004,2939103.079999999,2185535.76
30,3023451.76,3011216.62,2417126.08,2940535.48,2232105.800000001,2998174.64,2506611.100000001,2856526.0,3001105.56,2420376.9600000014
31,3111293.4,3081348.2,2519176.0,3005348.2,2309438.0,3058544.0,2738101.3999999994,3060215.0,3103752.8,2570343.6000000006
32,3201238.1,3147047.18,2636425.5600000005,3051866.6,2537767.0000000005,3136216.1999999997,2887583.1,3112650.36,3149642.28,2750767.64
33,3275728.68,3226999.6,2684430.72,3125594.68,2744533.4000000004,3206774.76,3020704.4,3139993.8,3226248.2399999998,2959345.5599999996
34,3334400.02,3291612.3599999994,2731678.44,3185750.16,2891611.0,3260494.04,3124912.02,3198303.36,3261038.3599999994,3183060.1999999997
35,3340904.6,3333687.88,2780078.16,3221038.68,3085268.600000002,3273821.56,3209118.8,3224295.04,3297060.28,3286795.9599999995
36,3375222.8,3369700.5,2893650.400000001,3292701.2,3267344.0,3285718.0,3244562.9,3284282.000000001,3310537.6,3362318.4
37,3386883.52,3374449.1999999997,3028541.8000000003,3313136.72,3304431.2000000007,3315944.28,3295338.24,3340027.4,3326356.32,3368309.56
38,3397729.08,3392770.96,3227896.440000001,3324499.32,3392582.0,3347975.4,3382896.62,3393734.36,3393764.08,3377279.8
39,3409114.1599999997,3401186.52,3391838.16,3378357.6,3402458.1999999997,3397406.44,3399290.4,3406912.1199999996,3400485.96,3391546.36
40,3424675.24,3407852.06,3404722.28,3405755.32,3410096.8,3407216.68,3408770.46,3415227.84,3415618.8,3420400.96
41,3443016.8,3433026.0,3418121.8,3415807.0,3426673.0,3424061.4,3416338.6,3433656.8,3434412.4,3426881.4
42,3463992.08,3441264.14,3434664.48,3433246.84,3443932.8,3445795.44,3444466.7,3444242.76,3442379.92,3440555.64
43,3478226.12,3453450.04,3455339.72,3451893.84,3460033.0,3455096.6,3442246.88,3447706.08,3440865.04,3453728.08
44,3487397.38,3469831.36,3467589.8,3469461.4000000004,3475821.6,3471880.0799999996,3446742.8,3463496.76,3446527.3999999994,3469220.8
45,3497461.48,3477396.92,3476545.96,3484510.88,3486948.8,3480933.44,3459009.6,3483079.12,3466612.6,3480500.76
46,3508278.6,3484811.3,3489533.2,3496735.4000000004,3497591.0,3492104.9999999995,3482377.6,3500312.2,3477003.6,3489665.2
47,3518095.04,3496177.96,3495353.8800000004,3503191.92,3506497.2,3500239.8,3491998.92,3511663.08,3485792.48,3500987.8
48,3530217.3800000004,3503914.5199999996,3506621.68,3519405.12,3517083.6,3511245.36,3498985.62,3516079.76,3491064.04,3511711.5999999996
49,3536220.88,3514834.48,3513763.08,3523870.32,3526628.6,3523433.52,3516798.12,3533427.04,3509053.1199999996,3518338.92
50,3535907.44,3524418.34,3525565.32,3535930.88,3536110.2,3533104.96,3525085.6,3545610.6,3513947.68,3518336.04
