index,104_1_www.huffingtonpost.de,104_2_www.huffingtonpost.de,104_3_www.huffingtonpost.de,104_4_www.huffingtonpost.de,104_5_www.huffingtonpost.de,104_6_www.huffingtonpost.de,104_7_www.huffingtonpost.de,104_8_www.huffingtonpost.de,104_9_www.huffingtonpost.de,104_10_www.huffingtonpost.de
27,24011.400000000005,6719.519999999997,17018.6,10313.68,76021.84,30269.599999999995,18371.239999999994,17237.32,6182.12,16782.64
28,28192.8,7245.44,16584.600000000002,9843.56,75655.64000000001,34368.200000000004,28529.07999999998,25022.279999999977,9119.400000000003,21064.559999999998
29,31139.760000000002,10223.799999999996,21632.599999999984,10415.68,77564.24,37207.68,33368.4,30352.159999999993,11610.079999999993,34449.32000000002
30,34540.6,14019.720000000005,32349.20000000002,11632.600000000002,78410.64,40495.4,52796.65999999997,44563.36,12699.43999999999,54365.759999999995
31,42692.80000000001,17055.8,48536.0,11798.4,96307.0,47634.0,64538.2,64674.4,16883.799999999992,64523.2
32,55916.07999999997,16836.76,63546.80000000002,13797.600000000006,95910.92000000001,49502.600000000006,64189.86,64481.64,17270.52,64164.96
33,64588.36,16343.56,64407.6,16858.72,97711.56,52425.2,63865.56,64247.92,16741.96,63923.84
34,64346.62,16781.64,64094.6,18502.799999999992,103668.16,52672.66,63641.36,64506.76,16928.28,63606.28
35,64069.24,21578.440000000002,63703.4,24738.72,104164.32,52246.240000000005,65442.359999999986,65949.04,19024.440000000002,64520.96000000001
36,65190.200000000004,29860.199999999983,63528.0,30081.599999999988,104340.4,51997.4,65254.700000000004,65554.6,27705.100000000006,65353.2
37,65915.72,37339.600000000006,64958.799999999996,31800.600000000002,105414.52,54630.48,65377.36,65461.48,34740.960000000014,65314.96
38,65726.46,46094.07999999998,67633.6,44956.99999999997,105902.96,56208.54,67598.28,67794.04,49024.77999999994,67635.08
39,65425.04,64229.76,67592.2,64486.76,107088.19999999998,56291.520000000004,67411.88,67505.08,64535.48,67639.68
40,67652.28,64230.72,67520.2,64487.72,109069.88,55995.06,67573.06,67644.52,64545.56,67479.04
41,67472.2,63900.8,67234.0,64157.8,111145.2,55912.8,67371.6,67817.8,64243.6,67643.6
42,67641.62,63720.24,67376.2,63977.24,112929.68,57971.239999999976,67410.79999999999,66908.92,63974.48,66903.84
43,68857.8,63270.84,67159.59999999999,63527.84,112662.16,66391.12,71985.32000000002,70152.8,63609.68,69251.6
44,72323.04,64804.24,70296.80000000002,63366.52,114426.8,67530.64,77137.88,75903.48000000001,63379.04,74297.52000000002
45,72181.88,65518.76,72204.2,65486.12,115065.59999999999,67536.31999999999,76993.36,77187.72,65543.24,77145.52
46,71761.3,65089.8,71687.0,65284.8,114842.6,69452.69999999998,76877.2,77075.8,65328.1,77003.2
47,71863.08,65197.28,71559.8,65279.32,116717.92,72244.36,76550.88,76933.88,67538.64,76892.88
48,73885.18,67326.24,71171.2,66620.96,116994.8,72102.04,77182.46,77102.79999999999,67653.98,76726.31999999999
49,90054.16000000009,67277.92,71978.00000000001,67534.92,117040.72,71774.79999999999,80946.60000000006,78985.07999999999,67591.84,76681.64
50,90352.14,67101.08,74035.80000000002,67358.08,118974.48,73853.79999999997,95105.7,87280.95999999999,67425.66,77703.48000000004
