index,185_1_www.python.org,185_2_www.python.org,185_3_www.python.org,185_4_www.python.org,185_5_www.python.org,185_6_www.python.org,185_7_www.python.org,185_8_www.python.org,185_9_www.python.org,185_10_www.python.org
27,235648.2,185966.56000000003,241029.00000000003,319089.48,236907.88000000003,267472.56,222920.63999999998,268137.2000000002,274160.19999999995,252024.6
28,238765.50000000003,202279.76000000013,250519.18,376710.9,250682.58,302453.56,225122.64,301616.9,297423.19999999995,254873.76
29,241766.8,229360.43999999997,252174.36,382240.96,252269.08,319837.36,232325.2,310881.4,312724.8,258005.4
30,252366.8000000001,250595.28,253220.3,394816.6,252207.54,321152.04,240690.6,312596.7,334601.9199999999,273272.0
31,267428.0,250206.20000000004,268092.6,438686.6000000004,255323.2,336008.4,282326.2,322624.0,363587.0,277142.4
32,310882.20000000007,251774.52,272261.0,472298.7,258989.7,338488.24,287747.80000000005,330072.7,387507.44,301885.6
33,319487.0,262926.56000000006,312931.44,475229.64,274961.36,354182.52,310048.28,332568.0,401514.2,309642.24
34,322699.5,293453.24000000005,322921.54,490637.26,282701.1,372362.64,336729.44,345899.5999999999,404167.44,321928.44
35,325920.4,294197.0,324627.32,496514.44,284206.04000000004,383692.04,361142.9600000001,361237.8,414453.84,340614.04
36,325134.5,309623.60000000003,330450.4000000001,497471.0,292750.7000000001,387362.8,378095.4,383244.5,415268.8,347578.6
37,334535.00000000006,340866.76000000007,338444.28,498049.28,312993.36,413181.24,403967.56,393295.4,431630.76,349277.68
38,354229.3000000001,358143.32,357361.56,500077.74,315540.48,425542.36,421709.16,398435.60000000003,449997.7200000001,359513.6
39,378991.0,361236.56,376536.04000000004,503430.52,327725.52,428114.56,435168.27999999997,427329.5999999999,474036.36,369227.12
40,384078.8,368262.64,389628.20000000007,504171.7,338379.9,429591.64,442239.2,457139.20000000007,489980.36,388572.2
41,400118.0,369940.4,399892.8,508946.4,347050.6,466532.2,446543.6,483162.0,490938.2,393174.4
42,418009.3,371328.44,408162.7,510979.6,346419.88,483724.08,467801.48,486892.2,490186.88,394367.32
43,423599.4,382171.16000000015,433014.8,512035.04,351224.80000000005,492015.68,471353.96,489719.8,493867.4,408540.27999999997
44,425737.2,410009.44,456420.1,525951.2,362083.64,493516.8,481526.88,491171.9,500671.64,418354.15999999986
45,431101.2000000001,430677.6,470772.88,527999.4,365476.36,494643.44,491863.16,490533.8,500153.04,436180.4399999998
46,451029.50000000006,440302.20000000007,486351.0,528417.1,377721.60000000003,494692.4,490117.0,493682.5,503368.8,449373.00000000006
47,485049.8,468645.80000000005,489011.0,530912.28,398655.16000000003,494512.88,490194.12,495511.6,504011.88,458349.80000000005
48,490596.3,476539.08,489477.98,532333.66,408281.56,494305.36,492159.52,495278.1,503815.92,475313.80000000005
49,489714.8,480379.04000000004,490899.72000000003,536119.36,410094.12,496145.16,497855.12,498200.00000000006,503929.68000000005,485290.76000000007
