index,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de
20,952269.8799999999,943898.28,1147087.64,1055076.4000000001,1005247.5200000003,818799.02,877750.2,1192291.72,925240.2799999999,1148439.44
21,1037656.7999999997,1094447.6,1247972.1999999997,1159774.0,1091953.2000000002,853117.5999999999,990445.3999999999,1278264.6000000003,1043702.9999999999,1209067.2000000002
22,1130577.4,1222495.2800000003,1342596.3599999999,1282036.4,1173591.96,952420.32,1091160.8800000001,1354656.4799999997,1163669.56,1291496.2
23,1185975.88,1297298.04,1467337.9599999997,1378182.4,1265762.92,1087677.1600000001,1185616.08,1461286.52,1262420.4399999997,1446488.32
24,1276024.2,1360823.3599999999,1579841.64,1513557.7999999998,1358453.88,1207486.9200000002,1278553.7199999997,1574810.52,1317045.3599999999,1558290.4800000007
25,1373938.76,1485015.88,1686612.64,1631315.7999999993,1429897.8399999999,1296294.7599999998,1356032.12,1666639.1199999996,1397551.0799999998,1692248.2400000002
26,1461418.0,1596179.0,1805214.0,1766085.0,1504058.0,1390825.0,1475893.0,1830221.0,1539508.0,1788515.0
27,1562945.4,1702967.4400000002,1928287.3599999999,1901331.4,1595624.56,1489342.4000000001,1589938.64,1961549.36,1673412.12,1910398.04
28,1653616.72,1812122.8800000004,2054077.8800000001,1991879.3999999997,1734943.12,1594086.28,1682719.88,2045394.84,1781817.64,1986994.52
29,1758905.1599999992,1918467.24,2163162.08,2148459.1999999993,1864269.2799999998,1703272.32,1772752.04,2145573.88,1880482.16,2069850.4
30,1879790.5599999998,1991275.92,2283276.04,2269542.8,1997911.4399999997,1810439.76,1879573.3999999997,2283726.64,2003350.28,2155960.4800000004
31,2021207.1999999995,2085474.4,2416058.3999999994,2383431.0,2138890.8,1928266.2,1962614.1999999997,2393476.4000000004,2112579.6,2273815.2
32,2124701.3199999994,2226517.84,2527301.56,2493947.4,2253110.4799999995,2055830.2399999998,2079079.84,2513486.48,2208337.2399999998,2386467.1200000006
33,2257623.0399999996,2340781.96,2645133.28,2595737.8,2339499.52,2203191.28,2174420.64,2632168.8000000003,2314969.44,2485834.3200000003
34,2402924.28,2480015.8000000003,2773506.44,2722846.2,2439733.28,2328149.3200000003,2322374.5199999996,2777355.88,2431657.96,2614380.36
35,2531301.36,2612430.52,2873997.76,2833046.5999999996,2552511.44,2466892.5599999996,2458195.04,2925656.3200000003,2532823.44,2773172.52
36,2669967.4,2745660.4,3001120.5999999996,2973983.0,2662591.6,2604493.4,2574577.8,3058051.4000000004,2646370.6000000006,2901658.6000000006
37,2771673.84,2879590.84,3122893.84,3085056.199999999,2765849.7600000002,2728548.64,2716679.4400000004,3163167.04,2769133.92,3045388.3200000008
38,2916304.36,3018918.56,3264572.12,3208338.1999999997,2876147.5199999996,2843060.6,2837631.3200000003,3314231.56,2907256.039999999,3180988.2399999998
39,3048731.119999999,3122930.04,3391154.48,3331012.2,3005082.4800000004,2963581.1199999996,2959093.92,3444628.88,3034258.56,3303092.36
40,3155426.4399999995,3249603.52,3481593.2399999998,3482578.5999999996,3120526.2399999998,3076321.16,3095805.1599999997,3569673.24,3144473.48,3415314.2800000003
41,3305030.7999999993,3379704.2,3598910.4,3610075.0,3246110.4000000004,3177875.9999999995,3225041.5999999996,3682797.2000000007,3282758.8,3541023.800000001
42,3392623.6399999997,3528921.0400000005,3702875.16,3737251.3999999994,3369246.56,3288410.56,3350236.2399999998,3813150.1200000006,3380676.52,3670010.12
43,3523142.56,3635101.4800000004,3839760.56,3888520.1999999997,3472689.9199999995,3429537.84,3486821.8800000004,3915935.7999999993,3497660.64,3788611.4
44,3649115.9599999995,3745381.920000001,3920971.8,3959032.4000000004,3573891.2,3545922.44,3636893.52,4073657.98,3639129.64,3891895.64
