index,6_1_www.facebook.com,6_2_www.facebook.com,6_3_www.facebook.com,6_4_www.facebook.com,6_5_www.facebook.com,6_6_www.facebook.com,6_7_www.facebook.com,6_8_www.facebook.com,6_9_www.facebook.com,6_10_www.facebook.com
19,503237.36000000004,112891.4400000002,211891.60000000003,235661.0,283737.76,198442.28000000006,101442.84000000024,284911.0,361196.2799999999,215783.59999999992
20,590047.48,155455.32,233017.84000000023,293916.5,290736.1600000001,283939.6,217897.7200000001,303664.8,482821.27999999997,292315.0
21,591540.4,223456.2,278679.0,300035.0,335266.60000000003,284055.4,276399.4,359453.79999999976,499847.2,332012.0
22,653650.4599999998,270358.88,282303.32000000024,355476.0,422503.88,284827.6,286663.36,480011.1199999997,502951.60000000003,444760.8
23,687159.4400000002,282884.48,388866.88000000024,462647.0,493855.4800000002,351294.7200000001,289301.56,520603.64,501879.52,458178.4
24,756595.62,282366.5,469686.2800000004,490093.0,609575.72,406213.24,314979.04,519225.76,503250.88,518785.59999999945
25,762384.84,301004.2000000003,561444.64,521852.0,660696.28,489258.4800000003,343601.12000000017,522248.6,555639.04,536289.0
26,849422.0,387139.00000000006,604760.0,602799.0,665814.0,544128.0000000001,469576.5,626376.0,627645.0,587849.0
27,967345.0800000001,457754.4000000001,603518.04,649853.0,692062.7999999999,636484.6400000002,473427.8,664345.7200000001,675641.64,628706.2
28,1044844.88,501543.44,610277.4,728994.0,804338.72,643834.92,472977.20000000007,794106.4399999992,755722.9199999999,696369.9999999999
29,1115965.5599999998,577822.16,689622.0800000001,827452.0,860896.9600000002,658529.88,532636.64,908983.08,819979.8,811443.5999999994
30,1228686.08,608264.3,761491.4400000002,930341.0,1013012.56,700757.8,694749.8400000002,968266.8799999994,946605.72,934961.5999999999
31,1297265.0,635795.6000000003,1003605.8,1001770.0,1162039.0000000007,766155.0000000001,814858.4000000006,1111849.5999999994,1064415.8000000003,1020400.0
32,1370871.88,729306.58,1113007.1600000001,1082183.0,1209701.4400000002,811846.04,940403.2799999999,1204764.2,1196330.4,1084772.0
33,1373923.56,827565.6000000001,1191502.1600000001,1140747.0,1272626.8800000004,866799.56,1012697.4000000001,1270653.24,1209018.72,1178055.7999999998
34,1375356.14,870573.6000000001,1307007.8800000004,1249995.0,1355827.76,900663.8,1083448.0,1347126.7599999998,1287397.62,1262744.0
35,1396275.52,947995.3200000002,1375350.2,1369998.0,1379457.68,1010041.6000000003,1164626.0,1380836.56,1364820.84,1299722.7999999993
36,1440462.9,1086704.400000001,1376268.9,1395941.5,1389435.8,1099602.0,1266205.2000000002,1382178.2,1377872.3,1376102.0
37,1441043.92,1175990.4400000002,1377877.2,1396918.0,1413734.04,1179155.360000001,1349849.96,1383175.88,1380591.48,1388705.4
38,1445103.66,1213739.8400000008,1387698.32,1431889.0,1448211.68,1287333.2,1384437.2,1413235.8,1413835.4000000001,1389768.8
39,1446016.28,1322970.1600000001,1435280.0400000003,1459469.0,1446545.68,1332073.6,1386257.08,1446140.92,1440016.44,1400968.6
40,1450645.88,1378808.08,1440467.4400000002,1465622.5,1452458.36,1374684.12,1397736.48,1451335.88,1445964.24,1452802.6
41,1451114.0,1381325.8,1445843.0,1466980.0,1454141.6,1381173.6,1420424.2000000004,1451189.4,1444945.6,1458383.0
42,1497138.28,1414517.72,1447465.3,1471128.5,1456770.08,1382762.44,1454567.52,1455775.64,1449722.56,1458326.8
43,1525788.32,1417166.16,1450001.52,1471910.0,1455624.12,1383395.88,1453638.48,1454652.7999999998,1448560.88,1460285.2
44,1613559.46,1420157.64,1450041.6,1511116.5,1501588.32,1419024.4400000002,1499397.54,1500580.76,1483252.44,1505379.6
45,1663495.8800000004,1438053.8,1494571.04,1522098.0,1504485.2,1448304.92,1519543.0,1506939.72,1497158.16,1521317.9999999993
46,1704106.8,1485175.1,1501154.7,1580381.0,1580826.8000000003,1484388.8,1600825.6000000003,1529024.7999999998,1534540.0,1570416.0
47,1709260.32,1493943.68,1515594.3200000005,1636169.0,1647754.6400000008,1496301.64,1657828.6,1607115.68,1578135.64,1627060.3999999994
