index,245_1_www.dmca.com,245_2_www.dmca.com,245_3_www.dmca.com,245_4_www.dmca.com,245_5_www.dmca.com,245_6_www.dmca.com,245_7_www.dmca.com,245_8_www.dmca.com,245_9_www.dmca.com,245_10_www.dmca.com
19,258212.56,187597.4,206058.75999999992,192426.68,186111.08,202009.2399999999,107218.52000000002,264887.36,92999.28,140355.59999999998
20,259553.82,192838.19999999992,223118.82,208482.96,189811.58000000002,209203.59999999998,155626.91999999995,267175.08,100822.16000000028,184173.80000000005
21,314559.00000000035,206766.0,227190.2,215908.6,193434.3999999999,215248.39999999994,186527.8,271874.0,152838.60000000012,188126.0
22,331485.16000000015,213924.6,230484.32,236454.08000000002,208452.46,216469.8,187503.28,343854.18000000017,194147.03999999998,186331.6
23,368904.84,216336.99999999997,263144.19999999995,236089.2,213289.88,216988.4,188487.84000000003,353819.04,195025.32,187650.6
24,411043.46,218509.2,322409.19999999995,268358.8799999999,217080.68,229979.19999999995,189775.56,355631.04000000004,193781.78,189479.5
25,414411.52,225162.80000000002,376247.16,309154.04000000004,220210.68,269927.72,192079.28,409941.44,198465.76000000004,201451.60000000006
26,418529.0,232633.0,388547.5,322942.0,239171.5,269482.0,212142.0,415472.5,219012.0,212271.5
27,421754.72,253637.39999999994,426724.0,370687.6,252954.36,325331.9999999998,214221.31999999998,420638.32,248132.03999999998,215515.8
28,423710.20000000007,304383.3999999999,512341.1,372643.68,311509.48,366255.6399999999,229104.20000000004,423000.78,265612.22000000003,215096.3
29,428500.76,313014.6,546837.76,415955.32,318122.04,382850.84,243791.32,426708.24,268796.56,226577.2
30,433048.60000000003,350170.99999999936,549929.98,418540.16,352071.7,419637.12,250368.56000000003,432825.94,275876.48000000004,247008.4
31,434665.8,388522.0,550327.2,421016.0,387458.6,421651.4,293912.19999999995,445430.20000000007,336728.8000000002,284173.0
32,532351.66,405862.8,556571.38,498967.8399999998,413954.52,424004.14,309369.52,487245.2000000002,352406.76,283823.3
33,556075.2000000001,419705.8,575641.28,539425.24,417497.31999999995,429366.43999999994,313111.04,587180.4400000003,357589.27999999997,323251.4
34,565333.4400000001,421073.60000000003,618109.5999999996,543421.28,420000.66,515983.3,328043.04,659389.68,360754.68,367049.6
35,592394.96,425419.5999999999,667620.84,554828.08,469324.39999999997,544161.68,338544.6799999995,661860.8,359899.92,384356.2
36,649167.2000000001,463512.0,666912.7,559215.8,534872.2,550530.0999999999,377494.2,663191.7,361093.00000000006,384348.5
37,664806.96,513805.6,667987.2799999999,589033.24,537577.36,587079.0399999998,378988.48,665473.6,404031.5600000002,414202.19999999995
38,666355.16,541159.6,674077.7599999999,655854.72,537781.42,656845.56,386568.44,671221.78,422026.24,415101.3
39,669261.24,556609.2,676296.7999999999,657641.4,554457.44,656104.32,418234.28,671786.16,423763.04000000004,418115.00000000006
40,670835.42,588220.2,680362.12,659922.76,584913.62,659377.48,420615.96,672866.76,427553.22,422725.1
41,674138.0000000001,650833.0,683075.4,664184.4,586471.2,659268.4,421144.4,674227.0000000001,429228.6,445658.0
42,680753.32,655800.4,685567.42,664738.6799999999,651211.14,662859.94,449973.0,676832.06,431441.78,510427.79999999993
43,680768.36,656998.2,687960.32,665342.36,655616.16,665858.24,451603.56,678493.04,432501.68,520069.40000000055
44,682350.74,658944.8,689225.78,668448.3999999999,657396.9400000001,672909.64,478432.80000000005,681113.84,449804.9600000001,543208.7
45,684773.88,660472.8,691872.76,669401.48,658718.64,673635.88,518125.60000000003,681332.56,478331.08,543179.6
46,685855.8,666015.0,697937.4,670297.8,659845.7,672994.7999999999,522100.0,681847.3,543367.8,556558.0
47,692439.96,666466.8,699817.24,677069.88,663545.68,676829.3999999999,538540.52,682369.28,560000.7200000004,557271.4
48,692769.56,667809.6,703682.16,676878.32,664459.7000000001,681359.58,540410.04,686403.64,628642.1600000006,585554.0000000005
49,692506.04,671190.6,704287.76,676883.12,669042.12,684706.2,561995.3599999999,693574.8,661105.04,591890.8000000002
50,692531.48,675824.8,707530.38,676899.44,670366.66,685316.64,612132.8799999999,692671.04,662528.02,622205.4
