index,366_1_www.deutschlandradio.de,366_2_www.deutschlandradio.de,366_3_www.deutschlandradio.de,366_4_www.deutschlandradio.de,366_5_www.deutschlandradio.de,366_6_www.deutschlandradio.de,366_7_www.deutschlandradio.de,366_8_www.deutschlandradio.de,366_9_www.deutschlandradio.de,366_10_www.deutschlandradio.de
21,492691.5999999998,516962.8,555908.4000000001,680421.7999999997,548433.0,514410.0,657128.4,566298.2,760121.3999999997,560046.4000000001
22,541871.5599999999,568133.8800000001,638432.72,756620.4,627622.0,582444.3,722949.8400000001,646285.48,835492.5199999998,627854.6000000001
23,578137.84,630644.48,675434.8400000002,827703.36,677228.0,645020.4000000001,777125.8000000002,699547.8399999997,886488.96,675597.8400000002
24,608225.92,670528.9200000002,733892.48,903199.08,738656.0,693369.2000000003,833993.2400000001,780835.52,954161.36,728331.5599999998
25,646942.84,750077.7200000001,778532.6,962758.1599999999,797408.0,762149.8000000002,886354.3200000001,837873.8799999998,1020184.7999999999,796377.2799999999
26,700246.0,798307.0,863180.0,1016269.0,856743.0,854343.0,933378.0,915011.0,1029012.0,848400.0
27,750579.4,846594.44,908875.7200000001,1034231.3599999999,918841.0,945243.6,988421.88,964971.16,1030804.08,933000.7200000001
28,793581.08,909394.1199999999,965468.56,1096152.08,978255.0,1016812.7000000001,1021363.4,1010301.4,1051431.2799999998,969934.6800000002
29,885036.7599999998,968978.8399999997,1019531.7200000001,1140468.5199999998,1022276.0,1035065.8,1038730.6000000001,1042879.5999999999,1097180.36,1028142.12
30,955351.64,1022054.4,1031818.6,1222324.36,1041664.5,1094782.2000000002,1106703.16,1084402.68,1112049.68,1053535.88
31,1001721.1999999998,1044913.4000000001,1054276.5999999999,1262688.5999999999,1095689.0,1125540.0,1126526.8000000003,1108918.0,1166675.5999999999,1103730.8
32,1036268.28,1105397.04,1096238.12,1310430.44,1132853.0,1184188.4000000001,1184666.7600000002,1191076.04,1183679.8799999997,1176793.72
33,1088044.4799999997,1169432.2,1154555.04,1322441.6,1216002.0,1224820.8,1245274.72,1234820.88,1259668.68,1226604.8
34,1148786.3999999994,1220782.32,1203866.7600000002,1334795.4,1227271.0,1266995.0,1268454.12,1310682.52,1308699.72,1280958.7600000002
35,1199945.5599999998,1226969.92,1258466.64,1357266.68,1226707.0,1344091.6000000003,1336875.64,1325042.2,1366464.88,1317928.9600000002
36,1265499.6,1228093.0,1286115.6,1416246.4,1230350.0,1364256.0,1405014.0,1376999.5,1375687.0,1362669.2000000002
37,1316989.44,1261959.76,1315386.8,1435757.68,1232991.0,1369611.0,1420145.16,1434651.64,1386068.2,1399932.92
38,1359022.32,1268155.8,1354281.48,1449167.5999999999,1265469.0,1430458.5,1443134.56,1443340.64,1400122.1999999997,1435266.76
39,1360814.12,1273230.84,1379922.8,1460545.4,1318923.0,1442071.0,1463906.52,1474372.4,1443315.04,1442732.08
40,1363699.16,1273138.4,1431128.6400000001,1474290.2,1319267.0,1449342.0,1506524.64,1506996.28,1451737.5999999999,1444573.64
41,1366699.6,1357669.1999999997,1443706.4,1507942.2,1389792.0,1461555.0,1508708.0,1507967.2,1465234.0,1470834.4000000001
42,1398059.84,1438180.64,1473519.6800000002,1509576.96,1443545.0,1507834.1,1511951.4,1512348.48,1478730.4,1478366.88
43,1439339.3599999999,1451142.08,1507874.28,1513594.96,1458566.0,1509340.0,1512206.6,1522672.84,1489833.8,1481329.32
44,1448952.72,1487636.6,1509231.64,1526520.52,1485387.0,1513078.5,1518216.72,1524816.22,1507345.6399999994,1514564.84
45,1469338.3199999996,1514194.6400000001,1513822.56,1528198.72,1515148.0,1524449.4,1528052.4,1526646.8,1517168.2,1516324.12
46,1515000.6,1515182.0,1524264.2,1528815.0,1516861.5,1526338.5,1527569.8,1527162.8,1521725.8,1520546.8
47,1516719.76,1516420.6,1526191.32,1530176.76,1521467.0,1529466.8,1529339.44,1528449.84,1531988.56,1532217.32
48,1520692.4,1531037.52,1528220.6,1534581.48,1531967.5,1532403.1,1533355.12,1531838.88,1533920.84,1532894.04
49,1533635.72,1532504.96,1528011.68,1536286.2,1533665.0,1533846.8,1535786.6,1534340.96,1536267.04,1535225.8
50,1535547.1199999999,1535340.24,1530123.08,1540851.36,1536384.0,1536688.2,1539999.84,1536435.26,1536951.68,1536888.08
