index,97_1_edition.cnn.com,97_2_edition.cnn.com,97_3_edition.cnn.com,97_4_edition.cnn.com,97_5_edition.cnn.com,97_6_edition.cnn.com,97_7_edition.cnn.com,97_8_edition.cnn.com,97_9_edition.cnn.com,97_10_edition.cnn.com
40,2066986.0000000002,1673928.8,1331436.64,1875546.52,1902334.8,1651450.56,1901668.2000000002,1641774.8,1364719.1199999996,2134969.8
41,2148770.0,1747263.2,1408428.4,1922927.2,1962223.9999999998,1703325.2,1964847.4000000001,1721303.7999999998,1431518.0,2213452.6
42,2217010.4000000004,1816860.96,1504735.2,2007897.3599999999,2023761.84,1759178.8,2010612.4000000001,1776745.2,1506827.6,2261038.2
43,2292485.4,1874295.52,1580113.5200000003,2109577.5199999996,2106190.96,1801656.24,2052438.84,1838798.2000000002,1582985.2,2339502.76
44,2370455.6,1931903.84,1705091.2,2163445.2399999998,2167390.32,1849150.72,2087061.2,1896489.36,1666367.4400000002,2379743.68
45,2373793.0,1986152.8,1808863.3599999999,2215493.6,2239420.7199999997,1938713.7599999998,2121338.6,1989511.72,1743115.9999999995,2383605.2
46,2375222.0,2030595.2000000004,1862318.7999999998,2263383.0,2308420.0,2003652.4,2153229.1999999997,2047116.0,1820144.0,2383818.8
47,2385595.0,2117313.6,1946751.2,2302669.2800000003,2366381.2,2087333.8399999999,2188785.4,2134802.7600000002,1883090.9599999997,2392356.6
48,2395818.7,2182449.28,2026183.2799999998,2352945.96,2382545.08,2154087.84,2244287.7600000002,2222151.1199999996,1947757.2,2404287.68
49,2398116.2,2269804.9600000004,2131964.8800000004,2382399.48,2386185.32,2204425.919999999,2304505.4000000004,2289024.6,2014450.0,2406537.08
50,2402756.6,2355382.8800000004,2223705.6,2383702.76,2394050.4,2280338.9599999995,2364386.28,2381457.84,2090180.4,2411007.48
