index,21_1_www.amazon.com,21_2_www.amazon.com,21_3_www.amazon.com,21_4_www.amazon.com,21_5_www.amazon.com,21_6_www.amazon.com,21_7_www.amazon.com,21_8_www.amazon.com,21_9_www.amazon.com,21_10_www.amazon.com
33,321269.08,395820.0399999996,332345.16,417647.19999999984,904151.2,324683.2,342424.36,538956.5599999998,330464.28,922829.52
34,322507.98,465627.1199999999,367482.72,507813.60000000015,903021.1,327921.16,343655.83999999997,609223.64,329006.68,921905.66
35,325642.5200000001,551197.5199999999,430989.7200000001,603568.0,912648.2,365003.3599999999,342319.04,615213.92,388285.1599999993,924069.1200000001
36,327709.8,554404.4,504496.0,606911.5,921480.5,486896.80000000016,363627.60000000015,616164.7,474941.3999999996,933223.8
37,332089.8,560348.32,564099.64,625109.0,921801.6,567013.72,451427.52000000037,619165.56,568692.48,937954.28
38,331032.2,561701.64,571510.22,653571.8,924026.1,569942.84,497513.08,652900.62,569709.92,941607.8
39,344798.80000000005,576276.24,570214.76,656868.8,931298.6,570954.96,538421.6000000001,656286.0,569049.36,948936.64
40,404344.0800000001,624081.24,569421.22,658581.5,936834.7,600181.28,596674.2000000002,653880.14,570093.24,957470.72
41,451865.19999999984,628480.8,572707.8,655724.0,951233.0,605914.8,611318.8,655507.2,573520.6,960710.0000000001
42,530416.6800000005,629066.72,577916.4,659258.7999999999,954336.3,605555.48,612186.96,657491.14,576447.7999999999,971606.98
43,567906.76,628783.16,607273.16,660687.6,958276.6,614407.72,613568.88,659190.8,591442.36,975303.5599999999
44,569192.8,630576.5599999999,620898.6800000002,710820.1000000002,958573.7,649039.36,641740.0800000002,662565.14,589874.3200000001,980291.64
45,570473.08,634707.3200000001,644773.56,727620.6,967886.0,649125.44,650532.88,672059.88,613871.7999999998,983478.6
46,572042.4,632532.2,643767.4,759222.5,969898.0,650833.6,651190.1,669474.7,654316.2,988729.4
47,580657.68,696341.3999999999,641859.96,759667.0,973489.8,651632.48,652424.2000000001,723566.9199999999,652733.24,992402.32
48,599873.54,704099.44,643545.04,764923.2,976504.4,689457.0,661550.88,737461.2799999999,659367.32,993732.74
49,614360.4,734555.04,644084.24,764070.7999999999,979554.8,721678.64,660319.08,764174.3199999998,660926.72,1001333.36
50,614205.4,731268.88,647660.26,764766.6,984338.7,717545.8,678339.52,768306.68,665009.2,1006922.7
