index,384_1_www.imdb.com,384_2_www.imdb.com,384_3_www.imdb.com,384_4_www.imdb.com,384_5_www.imdb.com,384_6_www.imdb.com,384_7_www.imdb.com,384_8_www.imdb.com,384_9_www.imdb.com,384_10_www.imdb.com
18,131916.56,118606.63999999996,191054.09999999998,155543.5,139008.6,190223.46,146161.48,174853.94,205088.12000000008,177163.56
19,190422.6,124223.28,191426.40000000002,154931.6,180139.72,240454.08000000002,147746.6,186419.32,261202.44,183164.88
20,192174.82,141697.52,192225.69999999998,173722.0,182818.58,269412.98,148164.2,192360.72,270222.46,187862.24000000005
21,274034.1999999996,142426.8,198406.0,211099.0,196362.80000000002,279300.0,170198.6,191147.0,330496.1999999998,205794.40000000002
22,298869.8000000002,141878.16,253450.8000000002,247923.0000000001,230298.15999999997,291773.14,240199.32000000004,221289.8,415162.8000000001,257042.83999999976
23,400917.96000000014,160316.28,291256.0,334249.0,280660.12,356232.0800000002,296848.04,278215.24,450509.72,292432.3600000002
24,443880.4000000001,169328.08,331383.60000000015,393683.20000000007,292851.34,457215.28,326307.4,308512.3999999999,534338.3999999999,386234.39999999997
25,526707.8400000001,213972.7199999998,417834.20000000077,450949.2000000002,297105.8,498619.72,388666.44000000006,408668.19999999995,601814.52,444397.9599999995
26,602353.5,297450.0,459866.5,480341.5,319721.5,581226.0,437251.0,427615.0,600495.0,531703.0
27,608708.36,351438.07999999984,474704.0,595775.0000000001,373075.95999999996,660521.0800000001,470186.2,457479.7200000001,666729.7599999999,543004.16
28,649353.86,389527.83999999997,585262.2000000001,680180.6000000003,443363.87999999983,708063.06,585206.8,543947.1199999995,779480.8399999999,605871.6
29,717586.2000000001,428704.48,677703.6,740805.2,494598.36000000004,729689.52,642856.2000000002,605212.28,882507.92,675535.5199999999
30,798032.3000000004,432298.48,725769.3,739454.3,575367.42,883246.2799999999,695613.24,621894.48,885610.08,761673.1600000003
31,863044.4000000001,458295.9999999999,733640.0,804751.0,622907.7999999999,896146.0,694321.4,686187.0,890154.9999999999,777159.0
32,885956.22,525953.5199999999,773036.8000000002,867605.3,653178.76,910018.04,745205.1599999999,750073.3199999995,894434.16,807481.0
33,889127.32,564848.0399999999,866196.2000000002,935106.2000000002,686187.72,961538.2400000003,806470.2400000003,814264.88,898601.52,880864.88
34,893506.74,654563.36,896415.9,949115.1,736007.68,995999.32,850764.04,862955.6199999999,902818.0599999999,884607.24
35,895977.2,655345.64,901393.0,1003800.2,736825.32,1000720.44,857475.04,883638.84,910877.64,885819.96
36,903333.2,666130.7999999998,902427.5,1019581.0,772212.7,1002207.7000000001,908697.6000000001,888953.7,917485.9,891553.6
37,911309.08,775251.2799999993,959384.2000000001,1024131.6,886262.3199999995,1005475.4,950593.44,893064.12,918760.88,893645.84
38,916135.64,799667.36,1001018.6,1030270.6,902950.14,1015810.36,952774.0,901020.24,924106.6,898591.64
39,917923.64,833874.44,1006184.6000000001,1033051.4,908180.68,1016236.76,956717.68,904345.56,926769.16,901261.92
40,920517.42,871830.48,1009551.7,1039854.1,913406.76,1018983.82,959955.2,909442.82,964215.0199999999,905124.6
41,924132.0,901642.6,1012091.0,1045489.0,915167.6,1028390.4,965413.8,914458.6,1009033.8,919934.4000000001
42,926609.12,904081.36,1018439.7,1047184.1,941766.78,1030256.3,969784.04,918465.18,1011818.32,940914.18
43,930686.4400000001,905942.72,1019521.6,1050777.0,986064.7999999999,1032785.8,970086.4,921667.36,1015533.3200000001,990914.72
44,1008013.82,913629.3999999999,1023750.0,1060005.9,1016174.48,1068481.2800000003,971412.36,924580.9400000001,1020127.5,994108.22
45,1011111.08,921229.24,1026086.2,1062346.8,1018825.6,1112101.24,1011288.2400000006,926949.92,1025892.12,997628.6799999999
46,1014864.5,922402.2,1028753.5000000001,1081482.0,1023675.4,1116546.9,1056356.2,932942.0,1031562.7,1005599.1
47,1020744.88,929486.4,1060621.8,1143180.5999999999,1023350.4400000001,1121014.2,1062709.68,1011084.28,1030881.68,1008336.24
48,1012129.4,929129.16,1106452.7,1145925.1,1026267.54,1125206.84,1061737.16,1010188.3,1019506.02,999534.9199999999
49,1013211.36,929986.12,1109945.4,1150988.2,1030781.52,1131540.9600000002,1064800.24,1014597.6,1018205.04,996544.32
