index,239_1_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov
22,51067.4,31784.14,49583.17999999999,47075.799999999996,37386.119999999995,37963.1,123601.81999999999,33582.08000000002,33528.2,34509.50000000001
23,68915.00000000004,33836.48,50896.8,49780.600000000006,49535.6,39826.2,135599.64000000013,34164.12000000003,33169.12,45414.000000000044
24,78370.0,41409.4,52568.420000000006,49496.999999999985,50694.92,41951.5,149873.55999999985,50120.67999999999,46192.0,49051.000000000015
25,89548.00000000004,51709.64,54345.59999999999,51523.2,51342.76,46274.60000000003,176112.6,52951.399999999994,51454.24,51647.2
26,108946.0,51435.0,61923.0,55814.0,55914.999999999935,58032.49999999999,186264.0,70141.0,51750.0,51077.0
27,117173.59999999999,51663.36,71486.40000000001,64365.99999999999,70831.79999999997,59260.399999999994,183517.32,69094.08,51162.95999999999,52016.80000000002
28,123871.6,51243.74,72861.14,69713.99999999999,80436.59999999998,59730.3,185314.30000000002,80266.84,51469.520000000004,86435.20000000006
29,128094.00000000003,68874.55999999995,85843.52000000018,93172.60000000006,89411.19999999998,59382.4,186302.63999999998,105394.28,69546.56000000016,91476.2
30,162737.19999999998,93401.76000000002,113641.2799999999,124888.4,105255.92000000003,78076.00000000004,187101.0,134443.80000000002,99015.48,123036.1
31,177315.0,124580.6,124583.4,124790.0,123890.6,98529.0,193011.19999999998,138849.8,124665.6,122056.0
32,180399.0,123990.14,128758.94,127499.8,123204.28,131856.00000000006,194777.86000000002,139820.36,126177.07999999997,124010.70000000007
33,187146.80000000002,123820.44,134663.28,133617.2,127782.59999999998,131841.19999999998,196953.64,142216.92,140534.76,161484.60000000006
34,184111.59999999998,145120.86,135593.94,145827.4,138124.67999999982,131439.9,247660.32000000004,177016.28,144172.08000000013,174631.5
35,185694.4,174193.72,177249.12,174188.8,176097.19999999998,159949.40000000005,254153.08,175629.28,172746.76,177046.2
36,187007.0,175330.4,175284.09999999998,177981.0,177565.59999999998,182460.5,259048.6000000001,174661.0,174914.8,183004.5
37,187484.4,181302.0,178100.4,183601.99999999997,178682.8,185337.0,268629.8,180908.84000000003,179531.2,185578.19999999998
38,187912.6,185425.92,185430.74,186341.2,186795.27999999997,191428.00000000003,269660.92,184014.72,184065.72000000003,184052.4
39,194100.0,185068.56,185155.88,185593.6,184500.48,195347.8,271530.44,184070.44,186527.68,184636.0
40,193544.4,183851.64,184174.86000000002,184667.8,184925.91999999998,192248.69999999998,274910.22,184593.28000000003,185409.52,186906.7
41,195009.0,185065.0,185586.0,186104.0,186182.0,194174.0,277095.2,185587.0,184189.8,186694.0
42,195926.6,187770.53999999998,186830.38,186129.0,186999.84000000003,194135.5,279194.4,186967.72000000003,184775.08,187039.3
43,194372.19999999998,187338.52,186547.44,187406.6,187344.96,194294.0,281220.04,186550.24000000002,186947.68,190046.2
44,212340.60000000006,187303.0,187898.72,191007.2,188559.11999999997,196211.19999999998,281815.16,189256.00000000003,185473.0,194364.6
45,218763.4,190088.32,191842.08,193514.4,193929.28,198138.4,283158.12,190146.44,185972.04,194196.6
46,235734.0000000001,194907.4,194544.3,192601.0,193761.2,203243.49999999997,284260.99999999994,192620.2,188395.2,193920.0
47,258374.2,194169.75999999998,195274.84,193008.4,193294.6,202280.0,288376.44,194557.31999999998,192109.32,211934.20000000004
48,262020.8,206292.96000000002,193789.44000000003,201864.0,198431.3599999999,212012.00000000003,289117.36,205693.08000000005,192446.72,237171.7
49,261347.19999999998,223853.75999999998,222873.91999999995,211251.99999999994,218722.63999999984,222013.80000000002,288999.76,226232.91999999998,205160.80000000005,247604.0000000001
50,267309.0,248715.67999999996,234083.12,235290.99999999983,235500.83999999994,242466.80000000002,289051.12,243897.91999999998,223698.32000000012,252519.80000000002
