index,372_1_www.surfmusik.de,372_2_www.surfmusik.de,372_3_www.surfmusik.de,372_4_www.surfmusik.de,372_5_www.surfmusik.de,372_6_www.surfmusik.de,372_7_www.surfmusik.de,372_8_www.surfmusik.de,372_9_www.surfmusik.de,372_10_www.surfmusik.de
37,22479.8,23192.16,22786.84,24635.16000000001,24609.64,27182.12,29389.36,22072.760000000002,33805.76000000001,22886.04
38,24660.26,23400.72,23057.28,24903.18,24457.02,29145.04,29382.42,22302.640000000003,34566.76,24052.04
39,24538.399999999998,24919.12,23077.16,29346.12000000003,24533.44,28914.84,28490.920000000002,22319.079999999998,34727.56,23326.280000000002
40,24609.38,24527.36,26576.280000000028,32183.50000000001,30657.960000000014,29145.52,29357.780000000002,21214.559999999998,34592.72,23893.900000000012
41,24215.8,30375.199999999997,27758.199999999997,32155.4,30061.399999999994,31159.0,29263.199999999983,19716.199999999997,33735.2,23840.4
42,23821.34,29751.84,27208.56,31727.539999999997,30057.94,32267.199999999997,29966.82,22475.280000000002,33313.72,23412.539999999997
43,29118.440000000006,30119.920000000002,29147.199999999997,30920.48,28992.719999999994,32263.24,31509.84,31842.20000000003,32308.360000000004,23177.48
44,29542.06,29651.04,30755.91999999999,30113.419999999995,29700.32000000001,31543.039999999997,34400.67999999997,35315.92,32095.32,22890.559999999994
45,29235.52,28924.079999999994,34419.52,30014.36,29096.199999999997,38059.32,35311.92,38536.20000000001,33209.36,22375.84000000002
46,29375.3,29043.000000000015,34704.20000000003,30437.3,29744.1,38294.8,39571.9,39850.4,39363.2,29049.3
47,31448.68,29934.12000000001,36171.60000000002,30312.719999999998,30008.079999999998,37012.840000000004,41361.35999999996,39795.68,38901.159999999996,29156.719999999998
48,30933.26,32201.16,39474.28,30618.160000000018,31590.06,36391.16,41237.38,39758.24,39562.76,30327.460000000006
49,30941.52,32008.44,39444.48,32169.36,33719.20000000001,36623.44,41515.79999999999,39832.16,40446.520000000004,31706.12000000001
50,30478.299999999992,31764.20000000003,39952.04,31647.900000000005,35394.10000000003,37401.16,44509.08,39810.08,44142.76,31717.840000000004
