index,354_1_www.deezer.com,354_2_www.deezer.com,354_3_www.deezer.com,354_4_www.deezer.com,354_5_www.deezer.com,354_6_www.deezer.com,354_7_www.deezer.com,354_8_www.deezer.com,354_9_www.deezer.com,354_10_www.deezer.com,355_1_www.deezer.com,355_2_www.deezer.com,355_3_www.deezer.com,355_4_www.deezer.com,355_5_www.deezer.com,355_6_www.deezer.com,355_7_www.deezer.com,355_8_www.deezer.com,355_9_www.deezer.com,355_10_www.deezer.com,356_1_www.deezer.com,356_2_www.deezer.com,356_3_www.deezer.com,356_4_www.deezer.com,356_5_www.deezer.com,356_6_www.deezer.com,356_7_www.deezer.com,356_8_www.deezer.com,356_9_www.deezer.com,356_10_www.deezer.com,357_1_www.deezer.com,357_2_www.deezer.com,357_3_www.deezer.com,357_4_www.deezer.com,357_5_www.deezer.com,357_6_www.deezer.com,357_7_www.deezer.com,357_8_www.deezer.com,357_9_www.deezer.com,357_10_www.deezer.com
11,20777.0,27263.8,21830.2,26103.39999999998,24862.2,21058.399999999998,27508.00000000002,25337.8,26770.600000000002,20298.0,32664.8,39479.2,40804.99999999999,108460.59999999989,33063.200000000004,32491.4,46156.6,42792.39999999999,49705.0,39012.4,34907.6,29697.600000000002,33412.4,31970.0,29534.800000000003,36860.8,30526.4,26333.600000000006,36354.99999999998,31816.2,1199509.4000000001,1191171.6,1236009.4000000001,1235929.2,1218967.8,1204043.8,1237874.2,1083804.8,1186897.2,1238672.2
12,22585.100000000002,26410.58,22913.07999999999,28800.039999999994,26723.68,23291.56,29878.039999999997,27363.98,28061.54,21585.100000000002,37076.07999999993,53271.200000000004,39526.18,211544.11999999994,41307.32,35272.76,49578.38,45586.07999999996,68189.59999999989,48958.64,39821.76,29346.96,31490.259999999995,32328.499999999996,32510.359999999997,35722.59999999997,33005.04,31062.38,63685.78,33046.72,1228186.78,1220948.64,1253926.88,1257736.12,1243523.3,1234096.56,1244545.02,1211890.98,1215606.68,1271825.08
13,26898.8,27931.039999999994,24969.039999999997,28244.280000000006,25774.04,22412.32,29033.76,26439.96,28959.92,20839.399999999994,128235.51999999999,114431.20000000001,61037.7200000001,291607.3599999999,48875.32,35175.92,102959.7600000001,48331.12,137981.19999999987,54154.56000000004,42638.76,31646.719999999998,32003.600000000002,66517.59999999999,39217.92000000004,42984.00000000001,31479.92,47901.600000000006,132136.76000000004,30855.44,1237578.32,1237575.48,1267202.96,1270815.16,1270675.24,1247610.44,1268095.2,1237190.84,1251788.56,1288069.1199999999
14,26069.3,26069.299999999992,27202.28,26228.42,26852.76,25928.48,30142.72,28307.66,30457.840000000004,22311.3,218436.00000000003,167110.04000000004,143612.26000000013,389788.6399999999,95413.47999999998,116424.69999999998,178618.69999999998,120766.87999999992,217353.79999999973,121355.31999999992,91721.84,41055.56,32893.28,162839.50000000003,51391.32,56045.63999999996,33909.64,55152.59999999999,198045.1,30550.0,1256299.82,1253850.12,1287392.04,1302486.12,1279032.44,1268255.36,1297717.18,1255639.68,1264558.68,1370306.18
15,27888.600000000002,24383.800000000017,28619.48,27638.199999999975,28455.4,25622.76,34609.04,26548.680000000004,30157.200000000004,24481.4,289721.9999999998,216197.71999999997,223948.99999999997,509426.47999999975,158512.16000000018,195896.9999999999,258021.56000000003,177697.87999999986,311483.20000000007,201014.52000000005,162841.28,49617.96,31947.64,227983.60000000027,52368.640000000036,61097.68,38072.04,57491.72,289468.80000000005,31696.719999999998,1286353.8,1272714.96,1314235.48,1330077.52,1325977.36,1291239.44,1309189.24,1276768.12,1279102.04,1401928.0399999998
16,28635.5,37367.6,27867.199999999997,37643.099999999984,29467.8,27007.1,33872.399999999994,31156.5,30489.499999999993,26672.5,373877.3999999999,282419.00000000006,258364.2,648393.7999999997,245074.20000000027,308766.8,340526.80000000005,250937.79999999993,377322.5,291773.80000000005,224953.40000000023,51089.79999999987,65875.4000000001,303969.5,58492.6,125110.19999999981,57341.19999999997,56439.8,380325.30000000005,65672.8,1304151.6,1286162.6,1331434.6,1337587.6,1345542.9,1301734.8,1315411.9,1314607.5,1309357.2,1412581.1
17,30651.000000000007,42934.48,26179.88,47759.63999999996,29019.4,26324.76,31968.32,29415.72,72484.19999999981,25706.399999999998,486865.76,354302.32000000007,354047.28,760790.48,310828.8,435937.92,388575.4,318725.71999999986,470453.0,380682.52,285071.64,110259.16,114930.92000000004,388153.60000000015,64324.24,189143.4799999999,96411.28,90805.48,491376.2,112885.92,1315572.92,1298657.84,1332243.68,1350466.5999999999,1362295.08,1304796.8,1329740.76,1329109.28,1325127.68,1436305.52
18,30932.499999999993,47320.04,26747.8,48828.560000000005,43868.920000000006,25047.219999999998,33425.6,29053.3,134763.63999999993,26967.800000000025,596102.16,412015.28,434924.92000000033,911557.3200000001,390041.7600000001,517206.3,467264.24,371279.6,573078.2999999999,510108.43999999994,356167.68,139873.20000000004,175332.60000000006,495535.3000000001,79753.79999999999,282602.6,154153.44,146870.80000000002,542068.44,177803.28,1331255.72,1305884.16,1348324.24,1362228.58,1376217.34,1335068.16,1377783.84,1343236.9000000001,1340469.04,1456863.1799999997
19,33498.8,79247.12000000001,28984.56,117910.15999999951,82613.68000000004,28208.399999999998,35493.600000000035,58434.360000000015,192076.67999999988,28532.2,737340.8400000001,525412.8000000004,528819.4400000001,1038222.08,444698.60000000003,565406.12,557880.96,437398.43999999994,719775.5999999997,612141.1200000001,397198.0000000001,217453.19999999998,210979.80000000002,549421.4,144268.95999999996,365717.95999999996,196960.00000000003,222771.51999999996,607067.9999999999,232660.6,1341842.08,1311471.6,1390825.12,1408113.36,1380046.1199999999,1354100.04,1372422.68,1361218.72,1347359.8800000001,1463476.72
20,33864.2,146583.26000000007,28577.92,163738.55999999985,123843.60000000002,33319.76,43312.84,88124.29999999999,235477.23999999996,29392.00000000002,801618.16,608621.4,610615.12,1146613.0799999991,563884.6000000004,629035.1,605580.2600000001,511979.36,812989.6,677156.9600000004,442551.2,250762.31999999992,293275.72000000003,615366.9000000001,207562.91999999998,427867.36,262677.00000000006,301367.3999999999,655376.26,274441.3599999998,1406812.54,1371504.4,1429083.2799999982,1463943.66,1402988.72,1401940.76,1438117.68,1368240.16,1356852.04,1478322.7999999996
21,37605.0,207415.40000000008,46595.999999999985,232687.99999999988,166760.0,33198.8,51866.8,123110.60000000002,281363.39999999997,35632.0,899698.6000000003,665122.0000000007,685892.2000000001,1267217.1999999997,677261.6000000003,715555.8000000002,692758.4000000001,591945.3999999998,908945.0,814250.6000000001,512093.00000000035,314942.1999999999,352019.0,647638.0,278062.8,471616.0,332188.4,357135.19999999995,663033.6,357723.99999999994,1410693.8,1396632.4,1457561.4000000001,1475708.2,1442601.2,1420650.8,1452982.4,1376889.2,1360458.6,1499728.5999999999
22,52714.400000000016,260183.68,83924.08000000012,303303.5199999996,204330.56000000006,32681.379999999997,51318.52,150597.36,325358.0999999996,37993.900000000016,990162.84,803316.24,767155.7600000002,1368422.88,754068.5200000001,765536.72,789145.8,657619.8,1004801.5,887891.8,538051.3999999998,365757.72000000003,405255.7600000002,653611.7,354188.1600000002,579781.24,391918.72,462383.16,713985.7200000003,396726.19999999995,1416858.86,1421812.28,1467199.56,1477035.96,1444792.28,1428399.0800000003,1453709.6199999999,1378005.92,1366253.32,1506208.62
23,75453.40000000011,301855.48,125177.27999999991,371985.2799999999,252154.52000000005,47899.76000000001,115868.28000000019,188706.52000000002,390670.12,44048.2,993978.6,805719.92,913116.8400000001,1376127.2,838781.3600000001,795731.08,883061.6000000001,723869.6799999999,1086451.0,954773.0,644768.2,455642.27999999974,475230.1600000002,658636.2,427976.4,671796.5599999999,462542.51999999996,537667.12,797496.96,473600.0399999999,1425804.48,1427998.28,1472861.44,1485394.28,1452515.52,1434651.5600000003,1464534.6,1384172.8,1375111.64,1503561.12
24,105713.60000000015,344612.2,173498.32,446970.5999999998,343064.36000000004,91841.4800000002,172463.84,239518.83999999997,427222.83999999985,44228.5,996500.32,815673.8400000001,1031720.4800000007,1381244.16,912152.4,798004.76,1008675.3200000004,797164.12,1176855.5,1007705.36,659721.6,540437.6799999996,548416.3,660982.5,496699.60000000003,676394.84,588721.3199999998,610524.9399999997,845460.28,570377.6,1439252.5000000002,1448434.36,1485428.56,1499303.02,1455910.24,1441757.44,1474249.48,1394452.1,1440326.6,1527633.08
25,113945.00000000003,387482.60000000003,210971.52000000025,508942.63999999984,426448.84,159004.95999999996,233834.84000000023,293656.87999999995,486284.03999999986,65327.00000000003,1024786.4,883139.2400000003,1162879.2400000002,1386892.92,986587.2000000001,821639.88,1159527.56,871045.9999999998,1269986.0,1037437.44,664112.32,657856.5599999998,619422.0,688644.4,518395.80000000005,679044.88,653089.08,667326.68,894718.84,643498.12,1445811.84,1451024.96,1526038.68,1511454.68,1467418.92,1452365.12,1467378.64,1433334.6,1446796.8399999999,1561693.04
26,157510.0,427969.5000000001,271688.0,573476.9999999995,489043.0,190095.5,296449.0,323172.0,567134.9999999999,114366.5,1121173.0,951858.0,1256517.0,1424067.0,1174540.0,856247.0,1240139.5,951888.0,1341990.0,1099377.0,668195.0,662929.0,646846.0,722054.0,625421.0,724709.0,656255.0,671235.0,938272.5,648616.9999999999,1478318.5,1466161.0,1541847.0,1525322.5,1478955.0,1461843.0,1490856.0,1464019.5,1450895.0,1586887.5
27,204459.0,451879.56000000006,324505.84,640243.16,504282.2,191671.84,371943.1600000002,373647.7599999998,609656.9199999999,166426.60000000003,1162948.32,1031548.5599999999,1333991.4400000004,1433309.16,1272467.1199999999,905881.7599999997,1337831.04,1005942.7199999999,1381336.6,1169393.04,686671.56,669334.64,649199.24,779572.0,675690.08,739990.7999999999,658678.8,710014.2,943786.32,649039.88,1498186.36,1508588.52,1561181.6,1569358.8399999999,1497902.12,1475677.32,1501042.36,1468239.08,1455271.4000000001,1597958.3599999996
28,255995.9000000001,489461.12000000005,367568.83999999997,642300.82,520426.4,216397.43999999983,423343.8,433198.9,625451.08,195452.0000000001,1220050.28,1064393.2,1362814.18,1443772.72,1360768.36,949565.8400000001,1372940.62,1059517.24,1386760.2,1233068.84,745827.1200000002,673822.08,650135.56,816832.7,678809.04,792533.8,700168.0800000001,723992.9399999998,991084.2799999998,654199.5999999996,1530412.82,1531126.32,1565857.96,1577386.68,1506213.66,1530914.96,1521396.86,1475160.96,1463072.24,1606215.18
