index,312_1_www.bild.de,312_2_www.bild.de,312_3_www.bild.de,312_4_www.bild.de,312_5_www.bild.de,312_6_www.bild.de,312_7_www.bild.de,312_8_www.bild.de,312_9_www.bild.de,312_10_www.bild.de
21,1951716.0,1965997.0,1767040.0,1986473.0,1946163.4,1959724.4000000001,1949721.8,1990849.6,1810091.2,1781017.8
22,2062963.7,2014115.1,1853351.9,2084246.8,2012223.94,2122422.36,2048417.24,2018127.78,1869698.9200000002,1780318.24
23,2107495.6,2033281.2,1983610.4,2190835.8,2028044.44,2146455.4000000004,2171316.04,2063665.64,2002515.96,1795139.04
24,2233613.9,2214955.2,2008819.7,2209704.4,2076581.4800000002,2204037.92,2192159.52,2192962.34,2020230.64,1825155.3599999999
25,2244702.2,2250665.0,2116921.0,2246409.8,2231275.24,2244714.96,2212332.3200000003,2228536.08,2142816.4,1902516.08
26,2359297.5,2250067.0,2196147.5,2292728.5,2254076.0,2259512.0,2271734.0,2256737.5,2248275.0,1936834.0
27,2392405.8000000003,2301294.4,2220801.2,2326538.2,2290949.28,2298732.440000001,2288031.96,2292013.44,2273802.92,1977100.8800000001
28,2412326.9,2344457.7,2270599.3,2332031.2,2336380.54,2325542.4,2333235.52,2321051.02,2322331.2399999998,2071883.5599999996
29,2423527.4,2369873.4000000004,2308889.4,2351402.4,2418928.84,2368672.16,2360310.04,2419374.76,2352203.96,2078102.2
30,2482976.2,2446974.8000000003,2354331.6999999997,2387730.0,2429007.62,2429492.88,2425075.36,2438752.84,2367353.8,2102983.02
31,2519077.0,2486222.0,2369982.0,2488321.0,2465462.0,2462143.2,2493251.4,2454477.6,2400406.8,2136740.6
32,2551849.0999999996,2499552.4,2389446.6,2510202.9,2489925.7199999997,2485730.96,2508034.6,2509602.98,2448680.1999999993,2158543.42
33,2579115.0,2556466.8,2416112.0,2524250.6,2505806.4400000004,2527895.2,2519781.7600000002,2538358.3600000003,2559501.8399999994,2169964.08
34,2593652.2,2616294.0,2428673.6999999997,2565133.6000000006,2541631.84,2550611.8000000007,2556580.0799999977,2589665.66,2572831.44,2223126.44
35,2606372.4,2626503.6,2471227.4,2599247.1999999997,2612757.4,2618960.16,2632347.2399999998,2629190.64,2670681.08,2244838.3999999994
36,2715775.5,2639771.5,2500940.5,2642875.5,2626298.9,2645000.600000001,2646563.6,2671028.0,2699599.0,2257007.3
37,2726491.2,2708380.4000000013,2534582.6,2676009.7999999993,2670051.3600000003,2689155.96,2686335.28,2708747.8,2728154.36,2286107.8
38,2789091.999999999,2817904.6999999997,2640322.1,2717905.399999994,2758705.84,2727614.16,2764188.52,2838382.6200000015,2749880.84,2296334.4
39,2850479.9999999995,2836790.799999999,2752680.0000000005,2805152.8000000003,2774003.52,2814186.2399999998,2839032.32,2898837.92,2773902.84,2320936.44
40,2950576.7,2988517.8,2845435.9,2881174.2,2952195.800000001,2936057.64,2905686.36,3034056.98,2788352.039999998,2347828.66
41,3004361.0,3040262.0,2859271.0,3003454.0,2981662.2,2971053.4,2920178.6,3045589.8,2808179.9999999986,2444161.9999999995
42,3094911.1,3076996.3,2879443.4000000013,3084910.1,3001996.98,2989208.8,3073636.4000000004,3071007.920000001,2909587.8799999994,2473906.5999999996
43,3168900.8,3088231.2,2891854.8,3092575.6,3060588.56,3148773.72,3118739.44,3152536.24,2936172.04,2487362.56
44,3214546.7,3134972.1999999997,2906010.3000000003,3180051.7,3096066.18,3183585.88,3144849.7600000002,3179166.54,2969699.9199999995,2502613.8000000003
45,3421010.0,3156684.0000000005,2983637.6,3192207.4,3116948.92,3236088.200000001,3195163.199999999,3205656.12,3003114.92,2555668.4
46,3530985.0,3216012.0,3024988.0,3245029.5,3158091.4999999995,3254661.8,3226889.6,3222823.4,3031866.399999999,2885192.600000006
47,3544726.8,3237978.6,3090068.4,3268335.8,3176676.8,3351724.84,3279368.28,3262711.76,3051118.28,3048912.76
48,3584198.1,3268226.9,3133507.7,3298507.5,3265013.06,3442062.04,3294079.72,3358361.46,3080881.44,3116504.6799999997
49,3700339.3999999985,3292685.8000000003,3449031.8000000026,3380352.4,3602540.28,3565589.96,3323650.879999998,3377370.96,3100238.36,3170808.9600000004
50,3869718.5,3465458.1999999997,3512837.4999999995,3637498.799999999,3613172.82,4025324.6399999997,3559444.16,3663884.3,3322617.1199999927,3184784.18
