index,362_1_soundcloud.com,362_2_soundcloud.com,362_3_soundcloud.com,362_4_soundcloud.com,362_5_soundcloud.com,362_6_soundcloud.com,362_7_soundcloud.com,362_8_soundcloud.com,362_9_soundcloud.com,362_10_soundcloud.com,363_1_soundcloud.com,363_2_soundcloud.com,363_3_soundcloud.com,363_4_soundcloud.com,363_5_soundcloud.com,363_6_soundcloud.com,363_7_soundcloud.com,363_8_soundcloud.com,363_9_soundcloud.com,363_10_soundcloud.com,364_1_soundcloud.com,364_2_soundcloud.com,364_3_soundcloud.com,364_4_soundcloud.com,364_5_soundcloud.com,364_6_soundcloud.com,364_7_soundcloud.com,364_8_soundcloud.com,364_9_soundcloud.com,364_10_soundcloud.com,365_1_soundcloud.com,365_2_soundcloud.com,365_3_soundcloud.com,365_4_soundcloud.com,365_5_soundcloud.com,365_6_soundcloud.com,365_7_soundcloud.com,365_8_soundcloud.com,365_9_soundcloud.com,365_10_soundcloud.com
11,404135.2000000001,404622.80000000016,322290.00000000006,267430.3999999999,111266.00000000001,241389.4,248553.59999999998,253233.4,253711.6,247254.0,255030.4,962805.3999999997,399437.0,261721.2,981038.6,315699.2,256346.8,258505.6,280360.3999999999,333680.2,249410.6,194181.60000000003,218676.19999999998,97263.00000000001,106808.6,755612.0,449681.19999999995,501426.0,198307.8000000002,632333.7999999999,256028.6,261261.4,158737.2,94017.6,329515.0,258963.0,94677.8,136855.19999999995,246202.4,162496.0
12,552624.8400000001,454613.24,459423.2,327745.4,211146.72000000018,272574.8,254380.84,256992.39999999994,255805.52,379818.60000000003,256604.6,1252016.8399999999,548531.3200000001,335235.16000000015,1095135.6,501526.5200000001,257937.68,280165.9199999999,476359.87999999995,335653.84,305945.32,398286.88000000006,303868.19999999995,243884.16000000006,208622.40000000002,1073107.6,641106.6399999998,654438.6000000002,249366.44,828334.9999999999,258633.72,262540.48,339008.94000000006,123577.71999999981,395093.88,393572.80000000005,92857.18,233432.44,369393.8399999999,269675.7999999999
13,692556.6,491523.92,569947.92,403399.60000000003,294289.48,494994.2799999999,272350.72,337305.72,261500.12000000014,526680.2,294349.43999999994,1393154.48,735786.9600000001,443529.52000000037,1116024.68,681783.9199999998,271182.3199999999,475021.4800000001,692873.8399999997,413048.55999999994,372240.08,597921.0800000002,445001.52000000025,391551.0000000001,264760.2,1096057.4,860598.4,873039.6,284182.63999999996,1064407.1600000001,258034.48,263037.0,615947.1600000003,268019.3999999998,601200.2400000003,556761.8000000003,232963.36000000004,329607.28,618369.5200000003,363586.9999999999
14,830743.72,556526.04,656245.6000000001,495542.69999999995,394085.52,752256.66,354230.6799999995,415986.86,369023.80000000034,786723.7999999997,492408.08000000013,1412594.64,945061.2800000005,688203.3200000004,1175508.76,963765.84,498043.12,710896.4799999997,950513.1600000003,538774.5799999998,592164.3200000004,824596.8399999997,612176.4599999998,553079.72,383094.32,1177947.0,1056253.28,1070721.6,359065.56000000006,1081279.14,398289.4799999999,416832.48000000004,866794.12,469699.83999999956,826126.4400000001,756638.0,405914.8,481432.36,856733.2999999999,462522.6
15,983193.0800000001,642279.4,747864.24,597273.2,526876.56,995195.1599999993,552938.12,627109.6399999998,507474.1600000001,1012032.1199999996,806844.2399999994,1472205.04,1197248.88,1012000.8800000002,1182895.2000000002,1120173.4,734226.8799999999,945668.4400000002,1101678.44,674625.84,831797.8000000004,1055347.88,801581.52,743693.0800000001,487594.0800000001,1194749.2,1076397.16,1078386.4,543644.3999999999,1094416.6400000001,597362.36,686984.8800000004,986460.16,685162.0399999996,1047175.2799999999,1020718.0000000001,541290.2,752387.0,1087719.68,577367.9999999999
16,1071985.2,710150.2000000001,808284.0,695228.7999999999,695805.3999999999,1076324.1,754521.2,857041.5,717877.0,1260559.2,1081743.3999999997,1477249.6,1387321.7,1296535.6000000003,1235315.8,1132716.2,930504.5999999994,1114504.0,1109366.7,915482.3999999999,1046510.2,1075574.0,890587.9999999998,956671.2000000001,600556.4000000001,1252512.0,1120048.0000000002,1171681.0,706740.6,1180664.1,859685.2,1043118.8000000002,1101135.4000000001,961298.9999999995,1103513.0,1122043.0,724928.8999999998,1024321.8000000002,1107786.3,779763.0
17,1095077.56,792344.48,849580.5200000001,785901.72,801894.68,1083677.16,979813.08,1086697.08,973642.7200000001,1280566.64,1338859.5599999998,1505187.52,1409557.52,1393223.88,1278573.24,1192747.6,1106889.84,1121888.24,1167197.48,1107773.08,1080324.52,1084591.72,1057255.92,1083725.68,799496.76,1291529.4,1172209.24,1179221.8,841352.2799999999,1190221.92,1101369.5999999999,1122178.6,1121560.36,1116092.36,1117958.9200000002,1130731.4,907209.7999999999,1119803.44,1115763.84,1008031.5999999999
18,1101587.16,891012.36,905191.3600000002,880685.6399999999,960140.68,1093470.28,1092918.36,1096581.44,1225050.4,1288467.84,1407560.52,1574278.32,1416061.54,1416013.2,1282574.62,1201883.2,1126888.08,1180526.78,1171594.14,1115222.58,1086210.56,1106247.96,1078077.58,1089355.54,1006363.1599999999,1297408.4000000001,1181666.0,1259005.4,1030986.52,1255948.88,1122021.6,1131615.68,1129360.76,1125762.28,1166894.98,1192524.8,1111948.84,1140700.5999999999,1174852.62,1117527.2
19,1108941.64,942331.0800000001,981459.1600000003,943317.2000000001,1049328.16,1097374.88,1100844.08,1103941.76,1294012.92,1291613.96,1426798.44,1578107.24,1475105.92,1432348.6400000001,1289532.64,1273296.36,1134860.12,1184534.68,1182476.32,1173180.44,1178639.24,1178947.96,1085790.84,1181241.96,1091630.48,1304155.6,1240816.28,1261345.8,1074826.64,1281199.24,1128865.28,1187252.88,1186482.56,1185226.36,1174218.24,1197917.8,1121334.8800000001,1183578.76,1179947.88,1127738.6
20,1153131.0200000007,1003419.4,1062195.8,1003356.1,1063978.12,1105306.2,1107983.38,1114767.84,1301559.16,1300610.88,1480978.48,1581331.44,1479465.42,1479348.76,1309977.32,1290436.72,1188925.32,1194180.14,1267152.06,1179578.26,1182876.52,1184000.12,1168155.0000000002,1185531.78,1099290.64,1320524.0000000002,1263584.68,1273696.4,1080654.92,1284656.38,1188764.68,1191886.32,1191602.12,1190564.86,1182522.96,1242828.7999999998,1156925.5999999996,1190546.96,1187291.18,1183116.4
21,1203529.4,1060955.2,1071204.4,1073753.7999999998,1077098.8,1169651.7999999998,1114141.0,1118208.4,1304442.6,1359679.6,1492497.2,1594020.8,1493747.8,1487323.0,1358935.0,1302599.4,1195657.4,1262401.8,1269622.0,1190223.4,1191145.0,1193840.8,1183149.8,1195020.8,1165472.8,1340888.0,1273988.4,1276345.0,1167832.2,1297048.6,1193082.2,1207687.9999999998,1202206.6,1199489.2,1243913.2000000004,1291563.0,1183886.4,1257323.8,1251255.0,1187305.0
22,1247885.04,1066332.84,1079647.32,1146560.9000000001,1080117.28,1194300.66,1118803.86,1126975.92,1310664.32,1390734.28,1498464.2,1615614.44,1560289.3800000001,1533793.86,1399216.92,1310117.8,1225041.32,1283316.02,1274269.0,1261445.76,1212763.24,1254767.24,1189551.78,1267813.38,1197908.9200000002,1344637.8,1288345.6399999997,1300935.8,1169588.12,1302208.52,1199478.24,1269551.2400000002,1268328.54,1264489.52,1270702.32,1301124.2,1192577.0,1281785.56,1278491.36,1211792.7999999998
