index,292_1_www.commerzbank.de,292_2_www.commerzbank.de,292_3_www.commerzbank.de,292_4_www.commerzbank.de,292_5_www.commerzbank.de,292_6_www.commerzbank.de,292_7_www.commerzbank.de,292_8_www.commerzbank.de,292_9_www.commerzbank.de,292_10_www.commerzbank.de
31,331160.59999999986,470317.6,310725.0,353000.80000000005,393318.0,415626.0,332207.0,449473.2,356759.00000000006,639638.3999999998
32,373723.95999999996,480649.2,318069.0,372453.72,428321.3,456877.44,363429.16000000003,479228.66000000003,390795.88000000006,717976.8
33,431465.7599999998,483250.08,328846.0,420000.4,477209.08,469422.48,400667.52,486004.44,410629.88000000006,800622.28
34,478740.60000000003,501889.19999999995,339554.99999999994,479260.12,482823.74,474911.08,445413.08,490869.1600000001,439091.12000000017,830681.48
35,480304.96,535288.8,354064.6,480964.64,485908.44,485026.84,482400.48,498406.20000000007,479892.56,835180.08
36,490674.0,559021.0,387899.5,485943.2,493681.5,489442.0,485791.6,511485.80000000005,480854.6,859765.0
37,494188.6,576334.52,444383.3999999999,488334.20000000007,496392.68,494746.5199999998,489966.4,526613.72,491879.08000000013,861941.8
38,497385.16,603607.16,462813.0,489401.28,513886.84,517521.76,499540.88,569003.9799999999,498331.92,863546.72
39,521628.16000000003,644443.6,476326.2,501044.2,556397.5199999999,541725.5599999999,514248.0,580469.8,500068.83999999997,866634.96
40,557858.0399999998,711758.9199999998,477525.5,505424.68,584621.1,571745.64,528507.38,610252.56,544591.4000000001,868908.16
41,595225.2,755209.9999999999,487629.0,508118.2000000003,603416.8,596088.3999999997,576688.3999999999,639738.0,583559.0,870642.4
42,637191.5199999999,759927.28,494299.8,533027.9199999999,623040.7199999999,629044.6,594159.36,695841.5800000001,596840.92,874300.72
43,675404.8399999999,769525.84,497261.4,578944.88,632864.72,658768.6000000002,639504.2000000001,741485.6,633044.92,876458.48
44,698987.32,810144.2399999998,521364.5,591278.44,635772.62,697419.16,642618.02,782602.7999999999,673818.5200000003,879435.0400000002
45,732190.6799999999,820574.08,525438.7999999998,616799.4000000001,639341.6,708867.12,673239.1600000001,798008.4,708063.9600000001,882889.52
46,758526.6,827416.2,540647.0,659617.3999999999,650719.8,765335.0,724770.6,830687.0,755005.8,884976.0
47,814717.48,830032.64,566067.5999999997,691733.6,690494.0399999996,822339.8399999999,788223.1600000003,834170.0,775235.24,887185.72
48,830706.2,841222.16,584897.5,738073.9600000002,727354.3,825045.16,805020.2,853043.04,813009.4000000001,889495.04
49,839787.44,852242.44,613585.7999999998,742920.12,781151.1200000001,842538.3200000001,840684.8400000001,858725.44,833484.0,892300.8
50,856073.72,857798.5599999999,627829.5,776055.6400000005,797376.7599999997,849479.28,859072.7,858800.08,853394.84,894654.08
