index,99_1_www.paypal.com,99_2_www.paypal.com,99_3_www.paypal.com,99_4_www.paypal.com,99_5_www.paypal.com,99_6_www.paypal.com,99_7_www.paypal.com,99_8_www.paypal.com,99_9_www.paypal.com,99_10_www.paypal.com
27,328010.84,292290.8,340810.8,734763.6,390299.7600000002,304985.64,285606.4,726308.24,284849.88,478369.39999999997
28,401782.32000000007,304529.58,375590.52,748658.66,429052.60000000003,316603.64000000025,294456.0,746429.96,287861.26,518307.80000000005
29,446511.04,311925.5999999999,437003.92000000004,771397.56,497352.56000000006,357217.72000000015,307720.4000000001,774820.28,311497.92,581995.8000000002
30,453882.36000000004,348683.32000000007,506230.6,792981.98,519345.84,405411.96,325757.00000000006,776587.88,312560.76,650092.04
31,461665.4,382647.0000000001,552617.7999999999,809759.4,562092.8000000002,446855.00000000006,343283.0,779145.2,321161.00000000006,676998.4
32,463309.52,406423.36000000004,579130.92,840895.04,659606.72,510731.24000000034,377509.00000000006,791849.32,362499.83999999997,678173.5599999999
33,466243.36,457447.12,608131.5199999999,874040.3999999999,685623.4,553051.32,420645.0,836029.72,409531.1600000002,681866.24
34,469418.76,470630.5,643098.2,871526.6399999999,695607.98,607605.68,449015.19999999995,867715.9199999998,478641.1200000001,683155.64
35,472341.52,473249.36,651414.76,874171.08,696909.32,646118.8799999999,484826.00000000035,882627.48,526722.3999999999,696529.84
36,478085.6,487727.9,653311.2,873345.7,700094.9,674633.6,518585.0,888403.8,545566.8,700218.2
37,478228.60000000003,489351.44,657129.72,878371.68,701205.96,676159.16,556978.2000000004,886650.64,553288.6000000001,705058.64
38,484982.32,494271.0,695485.32,881662.0800000001,701635.44,678789.88,632127.4,894948.64,621212.08,704744.84
39,486983.56,501527.64,698400.16,890160.9199999998,701845.7200000001,679847.4000000001,634630.6,924816.6000000001,668486.24,703523.76
40,494575.7200000002,517125.94,703224.96,892288.02,712770.2400000001,682744.84,638172.6000000001,980761.2399999999,667576.96,723382.12
41,530664.0000000001,517147.6,704467.8,894577.4,726471.6,690328.8,640363.0,997569.8,668693.4,724309.0
42,550544.04,525257.0599999999,711368.6,904870.38,726896.14,696113.84,665937.5000000002,1002395.6,672489.68,724016.84
43,553235.64,528013.5599999999,736342.5999999999,916788.12,736099.88,696975.12,671343.8,1007400.44,679296.32,735519.16
44,554766.56,531550.72,765102.64,947548.7999999998,744869.14,698060.08,673730.2,1009534.36,690725.5200000001,791126.5599999998
45,562596.24,533446.56,784186.32,971018.52,753649.12,702383.8800000001,679578.6,1013677.7199999999,697269.84,807490.5599999999
46,564811.0,536071.2,792170.6,973025.6,781353.7000000001,723039.6,680723.5,1016207.6,702405.2,807849.4
47,575048.88,537378.52,793170.08,979942.3199999996,804646.0800000002,724387.76,714559.4,1020385.48,700982.08,816527.84
48,585718.92,537869.82,794890.76,1016988.14,868150.4800000007,732282.2000000002,740178.2,1022894.5599999999,702170.74,832034.72
49,589532.24,583343.64,805824.92,1022335.6,889426.88,735681.84,749090.0000000001,1028533.92,704820.8,835374.44
50,601694.6000000006,604976.4400000002,804695.6799999999,1025206.38,893781.7,736875.2000000001,761833.7,1040099.64,717373.4,851183.8
