index,226_1_www.gmx.net,226_2_www.gmx.net,226_3_www.gmx.net,226_4_www.gmx.net,226_5_www.gmx.net,226_6_www.gmx.net,226_7_www.gmx.net,226_8_www.gmx.net,226_9_www.gmx.net,226_10_www.gmx.net,227_1_www.gmx.net,227_2_www.gmx.net,227_3_www.gmx.net,227_4_www.gmx.net,227_5_www.gmx.net,227_6_www.gmx.net,227_7_www.gmx.net,227_8_www.gmx.net,227_9_www.gmx.net,227_10_www.gmx.net,228_1_www.gmx.net,228_2_www.gmx.net,228_3_www.gmx.net,228_4_www.gmx.net,228_5_www.gmx.net,228_6_www.gmx.net,228_7_www.gmx.net,228_8_www.gmx.net,228_9_www.gmx.net,228_10_www.gmx.net,229_1_www.gmx.net,229_2_www.gmx.net,229_3_www.gmx.net,229_4_www.gmx.net,229_5_www.gmx.net,229_6_www.gmx.net,229_7_www.gmx.net,229_8_www.gmx.net,229_9_www.gmx.net,229_10_www.gmx.net
23,1472286.8,1460982.52,1271076.08,1292745.0,1268060.88,1318653.76,1334004.12,1269536.84,1497434.1999999995,1500250.92,1005322.0,884852.48,885702.84,845977.56,919478.16,1049357.32,960583.96,836753.24,786384.0,787007.9999999999,73155.19999999997,46337.6,99044.12,61359.2,38686.40000000003,42520.0,55039.679999999964,59819.840000000004,159553.0,56150.0,53682.56,47584.52,42324.52,66882.40000000002,151298.59999999992,191349.6,197432.91999999995,48292.44,65432.0,78720.4000000001
24,1485968.48,1474353.5599999991,1287760.62,1308010.3,1280966.16,1432988.54,1441621.16,1274362.32,1543751.48,1539220.3600000003,1023561.0,884748.64,899921.42,852888.34,933010.78,1057112.4,972693.36,865193.46,844757.3,803308.6799999996,121100.55999999997,52433.000000000015,133356.62,115407.91999999997,38354.98,44979.0,59189.52,59108.200000000004,162258.0,128184.8,58468.880000000005,51225.39999999999,42405.020000000004,138709.34000000005,177372.6,204519.36,202460.13999999998,48127.159999999996,64821.00000000001,148178.58000000002
25,1572093.64,1494274.8800000001,1301149.72,1331462.0,1300205.5999999999,1450839.56,1473497.76,1291583.24,1650278.8800000001,1638897.5600000003,1034033.0,901621.76,906906.4800000001,859115.04,947999.72,1064786.16,977085.24,863531.32,847009.6,846768.08,154928.67999999996,51990.399999999994,163672.96,163877.28,42379.48,49371.0,61020.72,61066.4,167722.0,156913.4000000001,58132.56,55546.84,47107.16,165993.52,180694.7999999999,238965.08,211485.91999999998,65822.88,129877.40000000008,151095.56
26,1653549.5,1540409.5,1326927.0,1348126.5,1334251.0,1502956.5,1531244.0,1301369.0,1682139.0,1652769.0,1048671.0,916956.9999999999,929391.0,864243.5,952299.5,1131530.0,996516.0,868682.5,847690.5,852843.0,157935.0,60359.0,165455.0,167956.0,50995.0,54071.0,62522.0,133010.0,172308.0,160479.0,116373.0,57313.5,91212.0,176804.0,188408.0,239006.5,232606.0,125279.0,183802.5,167889.0
27,1744147.36,1711420.9599999976,1429392.76,1369237.399999998,1341840.92,1550570.12,1536036.48,1337052.64,1692625.44,1685314.4400000002,1077174.0,917861.92,952168.72,876227.48,959763.12,1171406.76,1000243.3999999999,872385.68,851118.2,856980.44,161709.32,102932.99999999972,169606.88,171836.28000000003,67214.4000000001,55123.0,72956.47999999998,164783.68,171068.0,164066.4,160267.4,70058.28000000001,149415.16,182921.68000000005,226344.4,237835.08,254446.16,159265.6,186483.6,169398.44
28,1755903.22,1751491.82,1488423.72,1486521.4,1428534.72,1645750.38,1552616.2000000011,1460806.68,1721173.36,1710178.76,1116906.0,949081.12,956142.02,885616.2199999996,969703.2000000001,1168261.88,1031459.56,872154.34,860668.3999999999,861421.52,171322.28,140768.9,170698.46,170619.08000000002,119565.47999999998,90997.0,138022.24,166321.60000000003,170101.0,166123.4,176809.82,130210.76000000008,152422.6,195621.32000000007,225575.6,238745.48,281993.18,159100.56,196333.0,200396.12
29,1768799.12,1758688.8,1524354.44,1567680.5999999999,1470884.4799999995,1661017.76,1641885.24,1506201.48,1766863.28,1730177.04,1127756.0,955456.8,964676.32,897595.08,972451.3599999999,1183130.28,1036710.32,885000.24,862296.6,867231.28,172788.24,159737.80000000002,179240.08,173438.19999999995,153033.7200000001,134019.0,166367.56,170403.56,194297.0,168239.2,178703.84,177192.48,168931.48,213017.96,224553.2,349664.72,285858.1600000001,174914.88,204416.6,207597.52
30,1793735.12,1787543.28,1660018.56,1650020.9,1552271.28,1730157.42,1653903.72,1554917.48,1779791.28,1781929.5200000016,1130545.0,957469.7999999999,972746.14,904600.72,990315.18,1204233.92,1054724.34,893690.62,861080.2999999999,874748.8,175772.88,164668.2,184114.98,193261.83999999994,160163.9,133606.0,169467.92,173761.08,246115.0,192281.8,177647.38,186944.62,170702.94,221692.44,223627.8,391221.31999999954,337264.91999999987,177686.91999999998,221660.30000000005,206602.26
31,1797162.2,1797472.0,1683466.6,1733370.0,1561752.2,1772736.2,1755238.5999999999,1562733.4,1807417.4,1874852.8,1136920.0,967210.0,974672.0000000001,919289.4,996490.7999999999,1214732.2,1064736.8,895200.2,885299.0,882087.8,178822.0,166548.0,184898.0,247187.8,160905.6,163469.0,174506.0,183998.2,245151.0,191406.0,187251.60000000012,186957.99999999997,175775.99999999997,220657.8,258318.0,489091.19999999995,446081.3999999996,179621.4,241723.0,205584.4
32,1838657.02,1817576.34,1708304.98,1769486.5,1666603.52,1780403.5600000003,1763132.64,1660173.8,1844923.56,1881771.28,1139092.0,968249.1799999999,992743.28,919137.12,1024030.66,1211898.06,1069653.46,909413.24,890604.2,885452.84,183263.51999999984,168397.4,200268.95999999993,246763.71999999997,162565.14,165224.0,173726.24,183131.96,288086.0,212716.60000000015,218477.46,196856.42,181071.2,219689.48,313937.3999999999,497887.08,503153.14,200971.32,272521.9000000001,204549.6
