index,283_1_www.ing-diba.de,283_2_www.ing-diba.de,283_3_www.ing-diba.de,283_4_www.ing-diba.de,283_5_www.ing-diba.de,283_6_www.ing-diba.de,283_7_www.ing-diba.de,283_8_www.ing-diba.de,283_9_www.ing-diba.de,283_10_www.ing-diba.de
18,109691.96000000002,72310.5,75381.46,113347.94,83575.16,77055.09999999999,74479.14,77100.9,72119.2,125050.76000000013
19,147221.56,81678.0,73006.64,148218.08,85375.56,75786.2,77678.04,77679.4,77563.2,141644.24
20,164197.08,81156.5,97803.27999999985,186823.55999999997,102667.59999999995,77803.1,82495.02,75453.1,78663.0,159311.16
21,214606.7999999997,79776.0,150368.6,244347.1999999998,108960.6,114866.0,120234.2,79048.0,81469.0,161122.2
22,245140.39999999997,82651.5,179506.18,300273.36000000004,154239.19999999975,144516.5,157687.12000000005,101355.9,132175.40000000002,168558.16
23,250961.48,85348.0,179194.19999999995,382537.84,213276.43999999992,177749.99999999994,190943.2,126269.99999999988,209047.60000000003,174341.52000000002
24,301269.19999999995,113276.0,204930.71999999997,438440.98,270861.8399999999,227817.4,225334.80000000005,164991.4,278763.60000000003,220684.88000000006
25,322127.80000000005,131273.0,260919.71999999997,503838.7200000003,352841.07999999996,295215.4,260972.72,187538.40000000002,338746.2,316547.64
26,368245.0,189342.5,334195.0,569966.5,415255.0,318461.9999999996,321972.0,194907.49999999983,393122.0,388660.00000000047
27,444380.99999999994,217596.0,377333.12000000005,588316.6,494215.32000000007,340575.0,424071.8000000005,241356.5999999999,442375.4,482797.2799999999
28,514032.9199999999,238596.0,449769.92000000004,643747.36,561584.52,385014.9999999998,491730.7600000006,286327.19999999995,530237.4,548576.7600000001
29,584779.2,295439.0,535721.4400000001,700323.04,585214.9600000001,460179.59999999945,555467.28,350699.6,589351.0,569257.2000000003
30,639720.7999999999,324793.0,575470.9599999998,733918.5399999999,593387.6399999998,568829.1999999996,576024.16,400131.9999999999,639132.8,583826.6
31,721701.3999999996,383822.0,602304.7999999998,782761.2,642880.7999999997,589347.0,594843.6000000001,473731.0,671801.0,605167.8000000002
32,782004.28,429672.0,643281.84,787752.32,679240.9599999998,612241.6,651368.24,564362.3999999999,733816.4000000006,680190.4400000001
33,795304.72,459992.0,673982.48,807542.76,712908.32,636171.2,686170.28,581372.2,799930.0,742960.4400000001
34,810028.9599999998,525853.0,723601.5599999999,859222.7000000001,764389.5599999999,662826.7999999999,716321.3200000001,603260.9999999999,846330.3999999999,806190.88
35,880087.68,572239.0,783188.4,920857.2,804341.6,727079.1999999997,748140.36,675004.7999999992,899560.8000000003,856952.8000000002
36,920441.7999999998,593963.0,810058.8,943901.0000000001,855312.7999999999,784408.0,780063.3,747169.5,935862.0,906268.8
37,934621.52,608673.0,809671.6000000001,956119.68,897896.12,812080.4,809660.88,794781.7999999999,940558.7999999999,929272.68
38,979992.68,647054.5,829999.2,991634.62,941759.76,812530.5,869239.14,814022.1,980643.2,949769.2
39,990696.44,724041.0,849212.7999999999,1004177.44,983595.56,828977.9999999999,919636.6800000002,829741.9999999999,991649.0,955785.64
40,997308.76,785473.5,870282.3999999999,1005520.64,991507.5999999999,849056.9999999999,973894.52,854509.4999999998,998881.4,985636.12
41,998508.2,819470.0,889138.0,1023283.8,998877.0,867157.0,976802.6,903263.0,999704.0,992083.4
42,1014970.96,835047.5,906337.0,1032578.3,1009768.6,920853.5,982198.08,923113.0,1017344.8,993276.88
43,1028256.8799999998,884205.0,967082.48,1036859.96,1029241.96,929624.7999999999,996497.84,955189.0,1026841.6,992657.8
44,1032908.9600000001,915529.5,980986.62,1041139.5,1031123.56,990704.7000000001,1000083.8,992224.9,1031767.2,1010919.2
45,1035195.36,941439.0,994318.3999999999,1051495.64,1038748.56,991891.8,999619.16,998626.7999999999,1044044.0,1020430.88
46,1034423.6,949208.5,999018.9,1069609.2,1039519.6,999001.5,1016914.8,1000452.0,1042670.0,1036055.0
47,1040746.36,957780.0,1000441.28,1070584.76,1040979.44,1000570.6,1027017.28,1000302.8,1039209.4,1037467.56
48,1044285.8799999992,999410.0,1001501.34,1074257.52,1051903.72,1014103.1999999998,1028082.74,1019297.2,1043797.8,1041222.5200000003
