index,40_1_en.wikipedia.org,40_2_en.wikipedia.org,40_3_en.wikipedia.org,40_4_en.wikipedia.org,40_5_en.wikipedia.org,40_6_en.wikipedia.org,40_7_en.wikipedia.org,40_8_en.wikipedia.org,40_9_en.wikipedia.org,40_10_en.wikipedia.org
16,23842.9,8426.9,4712.2,8030.7,4108.799999999999,7870.0,17159.6,4108.799999999999,7096.4,7949.999999999995
17,27804.6,8397.880000000001,4590.5199999999995,12706.680000000004,6600.36,8549.0,24401.4,6600.36,6673.88,12623.399999999998
18,62166.95999999996,10372.2,4729.96,12431.22,6977.08,7831.5,25324.800000000003,6977.08,6531.96,17329.139999999996
19,74457.56000000001,12784.12,4727.7999999999965,12205.200000000008,6586.84,11702.0,51844.400000000016,6586.84,6780.68,17218.76
20,77882.9,12302.56,7237.559999999998,14071.44,6581.88,14458.0,63238.600000000006,6581.88,7931.28,16897.420000000002
21,77637.8,12459.6,7168.2,16949.2,6306.4,17398.0,87415.4000000001,6108.4,11460.000000000005,16865.8
22,99778.23999999999,12117.72,6788.88,18004.880000000012,6611.36,17213.5,99458.44,5698.039999999998,12576.48,18486.959999999995
23,102839.20000000001,16164.679999999997,6837.36,24469.88,8396.799999999992,16783.0,100732.79999999999,6196.4800000000005,12215.68,24777.68
24,141092.30000000002,19494.58,6587.04,23990.42,9985.84,17964.0,107047.2,7397.84,13527.800000000007,24030.22
25,171846.11999999994,19087.04,6051.4400000000005,23828.76,12863.48,24150.0,113326.11999999998,10020.600000000002,13979.16,23806.36
26,184202.0,18884.5,6418.0,26201.0,12390.0,23830.5,157462.0,14389.0,16906.0,49887.0
27,203013.88000000006,20885.600000000002,9487.6,43077.12000000008,12205.960000000001,25725.0,206525.52000000002,17190.96,17036.359999999997,57035.75999999998
28,237277.7599999999,54578.839999999895,11248.04,64803.36000000005,11848.92,48098.0,246010.08000000002,17043.44,21391.360000000015,65264.520000000004
29,245880.92,78977.84000000001,14226.159999999996,73567.56,12222.199999999993,65502.0,248068.15999999997,16926.84,24183.8,77837.27999999998
30,247647.18,94531.64,17488.96,81024.6,14006.76,76791.5,248425.72,16594.12,23919.44,87329.6
31,248380.4,94263.4,17342.4,98546.60000000002,16581.600000000002,78286.0,249184.59999999998,16682.8,25133.60000000002,95225.59999999998
32,267487.58,94705.3,17222.92,99294.02,16860.76,78015.5,249967.08,17376.4,41237.40000000006,99906.34
33,271914.48,96108.2,16940.24,99763.40000000001,22848.719999999998,96439.0,251082.44,23181.719999999998,60894.36000000004,99407.84
34,271583.32,98325.78,17019.12,103359.94,24404.920000000002,103091.5,270735.12,24065.920000000002,78923.8,101426.85999999997
35,272103.68,97915.56,19742.319999999985,102410.48,24087.96,102637.0,270946.48,23748.96,80651.44,103138.24
36,273930.0,100005.9,24319.600000000002,106211.0,23869.2,104710.5,272361.8,23530.2,98935.79999999999,105282.99999999999
37,275376.0,99972.72,24023.96,125237.32,37103.60000000002,104750.0,274151.4,25347.400000000005,99221.08,118395.11999999994
38,275943.82,99498.52,23809.56,143815.91999999998,45636.4,103983.0,276721.4,28322.800000000003,98998.2,143128.53999999998
39,277655.24,102775.8,25456.799999999992,147970.2,46352.2,108328.0,277468.48,47718.23999999999,103337.56,150771.95999999993
40,277734.4,114567.87999999992,44785.759999999966,152193.6,48180.71999999998,115947.5,278175.2,60003.479999999974,102810.04,180862.55999999994
41,277933.8,128346.4,51265.80000000002,183421.8000000002,58743.6,123690.0,277979.2,78008.19999999998,104570.8,184405.4
42,279792.4,140732.12,57738.59999999999,188400.4,59533.32,126784.0,279686.6,79707.4,108123.6,188928.4
43,280484.84,161518.96,76955.56000000001,208733.2400000001,59346.8,134079.0,279543.04,82363.11999999995,131754.08,213925.07999999996
44,280183.52,185484.52,78762.48,226414.24000000002,61254.19999999999,150029.0,283029.52,96375.27999999996,142838.72,226229.19999999998
45,281886.48,190768.4,78332.44,235419.32,83650.83999999994,167471.0,285394.39999999997,97479.76,145910.40000000002,232304.51999999996
46,282726.6,221344.59999999995,78148.6,246789.1,91255.80000000003,206126.0,286748.4,99040.4,158817.60000000015,246903.1
47,282260.28,236803.67999999996,78141.68000000001,248644.52,96794.52000000003,233197.0,286833.12,98853.4,182236.16,248743.72
48,284184.74,243091.02,86846.47999999995,248454.06,103125.76,248097.5,288227.96,100499.8,186091.2,248599.66
49,283723.63999999996,243303.84,100212.48000000001,248429.52,102499.52,247643.0,288903.12,102952.84,216775.04000000007,248970.44
50,285668.58,244800.1,102902.36,249848.59999999998,110404.40000000002,249712.5,290592.08,102853.44,221682.56,252179.19999999984
