index,82_1_www.mozilla.org,82_2_www.mozilla.org,82_3_www.mozilla.org,82_4_www.mozilla.org,82_5_www.mozilla.org,82_6_www.mozilla.org,82_7_www.mozilla.org,82_8_www.mozilla.org,82_9_www.mozilla.org,82_10_www.mozilla.org
25,290246.5999999999,274960.92,338510.91999999987,257323.52000000002,391286.92,270611.68,318719.4,389033.4,393419.72,267128.24
26,303828.0,281438.5,386440.0,256413.5,446328.0,272751.0,320680.5,389545.5,443560.0,271282.99999999994
27,302748.0,319470.43999999994,386794.6,255916.76,475430.72,289021.76,359387.4,406938.2000000003,468997.6,273273.8
28,304557.2,331659.63999999996,405726.84,261628.22,488653.84000000026,339296.08,362220.0,447633.30000000005,480380.6,310745.67999999976
29,306239.8,371560.0,426133.56,263249.32,550870.6400000001,389525.12,391280.4,476505.0,508173.92000000004,366560.87999999983
30,306359.6,390235.54,457243.7,265585.74,586886.68,389581.6,452262.4000000002,480373.0,532341.4799999997,389385.6
31,305922.0,396226.0,474378.0,270835.19999999984,667321.2000000001,391219.0,479420.0,510500.0,582708.2,390727.0
32,305399.0,421110.36000000004,478290.78,331906.84,709437.5200000003,424579.12,482638.4,555422.9,626372.7199999996,422787.04000000004
33,333942.39999999997,465189.75999999995,495266.36,385160.1999999999,778240.72,464432.63999999996,486652.0,563918.6,650577.6799999999,468992.91999999987
34,365671.9999999999,477044.4,521826.07999999996,389773.42,781652.28,480638.84,520957.0,570434.0,705097.48,477447.6
35,396646.59999999974,480973.44,530440.04,391095.44,780874.68,497348.96,561004.0,598881.8000000002,726187.76,480563.44
36,426186.0,494253.19999999995,559204.5999999997,407679.3999999996,784219.4,526049.1999999998,596707.0,636027.0,750673.3999999999,494073.8
37,464402.39999999997,538764.5199999999,582575.1599999999,456085.2,824204.28,568418.3200000001,635658.0,655795.2000000003,762197.4799999996,559193.1199999999
38,478563.4,572036.4,603395.96,480093.74,828623.88,603898.7999999999,676949.6,705286.4000000001,785438.08,612039.6399999999
39,483985.59999999986,608308.68,633171.2799999999,481011.8,830314.64,671983.7600000002,747834.2,743567.8,785244.28,647759.24
40,531725.5999999999,654414.44,641726.1199999996,506566.95999999996,833104.88,738205.72,754979.3,774708.2000000002,827090.42,697663.6399999998
41,554857.0,687443.3999999997,695760.4,524777.0,836686.0,782042.2,758090.0,785497.0,829662.6,722784.2
42,567806.2,738811.4,721860.76,568256.1999999997,839678.04,783691.88,763206.0,785198.9,831312.78,747893.08
43,597988.2,770295.5199999998,751514.92,603845.32,856955.16,786214.36,790969.4,815560.0,832983.7999999999,766512.6399999999
44,614684.6,785987.36,778174.6199999998,635150.1199999996,858865.52,786766.32,793580.9,825035.9,836119.42,778424.2399999999
45,655957.7999999998,785916.8,783496.84,686656.48,860455.32,825155.2399999999,808795.0000000001,828374.8,854039.6,785398.32
46,680878.9999999999,787949.2,783420.1,711299.7999999997,863032.4,828865.4,835546.5,831402.0,853417.1,784521.8
47,708555.2,788732.88,786165.76,775404.8,864628.72,830083.12,836792.0,831655.6,854961.68,787410.96
48,745157.7999999999,813655.24,790153.3999999999,782512.4400000001,865252.28,832850.4,840032.8,834619.6,857507.58,790196.2
49,754251.0,830390.36,828224.96,784363.88,866690.44,832728.76,839969.6,845550.0000000003,859301.84,828449.1599999998
50,780837.0,831932.3,829782.32,785281.2,867214.32,835886.68,842509.5,854077.6,859808.02,830104.76
