index,300_1_www.wolframalpha.com,300_2_www.wolframalpha.com,300_3_www.wolframalpha.com,300_4_www.wolframalpha.com,300_5_www.wolframalpha.com,300_6_www.wolframalpha.com,300_7_www.wolframalpha.com,300_8_www.wolframalpha.com,300_9_www.wolframalpha.com,300_10_www.wolframalpha.com
27,111207.32,131675.0,115813.16,106803.40000000001,156302.36,117894.08,112318.08,128119.6,125143.36,128764.4
28,111979.51999999999,131273.0,120581.68,111830.42,160130.28,118864.56,118714.48,133819.80000000002,128205.62,126183.40000000001
29,115841.63999999991,131909.0,124493.52,112763.12000000001,171803.32,119464.31999999999,120224.23999999999,138147.2,141324.92,136610.19999999998
30,123052.51999999993,144086.0,126780.94,112839.34,177996.08,123051.32,126451.68,140405.19999999998,141161.88,146161.80000000002
31,128149.4,142070.0,133275.4,113911.40000000001,187804.4,127005.59999999999,133382.2,154181.0,154670.0000000001,150520.0
32,141625.24000000002,157702.0,155185.44,115431.22,193581.0,128233.32,139781.12,151520.6,162114.98000000013,154466.2
33,138529.28,164179.0,156706.64,121889.84,197731.56,126654.96,155433.72,158570.6,166009.52,164716.6
34,141421.76,164866.0,163269.39999999994,123672.18000000002,204126.16,124869.23999999998,169780.44,168245.4,177939.74,169781.19999999998
35,152331.24,165383.0,166413.12,124757.56000000001,216150.36,141411.56000000003,167776.80000000005,168414.4,183681.92,172586.80000000002
36,155200.6,174400.0,183475.40000000002,131799.09999999971,237133.20000000007,156598.2,182290.8,188659.0,222495.80000000008,185809.0
37,163502.60000000003,196117.0,188391.24,136921.1199999999,238830.72,162320.76,185766.20000000004,207381.00000000006,225260.64000000004,189321.4
38,180905.63999999964,228250.0,201163.37999999995,157756.09999999995,235829.04,160390.35999999996,217061.96,228354.60000000006,228302.54,187558.00000000003
39,208924.7599999999,236674.0,224333.96000000002,164874.28,245023.64000000004,185798.08,238842.44000000003,242848.8,240172.20000000007,212097.4
40,221008.84,257040.0,253896.1399999999,163530.60000000003,275140.8000000002,201433.84,255492.28,267317.00000000006,262679.96,227392.8
41,236293.6,273421.0,264094.8,185440.99999999997,291755.00000000035,227114.0,270985.00000000006,273818.0,275237.6,240401.0
42,242407.88,305527.0,283214.12,218195.03999999998,318881.8,254050.4400000001,296599.04,279930.6000000002,285238.98,245397.80000000005
43,264932.5999999999,327640.0,309602.35999999975,232739.76,335193.84,274284.60000000003,301513.08,303217.2,286301.8,269327.4
44,299955.88,353095.0,330215.86,240170.04,342993.52,293768.44,308229.4000000001,318512.8,306560.18,298295.20000000007
45,327989.1199999998,358206.0,334378.04,241874.03999999998,351602.2,314615.68,334405.36,328670.6,314008.16,302744.2
46,338325.8,357114.0,337454.7,256178.6,365099.20000000007,323147.8,337191.60000000015,332087.0,331878.7,318047.0
47,344228.8799999998,359700.0,347130.48,284036.19999999995,367857.6000000001,332511.79999999993,345281.76,339275.6,339276.4000000001,315576.19999999995
48,358414.88,368159.0,356948.78,297651.16,389788.44,363946.72,354032.68,343763.0000000001,358033.08,322010.00000000006
49,359002.76,373734.0,363056.1999999999,323102.56,390974.32,368108.84,356764.6,348526.8,360515.5200000001,358165.60000000003
