index,214_1_www.iso.org,214_2_www.iso.org,214_3_www.iso.org,214_4_www.iso.org,214_5_www.iso.org,214_6_www.iso.org,214_7_www.iso.org,214_8_www.iso.org,214_9_www.iso.org,214_10_www.iso.org
20,79038.36,100839.07999999999,102649.44,102507.96,73422.2,84758.14000000004,73776.3,101716.64,75491.40000000001,161828.58000000005
21,92095.6,148457.6,102399.99999999999,101013.8,74554.0,94390.79999999993,76643.0,136563.6,91568.6,267940.6
22,92737.08,181586.48000000007,155387.39999999985,136635.9199999999,78290.00000000003,101752.86,96070.4,169626.88,95922.4800000002,341233.1800000001
23,99591.8,228276.3199999999,231516.51999999981,206511.64000000004,95856.80000000002,141242.31999999998,102388.2,204887.12,129440.68,366228.44
24,173604.72000000003,285414.84,303934.76000000024,277549.32,129811.5999999999,193434.04000000007,137479.9,275626.87999999966,170908.2800000001,380578.36
25,206646.12,361460.52000000025,366370.76,319292.47999999975,136036.4,267558.76,169450.8000000002,353637.87999999983,173937.56,377938.44
26,282974.0,403801.0,400398.0,374708.0,179764.0,300154.0,227164.5,429882.0,185361.0,393761.0
27,370548.2,448581.96000000014,449107.16,435983.8799999999,205206.00000000012,351921.72000000015,274154.2,474805.2799999999,219897.24,404582.6
28,430345.63999999996,496595.95999999996,449240.76,493393.2,279986.00000000006,403935.77999999997,314404.7,495013.8,256488.48,441905.55999999994
29,472403.12,570916.68,473595.43999999977,494322.04,330681.3999999999,461687.4000000001,379209.5999999999,496353.2,314091.19999999995,453614.64
30,473917.52,572414.28,497036.7,519747.98000000004,379987.2000000001,513517.79999999993,458758.90000000014,571588.44,389946.4800000001,469987.44
31,532078.2,586063.0,539772.6,574348.0,434037.0,526884.0,494689.0,590589.2,443976.8,498769.4
32,562433.9199999999,629499.8799999999,579492.68,635538.88,465613.4000000001,587963.9599999998,550283.2000000002,615782.6,477836.5600000002,518830.8800000003
33,597911.7999999999,706827.56,623791.84,702499.12,494250.80000000005,597527.52,587229.4,681180.16,525303.88,564169.36
34,680067.64,711667.92,664559.2399999999,711912.42,559003.8,609867.72,587275.1,738079.88,565219.24,608321.4799999999
35,714453.28,738265.04,737671.1999999998,738420.2,587129.8,663914.5200000004,613969.0000000001,739832.88,588023.32,676561.2400000003
36,746307.8,739897.2,738005.4,740149.3,586964.0,734321.9000000001,639498.5,741509.8,589084.0,700617.1
37,745180.44,738457.84,738805.28,741816.52,590566.8,744918.12,657644.0000000002,740157.96,590820.84,729479.08
38,746289.4400000001,740246.84,740705.96,740857.46,590896.6,745940.34,710887.2,742544.32,611381.3600000002,741095.28
39,748860.76,744329.16,745070.76,742729.84,647097.3999999999,747383.16,712694.8,745754.16,648296.96,741946.16
40,752584.08,743892.32,744596.62,744201.18,672762.8,748962.02,739438.1,748115.28,701799.2800000001,747431.92
41,751891.8,745522.2,744924.8,748767.0,723607.0,750563.8,737946.0,755801.7999999999,738866.2,748395.4
42,751205.32,748814.08,752206.18,757858.4400000001,738130.8,752897.98,739760.3,755627.52,740321.28,750029.98
43,758169.8,758990.52,762944.72,763476.28,736745.2,755655.76,744141.4,760518.7999999999,739652.88,750929.44
44,774484.32,762668.8,767432.82,766169.46,738171.6,768428.58,743244.9,761033.84,738083.36,751829.34
45,775810.24,773694.96,766460.3999999999,768818.96,742543.8,769964.4,746984.8,765458.16,741688.52,762907.72
46,781497.8,772237.6,790195.6000000004,794798.5999999997,744421.0,780986.2,748594.5,808068.8,745965.6,775794.7000000001
47,780058.32,788162.4000000001,857839.88,850525.08,744365.4,781082.56,748483.3999999999,870753.96,746068.2800000001,779641.04
48,787528.92,812053.88,882510.1600000003,874950.8,745596.4,778594.2,755074.9,912369.7999999999,751943.56,781193.22
49,824660.64,858564.4400000001,930398.8,893350.9599999995,745087.6,822628.7600000007,766038.2,936378.28,750224.12,827670.8400000002
50,872711.6799999999,865117.12,939888.7,937046.6,749933.0,870675.8000000002,764781.9,939003.6,755378.32,872206.6000000002
