index,120_1_www.skype.com,120_2_www.skype.com,120_3_www.skype.com,120_4_www.skype.com,120_5_www.skype.com,120_6_www.skype.com,120_7_www.skype.com,120_8_www.skype.com,120_9_www.skype.com,120_10_www.skype.com
31,1175666.0,1255005.0,1096341.0,1169881.9999999998,1094066.0,1266956.0,1000032.0,1025631.0,1000594.0,1242636.4
32,1223481.48,1351680.6400000001,1187673.080000001,1225804.5999999999,1127176.0,1362320.0,1092316.36,1104365.0,1019234.3,1297214.28
33,1266795.5999999999,1409242.5199999993,1289995.76,1283904.2399999998,1214408.0,1433936.0,1191168.68,1186794.0,1016145.2000000001,1390219.36
34,1291216.24,1509624.8399999999,1374596.8,1315931.14,1293908.0,1530004.0,1318677.4799999997,1275017.2,1065626.8,1468491.48
35,1398265.2,1645794.2399999993,1472947.9199999997,1399031.5599999998,1368562.0,1583560.0,1366966.56,1368133.4,1137270.0,1584213.4800000002
36,1446124.4,1727281.9999999998,1630917.8000000012,1457271.4,1464616.0,1647442.0,1467075.0,1463685.0,1228236.0,1646735.4000000001
37,1510786.3999999994,1809011.2,1726516.92,1553990.32,1563487.0,1736169.0,1623534.3600000003,1559146.9999999998,1365793.0,1737963.16
38,1628092.4400000002,1864256.4200000002,1776582.2,1685169.3599999999,1696343.0,1792021.0,1734385.72,1670209.8,1449208.0,1819836.4
39,1694925.1199999999,1952668.5999999999,1818223.32,1781908.3599999999,1822120.0,1956711.0,1796955.72,1758232.2,1556676.0,1924014.56
40,1794632.2,2022840.7999999998,1866627.4000000001,1806462.4,1941693.0,2013369.0,1823984.1999999997,1891785.7999999993,1660667.9,2006801.48
41,1844497.6,2071553.0,1927710.2000000007,1938297.3999999992,1979309.0,2140353.0,1952021.7999999998,1976871.0,1740407.0,2112677.4
42,1941998.8,2161205.1999999997,1964166.6,2095713.1199999996,2031035.0,2239246.0,2035560.2,2073682.9999999995,1841500.2,2183533.2
43,2021863.88,2278411.1199999996,2014992.96,2137519.1999999997,2153885.0,2325922.0,2141223.4,2153016.4,1946882.3999999997,2315099.52
44,2118272.3599999994,2393078.979999999,2117576.8000000003,2219128.8,2266913.0,2376050.0,2162368.6,2217479.6,2089465.4000000001,2391985.12
45,2156619.56,2398716.8,2181695.4,2247976.96,2387671.0,2418699.0,2274675.44,2307018.9999999995,2202525.1999999997,2411836.1999999997
46,2244904.0,2426038.0,2291083.0,2300340.0,2391228.0,2443687.0,2342366.0,2396283.0,2285196.0,2460017.0
