index,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_4_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_9_www.office.com,140_10_www.office.com
37,291910.24000000005,256840.8,226902.56,202943.8,290513.8800000001,200014.92,253207.19999999998,249003.00000000003,208109.32,259929.40000000008
38,306586.38,268228.6,249552.59999999986,202393.52,303868.24,202889.6,256059.0,280399.1,250936.1600000001,262525.4
39,308431.08,308456.12,287584.27999999997,214280.88000000012,305961.2,268673.4799999998,291868.16,293235.8,286504.35999999987,269872.5999999998
40,317527.60000000003,311119.84,302559.44,250395.12,309130.74,307526.44,305339.52,295121.3,313404.52,312598.83999999997
41,350383.7999999999,315006.8000000001,305684.5999999999,301256.8,313551.8,309343.2,307186.4,300439.0,315991.4,315523.8
42,391322.1999999998,343605.32,322856.36000000004,314124.04,314128.55999999994,314427.4,332615.7999999997,336169.0,321465.60000000003,319640.6
43,449572.56,353216.75999999983,350249.64,315854.96,346442.4,357252.2,351776.44000000024,349441.2000000003,361722.36000000004,347861.12
44,450978.22,395145.12,371925.75999999983,349055.88,350015.23999999993,367366.80000000005,411478.12000000005,392534.6000000001,365463.38,379523.28
45,456626.16,445199.7999999997,410161.76,360768.95999999996,395960.96,405239.39999999997,448354.08,436182.6,396117.2399999998,424654.5599999997
46,457846.19999999995,451900.4,443799.6,410942.0000000001,454375.5999999999,450540.2,449924.8,437900.5,450130.00000000006,456350.8
47,459912.19999999995,453679.04,494262.84,456917.76,455997.48,452219.52,455745.6,449663.5999999999,506261.23999999976,458056.08
48,462495.3799999999,460648.0,496083.92,458615.04,461974.9,457652.12,470411.7999999998,494031.2000000002,515621.3,465657.2799999999
49,515562.92,525345.64,501469.56,464062.76,463382.08,468578.6,508317.3600000002,494172.19999999995,518514.56000000006,514899.6
50,550383.28,525900.8799999999,507654.60000000015,474341.8000000001,526521.6599999999,502048.16000000003,558558.4400000002,528835.8,552375.1,547940.9199999999
