index,370_1_www.surfmusik.de,370_2_www.surfmusik.de,370_3_www.surfmusik.de,370_4_www.surfmusik.de,370_5_www.surfmusik.de,370_6_www.surfmusik.de,370_7_www.surfmusik.de,370_8_www.surfmusik.de,370_9_www.surfmusik.de,370_10_www.surfmusik.de
27,1372593.84,1265853.92,1401293.72,1304449.52,1436195.24,1262943.8,1476913.08,413720.60000000003,1084340.8800000001,1360545.12
28,1383268.58,1267522.1199999999,1437174.56,1320871.66,1448366.64,1283893.9,1508856.36,412448.74,1120111.78,1377527.34
29,1391263.52,1307159.52,1450488.1199999999,1326194.08,1473824.9200000002,1298858.8,1540455.04,424571.83999999997,1138697.44,1402880.4
30,1402817.36,1304939.74,1471895.8,1333457.82,1503257.56,1337357.1999999995,1544726.28,455780.9,1146869.66,1425310.64
31,1489331.5999999964,1363575.4,1481312.8,1392027.6,1516199.4,1360013.0,1633193.5999999999,496173.6,1155651.6,1429157.7999999998
32,1516270.1599999995,1379987.82,1489553.68,1399754.12,1530841.76,1382595.9,1646084.12,502590.67999999993,1174450.96,1438009.72
33,1536741.28,1488045.56,1511534.96,1416336.04,1563487.88,1385882.7999999998,1655247.36,582291.2000000001,1194190.9200000002,1465494.44
34,1556627.22,1538050.96,1534905.24,1448552.7,1649041.92,1459227.7,1675909.24,595064.32,1271146.98,1465655.22
35,1569684.48,1682945.8800000001,1584169.32,1459820.8799999997,1658167.8800000001,1468222.6,1764312.8399999999,600229.64,1282425.92,1512403.84
36,1601459.1,1807914.2000000007,1686988.6,1469722.5,1675585.8000000007,1493053.0,1779703.0000000002,600550.8,1289349.4,1536246.4
37,1626533.08,1817159.48,1726979.32,1482706.16,1789887.56,1499849.8,1788603.52,605166.24,1391429.04,1608978.4400000009
38,1635793.82,1835378.8,1812647.52,1541485.8399999996,1797636.84,1525605.9999999995,1822774.76,607844.36,1421662.74,1677405.06
39,1644527.44,1874504.44,1829200.72,1547332.24,1826160.72,1534046.4,1851504.8399999999,609358.4,1646440.28,1686578.24
40,1652571.82,1959297.74,1840358.12,1556145.98,1832452.8399999999,1604510.2,1875790.28,615755.56,1657562.8399999996,1720487.3000000005
41,1671952.0000000002,1969244.8,1913391.8,1577267.6,1880328.0,1626793.0,1887996.9999999998,629428.6,1667120.4,1747052.4
42,1679787.26,1985791.28,1935314.92,1597737.6199999999,1905953.12,1634932.8,1909166.6400000001,640569.26,1684233.42,1833872.32
43,1683194.8,2001294.64,1957099.52,1705630.76,1917838.04,1637386.2000000004,1924451.8800000001,667286.48,1704475.72,1844079.7999999998
44,1690542.22,2029995.46,1973793.28,1732070.26,1935609.3599999999,1661844.7999999998,1947020.36,684697.12,1715751.8800000001,1857416.88
45,1703734.52,2044101.48,1988103.32,1798145.84,1953197.96,1679730.9999999993,1951110.8800000001,692296.84,1805240.8,1884124.4800000004
46,1702345.1,2057612.3,1994012.8,1805686.5,1967442.2,1694832.5,1977433.3999999992,772904.8000000003,1858518.5999999996,1898925.6
47,1713076.48,2079605.76,1999909.72,1812137.28,1986573.08,1705800.4,1995807.92,819883.0,1863613.6799999997,1915522.8800000001
48,1718537.0,2083275.46,2009528.16,1867913.1600000006,1995168.7199999997,1705194.9,2009688.76,830770.16,1895041.36,1918508.06
49,1726149.3599999999,2095396.64,2018016.76,1878849.96,2006080.8000000003,1717053.6,2037032.0,859498.6,1914961.72,1934119.5200000003
50,1724847.7000000002,2103431.36,2020129.28,1950653.18,2018480.72,1724490.5999999999,2223529.68,865091.9,1981362.2,1945356.9
